"siteweek","site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2_old","m_p_xylene_2_new","m_p_xylene_2_flag_old","m_p_xylene_2_flag_new","m_p_xylene_2_ratio","m_p_xylene_2_dis","benzene_old","benzene_new","benzene_flag_old","benzene_flag_new","benzene_ratio","benzene_dis","ethylbenzene_old","ethylbenzene_new","ethylbenzene_flag_old","ethylbenzene_flag_new","ethylbenzene_ratio","ethylbenzene_dis","o_xylene_old","o_xylene_new","o_xylene_flag_old","o_xylene_flag_new","o_xylene_ratio","o_xylene_dis","toluene_old","toluene_new","toluene_flag_old","toluene_flag_new","toluene_ratio","toluene_dis","benzene_1_2_3_trimethyl_old","benzene_1_2_3_trimethyl_new","benzene_1_2_3_trimethyl_flag_old","benzene_1_2_3_trimethyl_flag_new","benzene_1_2_3_trimethyl_ratio","benzene_1_2_3_trimethyl_dis","benzene_1_4_diethyl_old","benzene_1_4_diethyl_new","benzene_1_4_diethyl_flag_old","benzene_1_4_diethyl_flag_new","benzene_1_4_diethyl_ratio","benzene_1_4_diethyl_dis","benzene_1_ethyl_2_methyl_old","benzene_1_ethyl_2_methyl_new","benzene_1_ethyl_2_methyl_flag_old","benzene_1_ethyl_2_methyl_flag_new","benzene_1_ethyl_2_methyl_ratio","benzene_1_ethyl_2_methyl_dis","benzene_1_ethyl_3_methyl_old","benzene_1_ethyl_3_methyl_new","benzene_1_ethyl_3_methyl_flag_old","benzene_1_ethyl_3_methyl_flag_new","benzene_1_ethyl_3_methyl_ratio","benzene_1_ethyl_3_methyl_dis","benzene_1_ethyl_4_methyl_old","benzene_1_ethyl_4_methyl_new","benzene_1_ethyl_4_methyl_flag_old","benzene_1_ethyl_4_methyl_flag_new","benzene_1_ethyl_4_methyl_ratio","benzene_1_ethyl_4_methyl_dis","mesitylene_old","mesitylene_new","mesitylene_flag_old","mesitylene_flag_new","mesitylene_ratio","mesitylene_dis","benzene_propyl_old","benzene_propyl_new","benzene_propyl_flag_old","benzene_propyl_flag_new","benzene_propyl_ratio","benzene_propyl_dis","heptane_old","heptane_new","heptane_flag_old","heptane_flag_new","heptane_ratio","heptane_dis","n_hexane_old","n_hexane_new","n_hexane_flag_old","n_hexane_flag_new","n_hexane_ratio","n_hexane_dis","nonane_old","nonane_new","nonane_flag_old","nonane_flag_new","nonane_ratio","nonane_dis","octane_old","octane_new","octane_flag_old","octane_flag_new","octane_ratio","octane_dis","decane_old","decane_new","decane_flag_old","decane_flag_new","decane_ratio","decane_dis","dodecane_old","dodecane_new","dodecane_flag_old","dodecane_flag_new","dodecane_ratio","dodecane_dis","undecane_old","undecane_new","undecane_flag_old","undecane_flag_new","undecane_ratio","undecane_dis","pentane_2_3_4_trimethyl_old","pentane_2_3_4_trimethyl_new","pentane_2_3_4_trimethyl_flag_old","pentane_2_3_4_trimethyl_flag_new","pentane_2_3_4_trimethyl_ratio","pentane_2_3_4_trimethyl_dis","pentane_2_4_dimethyl_old","pentane_2_4_dimethyl_new","pentane_2_4_dimethyl_flag_old","pentane_2_4_dimethyl_flag_new","pentane_2_4_dimethyl_ratio","pentane_2_4_dimethyl_dis","hexane_2_methyl_old","hexane_2_methyl_new","hexane_2_methyl_flag_old","hexane_2_methyl_flag_new","hexane_2_methyl_ratio","hexane_2_methyl_dis","heptane_3_methyl_old","heptane_3_methyl_new","heptane_3_methyl_flag_old","heptane_3_methyl_flag_new","heptane_3_methyl_ratio","heptane_3_methyl_dis","hexane_3_methyl_old","hexane_3_methyl_new","hexane_3_methyl_flag_old","hexane_3_methyl_flag_new","hexane_3_methyl_ratio","hexane_3_methyl_dis","pentane_3_methyl_old","pentane_3_methyl_new","pentane_3_methyl_flag_old","pentane_3_methyl_flag_new","pentane_3_methyl_ratio","pentane_3_methyl_dis","pentane_2_methyl_old","pentane_2_methyl_new","pentane_2_methyl_flag_old","pentane_2_methyl_flag_new","pentane_2_methyl_ratio","pentane_2_methyl_dis","butane_2_methyl_old","butane_2_methyl_new","butane_2_methyl_flag_old","butane_2_methyl_flag_new","butane_2_methyl_ratio","butane_2_methyl_dis","cyclohexane_methyl_old","cyclohexane_methyl_new","cyclohexane_methyl_flag_old","cyclohexane_methyl_flag_new","cyclohexane_methyl_ratio","cyclohexane_methyl_dis","x1_hexene_old","x1_hexene_new","x1_hexene_flag_old","x1_hexene_flag_new","x1_hexene_ratio","x1_hexene_dis","x2_pentene_z_cis_old","x2_pentene_z_cis_new","x2_pentene_z_cis_flag_old","x2_pentene_z_cis_flag_new","x2_pentene_z_cis_ratio","x2_pentene_z_cis_dis","x1_3_butadiene_2_methyl_old","x1_3_butadiene_2_methyl_new","x1_3_butadiene_2_methyl_flag_old","x1_3_butadiene_2_methyl_flag_new","x1_3_butadiene_2_methyl_ratio","x1_3_butadiene_2_methyl_dis","x2_hexanone_old","x2_hexanone_new","x2_hexanone_flag_old","x2_hexanone_flag_new","x2_hexanone_ratio","x2_hexanone_dis","methyl_isobutyl_ketone_old","methyl_isobutyl_ketone_new","methyl_isobutyl_ketone_flag_old","methyl_isobutyl_ketone_flag_new","methyl_isobutyl_ketone_ratio","methyl_isobutyl_ketone_dis","benzene_1_2_dichloro_old","benzene_1_2_dichloro_new","benzene_1_2_dichloro_flag_old","benzene_1_2_dichloro_flag_new","benzene_1_2_dichloro_ratio","benzene_1_2_dichloro_dis","carbon_tetrachloride_old","carbon_tetrachloride_new","carbon_tetrachloride_flag_old","carbon_tetrachloride_flag_new","carbon_tetrachloride_ratio","carbon_tetrachloride_dis","trichloromethane_old","trichloromethane_new","trichloromethane_flag_old","trichloromethane_flag_new","trichloromethane_ratio","trichloromethane_dis","tetrachloroethylene_old","tetrachloroethylene_new","tetrachloroethylene_flag_old","tetrachloroethylene_flag_new","tetrachloroethylene_ratio","tetrachloroethylene_dis","trichloromonofluoromethane_old","trichloromonofluoromethane_new","trichloromonofluoromethane_flag_old","trichloromonofluoromethane_flag_new","trichloromonofluoromethane_ratio","trichloromonofluoromethane_dis"
"Bartram’s Garden272023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733856","P733856 071323 070523 Bartrams 1WK SS","P733856 071323 070523 Bartrams 1WK SS.D","2023-07-13","2023-07-05","sample","2023-06-28","2023-07-05",9991,2,272023,1,0.279,0.2788,"REG","REG",1,NA,0.291,0.2909,"REG","REG",1,NA,0.06,0.0601,"REG","REG",1,NA,0.084,0.0843,"REG","REG",1,NA,0.267,0.2667,"REG","REG",1,NA,0.015,0.0152,"LOD","LOD",0.99,NA,0.007,0.0073,"ND","ND",0.96,NA,0.014,0.0138,"LOD","LOD",1.01,NA,0.011,0.011,"ND","ND",1,NA,0.03,0.0302,"REG","REG",0.99,NA,0.092,0.0917,"REG","REG",1,NA,0.018,0.0182,"LOD","LOD",0.99,NA,0.07,0.0702,"REG","REG",1,NA,0.11,0.1101,"REG","REG",1,NA,0.01,0.0098,"ND","ND",1.02,NA,0.006,0.0062,"ND","ND",0.97,NA,0.021,0.0208,"LOD","LOD",1.01,NA,0.024,0.0237,"LOD","LOD",1.01,NA,0.026,0.026,"ND","ND",1,NA,0.061,0.0607,"REG","REG",1,NA,0.052,0.0533,"REG","REG",0.98,NA,0.06,0.0601,"REG","REG",1,NA,0.057,0.0574,"LOD","LOD",0.99,NA,0.134,0.1343,"REG","REG",1,NA,0.173,0.1848,"REG","REG",0.94,NA,0.553,0.5386,"REG","REG",1.03,NA,0.057,0.0477,"REG","REG",1.19,NA,0.126,0.1264,"REG","REG",1,NA,0.016,0.0115,"REG","REG",1.39,NA,0.005,0.0049,"ND","ND",1.02,NA,0.118,0.119,"REG","REG",0.99,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.017,0.0167,"LOD","LOD",1.02,NA,0.187,0.1872,"REG","REG",1,NA,0.028,0.0281,"REG","REG",1,NA,0.009,0.0089,"REG","REG",1.01,NA,0.048,0.0477,"REG","REG",1.01,NA
"Bartram’s Garden282023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726645","P726645 071323 071223 Bartrams 1WK SS","P726645 071323 071223 Bartrams 1WK SS.D","2023-07-13","2023-07-12","sample","2023-07-05","2023-07-12",10105,2,282023,1,0.368,0.3676,"REG","REG",1,NA,0.17,0.1701,"REG","REG",1,NA,0.069,0.0693,"REG","REG",1,NA,0.104,0.1042,"REG","REG",1,NA,0.293,0.2932,"REG","REG",1,NA,0.023,0.0225,"LOD","LOD",1.02,NA,0.012,0.0121,"LOD","LOD",0.99,NA,0.02,0.0205,"LOD","LOD",0.98,NA,0.045,0.0451,"REG","REG",1,NA,0.019,0.0187,"LOD","LOD",1.02,NA,0.049,0.0495,"REG","REG",0.99,NA,0.018,0.018,"LOD","LOD",1,NA,0.089,0.0886,"REG","REG",1,NA,0.122,0.1221,"REG","REG",1,NA,0.008,0.0077,"REG","REG",1.04,NA,0.021,0.0211,"REG","REG",1,NA,0.045,0.0447,"REG","REG",1.01,NA,0.023,0.0234,"LOD","LOD",0.98,NA,0.078,0.0783,"LOD","LOD",1,NA,0.06,0.06,"REG","REG",1,NA,0.063,0.0626,"REG","REG",1.01,NA,0.079,0.0792,"REG","REG",1,NA,0.068,0.0684,"LOD","LOD",0.99,NA,0.193,0.1931,"REG","REG",1,NA,0.223,0.2233,"REG","REG",1,NA,0.646,0.6456,"REG","REG",1,NA,0.052,0.0522,"REG","REG",1,NA,0.167,0.1667,"REG","REG",1,NA,0.007,0.0065,"ND","ND",1.08,NA,0.005,0.0048,"ND","ND",1.04,NA,0.137,0.1371,"REG","REG",1,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.022,0.022,"LOD","LOD",1,NA,0.199,0.1993,"REG","REG",1,NA,0.037,0.037,"REG","REG",1,NA,0.013,0.0132,"REG","REG",0.98,NA,0.042,0.0424,"REG","REG",0.99,NA
"Bartram’s Garden292023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P637224","P637224 072723 071923 Bartrams 1WK DS","P637224 072723 071923 Bartrams 1WK DS.D","2023-07-27","2023-07-19","sample","2023-07-12","2023-07-19",10113,14.3,292023,1,0.649,0.6494,"REG","REG",1,NA,0.326,0.3257,"REG","REG",1,NA,0.106,0.1061,"REG","REG",1,NA,0.186,0.1861,"LOD","LOD",1,NA,0.562,0.5616,"REG","REG",1,NA,0.054,0.0537,"LOD","LOD",1.01,NA,0.007,0.0072,"ND","ND",0.97,NA,0.049,0.0488,"LOD","LOD",1,NA,0.099,0.0992,"LOD","LOD",1,NA,0.027,0.0267,"LOD","LOD",1.01,NA,0.118,0.1178,"LOD","LOD",1,NA,0.015,0.0145,"ND","ND",1.03,NA,0.208,0.2081,"REG","REG",1,NA,0.32,0.3201,"REG","REG",1,NA,0.049,0.0489,"LOD","LOD",1,NA,0.073,0.073,"LOD","LOD",1,NA,0.081,0.0806,"LOD","LOD",1,NA,0.101,0.1006,"LOD","LOD",1,NA,0.134,0.134,"LOD","LOD",1,NA,0.086,0.0857,"LOD","LOD",1,NA,0.094,0.0941,"LOD","LOD",1,NA,0.141,0.1414,"LOD","LOD",1,NA,0.165,0.1649,"LOD","LOD",1,NA,0.345,0.3449,"LOD","LOD",1,NA,0.725,0.7251,"REG","REG",1,NA,1.871,1.8712,"REG","REG",1,NA,0.236,0.2362,"REG","REG",1,NA,0.372,0.3721,"LOD","LOD",1,NA,0.059,0.0585,"LOD","LOD",1.01,NA,0.005,0.0048,"ND","ND",1.04,NA,0.229,0.2294,"REG","REG",1,NA,0.067,0.0668,"REG","REG",1,NA,0,5e-4,"ND","ND",0,NA,0.039,0.0393,"LOD","LOD",0.99,NA,0.509,0.5086,"REG","REG",1,NA,0.066,0.0661,"REG","REG",1,NA,0.031,0.0314,"REG","REG",0.99,NA,0.202,0.202,"REG","REG",1,NA
"Bartram’s Garden302023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726608","P726608 072823 072623 Bartrams 1WK DS","P726608 072823 072623 Bartrams 1WK DS.D","2023-07-28","2023-07-26","sample","2023-07-19","2023-07-26",9912,14.3,302023,1,0.714,0.7141,"REG","REG",1,NA,0.332,0.3323,"REG","REG",1,NA,0.144,0.1443,"REG","REG",1,NA,0.228,0.2278,"LOD","LOD",1,NA,0.573,0.573,"REG","REG",1,NA,0.055,0.0548,"LOD","LOD",1,NA,0.007,0.0074,"ND","ND",0.95,NA,0.025,0.0249,"LOD","LOD",1,NA,0.101,0.1012,"LOD","LOD",1,NA,0.027,0.0272,"LOD","LOD",0.99,NA,0.12,0.1202,"LOD","LOD",1,NA,0.044,0.0437,"LOD","LOD",1.01,NA,0.212,0.2124,"REG","REG",1,NA,0.278,0.2785,"REG","REG",1,NA,0.015,0.0155,"LOD","LOD",0.97,NA,0.044,0.0445,"LOD","LOD",0.99,NA,0.082,0.0822,"LOD","LOD",1,NA,0.064,0.0637,"LOD","LOD",1,NA,0.137,0.1367,"LOD","LOD",1,NA,0.087,0.0874,"LOD","LOD",1,NA,0.096,0.096,"LOD","LOD",1,NA,0.144,0.1443,"LOD","LOD",1,NA,0.168,0.1682,"LOD","LOD",1,NA,0.44,0.4398,"LOD","LOD",1,NA,0.592,0.5919,"REG","REG",1,NA,1.772,1.7718,"REG","REG",1,NA,0.267,0.2671,"REG","REG",1,NA,0.38,0.3797,"LOD","LOD",1,NA,0.06,0.0597,"LOD","LOD",1.01,NA,0.005,0.0049,"ND","ND",1.02,NA,0.234,0.234,"REG","REG",1,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.08,0.0801,"LOD","LOD",1,NA,0.519,0.519,"REG","REG",1,NA,0.067,0.0674,"REG","REG",0.99,NA,0.032,0.0321,"REG","REG",1,NA,0.206,0.2061,"REG","REG",1,NA
"Bartram’s Garden312023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726661","P726661 081023 080223 Bartrams 1WK SS","P726661 081023 080223 Bartrams 1WK SS.D","2023-08-10","2023-08-02","sample","2023-07-26","2023-08-02",10110,2,312023,1,0.297,0.3026,"REG","REG",0.98,NA,0.207,0.2071,"REG","REG",1,NA,0.054,0.0544,"REG","REG",0.99,NA,0.083,0.0833,"REG","REG",1,NA,0.272,0.2778,"REG","REG",0.98,NA,0.019,0.0188,"LOD","LOD",1.01,NA,0.012,0.0121,"LOD","LOD",0.99,NA,0.014,0.0136,"LOD","LOD",1.03,NA,0.011,0.0108,"ND","ND",1.02,NA,0.034,0.033,"REG","REG",1.03,NA,0.041,0.0398,"REG","REG",1.03,NA,0.018,0.018,"LOD","LOD",1,NA,0.082,0.0915,"REG","REG",0.9,NA,0.109,0.1121,"REG","REG",0.97,NA,0.111,0.1947,"REG","REG",0.57,NA,0.05,0.0783,"REG","REG",0.64,NA,0.049,0.0643,"REG","REG",0.76,NA,0.015,0.0148,"ND","ND",1.01,NA,0.105,0.0989,"REG","REG",1.06,NA,0.042,0.042,"LOD","LOD",1,NA,0.046,0.0461,"REG","REG",1,NA,0.066,0.0659,"REG","REG",1,NA,0.057,0.0543,"LOD","LOD",1.05,NA,0.157,0.1568,"REG","REG",1,NA,0.183,0.1826,"REG","REG",1,NA,0.532,0.5401,"REG","REG",0.99,NA,0.059,0.0674,"REG","REG",0.88,NA,0.125,0.1249,"REG","REG",1,NA,0.057,0.0625,"REG","REG",0.91,NA,0.006,0.0133,"LOD","LOD",0.45,NA,0.16,0.1605,"REG","REG",1,NA,0.01,0.0151,"REG","REG",0.66,NA,0,5e-4,"ND","ND",0,NA,0.027,0.0275,"REG","REG",0.98,NA,0.213,0.2135,"REG","REG",1,NA,0.037,0.037,"REG","REG",1,NA,0.013,0.0132,"REG","REG",0.98,NA,0.075,0.0754,"REG","REG",0.99,NA
"Bartram’s Garden322023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726659","P726659 081123 080923 Bartrams 1WK SS","P726659 081123 080923 Bartrams 1WK SS.D","2023-08-11","2023-08-09","sample","2023-08-02","2023-08-09",10048,2,322023,1,0.326,0.3258,"REG","REG",1,NA,0.203,0.2022,"REG","REG",1,NA,0.06,0.0597,"REG","REG",1.01,NA,0.089,0.089,"REG","REG",1,NA,0.254,0.2541,"REG","REG",1,NA,0.023,0.0227,"LOD","LOD",1.01,NA,0.012,0.0121,"LOD","LOD",0.99,NA,0.017,0.0172,"LOD","LOD",0.99,NA,0.038,0.0378,"LOD","LOD",1.01,NA,0.018,0.0182,"LOD","LOD",0.99,NA,0.04,0.0401,"REG","REG",1,NA,0.018,0.0181,"LOD","LOD",0.99,NA,0.098,0.0985,"REG","REG",0.99,NA,0.126,0.1261,"REG","REG",1,NA,0.111,0.1106,"REG","REG",1,NA,0.058,0.0581,"REG","REG",1,NA,0.055,0.055,"REG","REG",1,NA,0.039,0.0386,"LOD","LOD",1.01,NA,0.073,0.073,"LOD","LOD",1,NA,0.036,0.0362,"LOD","LOD",0.99,NA,0.04,0.0397,"LOD","LOD",1.01,NA,0.073,0.073,"REG","REG",1,NA,0.066,0.0663,"LOD","LOD",1,NA,0.182,0.1821,"REG","REG",1,NA,0.225,0.2246,"REG","REG",1,NA,0.6,0.6003,"REG","REG",1,NA,0.058,0.0584,"REG","REG",0.99,NA,0.157,0.1571,"REG","REG",1,NA,0.04,0.04,"REG","REG",1,NA,0.013,0.0134,"LOD","LOD",0.97,NA,0.106,0.106,"REG","REG",1,NA,0.02,0.0202,"REG","REG",0.99,NA,0,5e-4,"ND","ND",0,NA,0.011,0.0111,"LOD","LOD",0.99,NA,0.215,0.2148,"REG","REG",1,NA,0.028,0.0279,"REG","REG",1,NA,0.009,0.0088,"REG","REG",1.02,NA,0.076,0.0758,"REG","REG",1,NA
"Bartram’s Garden332023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726620","P726620 082423 081623 Bartrams SS","P726620 082423 081623 Bartrams SS.D","2023-08-24","2023-08-16","sample","2023-08-09","2023-08-16",10197,1.3,332023,1,0.386,0.3859,"REG","REG",1,NA,0.165,0.1637,"REG","REG",1.01,NA,0.076,0.0765,"REG","REG",0.99,NA,0.107,0.1074,"REG","REG",1,NA,0.308,0.3078,"REG","REG",1,NA,0.022,0.0218,"LOD","LOD",1.01,NA,0.007,0.0072,"ND","ND",0.97,NA,0.02,0.0198,"LOD","LOD",1.01,NA,0.051,0.0509,"REG","REG",1,NA,0.019,0.0186,"REG","REG",1.02,NA,0.041,0.0411,"REG","REG",1,NA,0.023,0.0232,"LOD","LOD",0.99,NA,0.096,0.0964,"REG","REG",1,NA,0.129,0.1294,"REG","REG",1,NA,0.064,0.0644,"REG","REG",0.99,NA,0.047,0.0474,"REG","REG",0.99,NA,0.057,0.0573,"REG","REG",0.99,NA,0.049,0.0489,"REG","REG",1,NA,0.025,0.0255,"ND","ND",0.98,NA,0.042,0.0425,"REG","REG",0.99,NA,0.032,0.0318,"REG","REG",1.01,NA,0.076,0.0765,"REG","REG",0.99,NA,0.064,0.0636,"REG","REG",1.01,NA,0.171,0.171,"REG","REG",1,NA,0.196,0.1961,"REG","REG",1,NA,0.528,0.528,"REG","REG",1,NA,0.053,0.053,"REG","REG",1,NA,0.154,0.1543,"REG","REG",1,NA,0.006,0.0065,"ND","ND",0.92,NA,0.009,0.0086,"LOD","LOD",1.05,NA,0.128,0.128,"REG","REG",1,NA,0.002,0.0016,"ND","ND",1.25,NA,0,4e-4,"ND","ND",0,NA,0.025,0.0248,"REG","REG",1.01,NA,0.174,0.1743,"REG","REG",1,NA,0.03,0.0298,"REG","REG",1.01,NA,0.014,0.0142,"REG","REG",0.99,NA,0.046,0.0455,"REG","REG",1.01,NA
"Bartram’s Garden342023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733895","P733895 082523 082323 Bartrams SS","P733895 082523 082323 Bartrams SS.D","2023-08-25","2023-08-23","sample","2023-08-16","2023-08-23",9977,2,342023,1,0.264,0.2637,"REG","REG",1,NA,0.223,0.2224,"REG","REG",1,NA,0.055,0.0551,"REG","REG",1,NA,0.074,0.0739,"REG","REG",1,NA,0.247,0.2474,"REG","REG",1,NA,0.023,0.0228,"LOD","LOD",1.01,NA,0.007,0.0073,"ND","ND",0.96,NA,0.017,0.0173,"LOD","LOD",0.98,NA,0.035,0.0346,"LOD","LOD",1.01,NA,0.014,0.0145,"LOD","LOD",0.97,NA,0.04,0.0404,"REG","REG",0.99,NA,0.018,0.0182,"LOD","LOD",0.99,NA,0.086,0.0862,"REG","REG",1,NA,0.08,0.0802,"REG","REG",1,NA,0.245,0.245,"REG","REG",1,NA,0.163,0.1629,"REG","REG",1,NA,0.085,0.0847,"REG","REG",1,NA,0.088,0.0876,"REG","REG",1,NA,0.14,0.1403,"REG","REG",1,NA,0.024,0.0243,"LOD","LOD",0.99,NA,0.011,0.0112,"ND","ND",0.98,NA,0.053,0.0535,"REG","REG",0.99,NA,0.043,0.0432,"LOD","LOD",1,NA,0.11,0.11,"REG","REG",1,NA,0.113,0.1131,"REG","REG",1,NA,0.318,0.3182,"REG","REG",1,NA,0.036,0.0364,"REG","REG",0.99,NA,0.074,0.0739,"LOD","LOD",1,NA,0.04,0.0403,"REG","REG",0.99,NA,0.027,0.0269,"REG","REG",1,NA,0.09,0.0904,"REG","REG",1,NA,0.025,0.0254,"REG","REG",0.98,NA,0,5e-4,"ND","ND",0,NA,0.022,0.0223,"LOD","LOD",0.99,NA,0.173,0.1731,"REG","REG",1,NA,0.028,0.0281,"REG","REG",1,NA,0.013,0.0134,"REG","REG",0.97,NA,0.043,0.043,"REG","REG",1,NA
"Bartram’s Garden352023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733889","P733889 090723 083023 Bartrams SS","P733889 090723 083023 Bartrams SS.D","2023-09-07","2023-08-30","sample","2023-08-23","2023-08-30",10054,2,352023,1,0.347,0.341,"REG","REG",1.02,NA,0.191,0.1865,"REG","REG",1.02,NA,0.07,0.0692,"REG","REG",1.01,NA,0.094,0.0938,"REG","REG",1,NA,0.284,0.2793,"REG","REG",1.02,NA,0.023,0.0226,"LOD","LOD",1.02,NA,0.015,0.0152,"LOD","LOD",0.99,NA,0.021,0.0154,"LOD","LOD",1.36,NA,0.041,0.0419,"LOD","LOD",0.98,NA,0.018,0.0188,"LOD","LOD",0.96,NA,0.048,0.0497,"REG","REG",0.97,NA,0.024,0.0236,"LOD","LOD",1.02,NA,0.118,0.1102,"REG","REG",1.07,NA,0.133,0.1332,"REG","REG",1,NA,0.073,0.0028,"REG","REG",26.07,NA,0.05,0.0218,"REG","REG",2.29,NA,0.065,0.059,"REG","REG",1.1,NA,0.065,0.0663,"REG","REG",0.98,NA,0.099,0.0934,"REG","REG",1.06,NA,0.048,0.0482,"LOD","LOD",1,NA,0.052,0.0519,"REG","REG",1,NA,0.093,0.0928,"REG","REG",1,NA,0.078,0.0809,"REG","REG",0.96,NA,0.206,0.2062,"REG","REG",1,NA,0.202,0.2023,"REG","REG",1,NA,0.625,0.6252,"REG","REG",1,NA,0.062,0.062,"REG","REG",1,NA,0.188,0.1885,"REG","REG",1,NA,0.062,0.0619,"REG","REG",1,NA,0.011,0.0106,"LOD","LOD",1.04,NA,0.061,0.0614,"REG","REG",0.99,NA,0.002,0.0016,"ND","ND",1.25,NA,0,5e-4,"ND","ND",0,NA,0.011,0.0097,"LOD","LOD",1.13,NA,0.2,0.2004,"REG","REG",1,NA,0.028,0.0279,"REG","REG",1,NA,0.009,0.0088,"REG","REG",1.02,NA,0.062,0.0616,"REG","REG",1.01,NA
"Bartram’s Garden362023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726607","P726607 090823 090623 Bartrams SS","P726607 090823 090623 Bartrams SS.D","2023-09-08","2023-09-06","sample","2023-08-30","2023-09-06",10207,2,362023,1,0.28,0.2799,"REG","REG",1,NA,0.179,0.1776,"REG","REG",1.01,NA,0.058,0.0584,"REG","REG",0.99,NA,0.082,0.0821,"REG","REG",1,NA,0.25,0.2501,"REG","REG",1,NA,0.022,0.0223,"LOD","LOD",0.99,NA,0.007,0.0072,"ND","ND",0.97,NA,0.012,0.0118,"LOD","LOD",1.02,NA,0.034,0.0344,"LOD","LOD",0.99,NA,0.015,0.0148,"LOD","LOD",1.01,NA,0.033,0.0327,"REG","REG",1.01,NA,0.017,0.0173,"LOD","LOD",0.98,NA,0.064,0.0643,"REG","REG",1,NA,0.092,0.092,"REG","REG",1,NA,0.087,0.0867,"REG","REG",1,NA,0.034,0.0337,"REG","REG",1.01,NA,0.053,0.0534,"REG","REG",0.99,NA,0.044,0.0441,"LOD","LOD",1,NA,0.085,0.0855,"REG","REG",0.99,NA,0.03,0.0297,"LOD","LOD",1.01,NA,0.048,0.0478,"REG","REG",1,NA,0.059,0.0588,"REG","REG",1,NA,0.045,0.0451,"LOD","LOD",1,NA,0.131,0.1314,"REG","REG",1,NA,0.149,0.1491,"REG","REG",1,NA,0.411,0.4105,"REG","REG",1,NA,0.044,0.0441,"REG","REG",1,NA,0.093,0.0928,"REG","REG",1,NA,0.006,0.0065,"ND","ND",0.92,NA,0.03,0.0301,"REG","REG",1,NA,0.115,0.1151,"REG","REG",1,NA,0.012,0.012,"REG","REG",1,NA,0,4e-4,"ND","ND",0,NA,0.042,0.0422,"REG","REG",1,NA,0.183,0.1833,"REG","REG",1,NA,0.037,0.0366,"REG","REG",1.01,NA,0.013,0.0131,"REG","REG",0.99,NA,0.042,0.042,"REG","REG",1,NA
