"siteweek","site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2_old","m_p_xylene_2_new","m_p_xylene_2_flag_old","m_p_xylene_2_flag_new","m_p_xylene_2_ratio","m_p_xylene_2_dis","benzene_old","benzene_new","benzene_flag_old","benzene_flag_new","benzene_ratio","benzene_dis","ethylbenzene_old","ethylbenzene_new","ethylbenzene_flag_old","ethylbenzene_flag_new","ethylbenzene_ratio","ethylbenzene_dis","o_xylene_old","o_xylene_new","o_xylene_flag_old","o_xylene_flag_new","o_xylene_ratio","o_xylene_dis","toluene_old","toluene_new","toluene_flag_old","toluene_flag_new","toluene_ratio","toluene_dis","benzene_1_2_3_trimethyl_old","benzene_1_2_3_trimethyl_new","benzene_1_2_3_trimethyl_flag_old","benzene_1_2_3_trimethyl_flag_new","benzene_1_2_3_trimethyl_ratio","benzene_1_2_3_trimethyl_dis","benzene_1_4_diethyl_old","benzene_1_4_diethyl_new","benzene_1_4_diethyl_flag_old","benzene_1_4_diethyl_flag_new","benzene_1_4_diethyl_ratio","benzene_1_4_diethyl_dis","benzene_1_ethyl_2_methyl_old","benzene_1_ethyl_2_methyl_new","benzene_1_ethyl_2_methyl_flag_old","benzene_1_ethyl_2_methyl_flag_new","benzene_1_ethyl_2_methyl_ratio","benzene_1_ethyl_2_methyl_dis","benzene_1_ethyl_3_methyl_old","benzene_1_ethyl_3_methyl_new","benzene_1_ethyl_3_methyl_flag_old","benzene_1_ethyl_3_methyl_flag_new","benzene_1_ethyl_3_methyl_ratio","benzene_1_ethyl_3_methyl_dis","benzene_1_ethyl_4_methyl_old","benzene_1_ethyl_4_methyl_new","benzene_1_ethyl_4_methyl_flag_old","benzene_1_ethyl_4_methyl_flag_new","benzene_1_ethyl_4_methyl_ratio","benzene_1_ethyl_4_methyl_dis","mesitylene_old","mesitylene_new","mesitylene_flag_old","mesitylene_flag_new","mesitylene_ratio","mesitylene_dis","benzene_propyl_old","benzene_propyl_new","benzene_propyl_flag_old","benzene_propyl_flag_new","benzene_propyl_ratio","benzene_propyl_dis","heptane_old","heptane_new","heptane_flag_old","heptane_flag_new","heptane_ratio","heptane_dis","n_hexane_old","n_hexane_new","n_hexane_flag_old","n_hexane_flag_new","n_hexane_ratio","n_hexane_dis","nonane_old","nonane_new","nonane_flag_old","nonane_flag_new","nonane_ratio","nonane_dis","octane_old","octane_new","octane_flag_old","octane_flag_new","octane_ratio","octane_dis","decane_old","decane_new","decane_flag_old","decane_flag_new","decane_ratio","decane_dis","dodecane_old","dodecane_new","dodecane_flag_old","dodecane_flag_new","dodecane_ratio","dodecane_dis","undecane_old","undecane_new","undecane_flag_old","undecane_flag_new","undecane_ratio","undecane_dis","pentane_2_3_4_trimethyl_old","pentane_2_3_4_trimethyl_new","pentane_2_3_4_trimethyl_flag_old","pentane_2_3_4_trimethyl_flag_new","pentane_2_3_4_trimethyl_ratio","pentane_2_3_4_trimethyl_dis","pentane_2_4_dimethyl_old","pentane_2_4_dimethyl_new","pentane_2_4_dimethyl_flag_old","pentane_2_4_dimethyl_flag_new","pentane_2_4_dimethyl_ratio","pentane_2_4_dimethyl_dis","hexane_2_methyl_old","hexane_2_methyl_new","hexane_2_methyl_flag_old","hexane_2_methyl_flag_new","hexane_2_methyl_ratio","hexane_2_methyl_dis","heptane_3_methyl_old","heptane_3_methyl_new","heptane_3_methyl_flag_old","heptane_3_methyl_flag_new","heptane_3_methyl_ratio","heptane_3_methyl_dis","hexane_3_methyl_old","hexane_3_methyl_new","hexane_3_methyl_flag_old","hexane_3_methyl_flag_new","hexane_3_methyl_ratio","hexane_3_methyl_dis","pentane_3_methyl_old","pentane_3_methyl_new","pentane_3_methyl_flag_old","pentane_3_methyl_flag_new","pentane_3_methyl_ratio","pentane_3_methyl_dis","pentane_2_methyl_old","pentane_2_methyl_new","pentane_2_methyl_flag_old","pentane_2_methyl_flag_new","pentane_2_methyl_ratio","pentane_2_methyl_dis","butane_2_methyl_old","butane_2_methyl_new","butane_2_methyl_flag_old","butane_2_methyl_flag_new","butane_2_methyl_ratio","butane_2_methyl_dis","cyclohexane_methyl_old","cyclohexane_methyl_new","cyclohexane_methyl_flag_old","cyclohexane_methyl_flag_new","cyclohexane_methyl_ratio","cyclohexane_methyl_dis","x1_hexene_old","x1_hexene_new","x1_hexene_flag_old","x1_hexene_flag_new","x1_hexene_ratio","x1_hexene_dis","x2_pentene_z_cis_old","x2_pentene_z_cis_new","x2_pentene_z_cis_flag_old","x2_pentene_z_cis_flag_new","x2_pentene_z_cis_ratio","x2_pentene_z_cis_dis","x1_3_butadiene_2_methyl_old","x1_3_butadiene_2_methyl_new","x1_3_butadiene_2_methyl_flag_old","x1_3_butadiene_2_methyl_flag_new","x1_3_butadiene_2_methyl_ratio","x1_3_butadiene_2_methyl_dis","x2_hexanone_old","x2_hexanone_new","x2_hexanone_flag_old","x2_hexanone_flag_new","x2_hexanone_ratio","x2_hexanone_dis","methyl_isobutyl_ketone_old","methyl_isobutyl_ketone_new","methyl_isobutyl_ketone_flag_old","methyl_isobutyl_ketone_flag_new","methyl_isobutyl_ketone_ratio","methyl_isobutyl_ketone_dis","benzene_1_2_dichloro_old","benzene_1_2_dichloro_new","benzene_1_2_dichloro_flag_old","benzene_1_2_dichloro_flag_new","benzene_1_2_dichloro_ratio","benzene_1_2_dichloro_dis","carbon_tetrachloride_old","carbon_tetrachloride_new","carbon_tetrachloride_flag_old","carbon_tetrachloride_flag_new","carbon_tetrachloride_ratio","carbon_tetrachloride_dis","trichloromethane_old","trichloromethane_new","trichloromethane_flag_old","trichloromethane_flag_new","trichloromethane_ratio","trichloromethane_dis","tetrachloroethylene_old","tetrachloroethylene_new","tetrachloroethylene_flag_old","tetrachloroethylene_flag_new","tetrachloroethylene_ratio","tetrachloroethylene_dis","trichloromonofluoromethane_old","trichloromonofluoromethane_new","trichloromonofluoromethane_flag_old","trichloromonofluoromethane_flag_new","trichloromonofluoromethane_ratio","trichloromonofluoromethane_dis"
"Bartram’s Garden502023",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726654","P726654 122123 121323 Bartrams SS","P726654 122123 121323 Bartrams SS.D","2023-12-21","2023-12-13","sample","2023-12-06","2023-12-13",9458,2,502023,1,1.118,1.2031,"REG","REG",0.93,NA,0.422,0.4527,"REG","REG",0.93,NA,0.166,0.1782,"REG","REG",0.93,NA,0.236,0.2543,"REG","REG",0.93,NA,0.686,0.7383,"REG","REG",0.93,NA,0.037,0.0401,"REG","REG",0.92,NA,0.024,0.0258,"LOD","LOD",0.93,NA,0.03,0.0328,"LOD","LOD",0.91,NA,0.083,0.089,"REG","REG",0.93,NA,0.033,0.0359,"REG","REG",0.92,NA,0.09,0.0969,"REG","REG",0.93,NA,0.042,0.0449,"LOD","LOD",0.94,NA,0.237,0.2551,"REG","REG",0.93,NA,0.451,0.4857,"REG","REG",0.93,NA,0.071,0.076,"REG","REG",0.93,NA,0.052,0.0555,"REG","REG",0.94,NA,0.07,0.0753,"REG","REG",0.93,NA,0.032,0.0343,"LOD","LOD",0.93,NA,0.062,0.067,"LOD","LOD",0.93,NA,0.101,0.1089,"REG","REG",0.93,NA,0.118,0.1267,"REG","REG",0.93,NA,0.255,0.2749,"REG","REG",0.93,NA,0.162,0.1741,"REG","REG",0.93,NA,0.527,0.5673,"REG","REG",0.93,NA,0.917,0.9868,"REG","REG",0.93,NA,2.523,2.7148,"REG","REG",0.93,"CHECK",0.14,0.1508,"ULOD","ULOD",0.93,NA,0.445,0.4786,"REG","REG",0.93,NA,0.095,0.1021,"REG","REG",0.93,NA,0.036,0.039,"REG","REG",0.92,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.041,0.0446,"REG","REG",0.92,NA,0.368,0.3955,"REG","REG",0.93,NA,0.046,0.0494,"REG","REG",0.93,NA,0.022,0.0235,"REG","REG",0.94,NA,0.243,0.2618,"REG","REG",0.93,NA
"Bartram’s Garden32024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733850","P733850 012524 011724 Bartrams SS","P733850 012524 011724 Bartrams SS.D","2024-01-25","2024-01-17","sample","2024-01-10","2024-01-17",9484,2,32024,1,0.389,0.418,"REG","REG",0.93,NA,0.481,0.5173,"REG","REG",0.93,NA,0.074,0.0791,"REG","REG",0.94,NA,0.088,0.0949,"REG","REG",0.93,NA,0.365,0.3926,"REG","REG",0.93,NA,0.009,0.0093,"ND","ND",0.97,NA,0.007,0.0077,"ND","ND",0.91,NA,0.014,0.0145,"LOD","LOD",0.97,NA,0.034,0.0363,"LOD","LOD",0.94,NA,0.018,0.0195,"LOD","LOD",0.92,NA,0.04,0.0431,"REG","REG",0.93,NA,0.018,0.0192,"LOD","LOD",0.94,NA,0.133,0.1429,"REG","REG",0.93,NA,0.249,0.2678,"REG","REG",0.93,NA,0.155,0.1672,"REG","REG",0.93,NA,0.082,0.0883,"REG","REG",0.93,NA,0.053,0.0566,"REG","REG",0.94,NA,0.023,0.0251,"LOD","LOD",0.92,NA,0.044,0.0471,"LOD","LOD",0.93,NA,0.053,0.0575,"REG","REG",0.92,NA,0.053,0.0572,"REG","REG",0.93,NA,0.14,0.1511,"REG","REG",0.93,NA,0.086,0.093,"REG","REG",0.92,NA,0.318,0.342,"REG","REG",0.93,NA,0.362,0.3893,"REG","REG",0.93,NA,1.383,1.4882,"REG","REG",0.93,"CHECK",0.072,0.0779,"REG","REG",0.92,NA,0.224,0.2408,"REG","REG",0.93,NA,0.042,0.0448,"REG","REG",0.94,NA,0.02,0.0212,"REG","REG",0.94,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.02,0.0211,"LOD","LOD",0.95,NA,0.324,0.3489,"REG","REG",0.93,NA,0.041,0.0443,"REG","REG",0.93,NA,0.012,0.0127,"REG","REG",0.94,NA,0.14,0.1501,"REG","REG",0.93,NA
"Bartram’s Garden122024",1,"Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726642","P726642 040224 032024 Bartrams SS RR","P726642 040224 032024 Bartrams SS.D","2024-04-02","2024-03-20","sample","2024-03-13","2024-03-20",9656,2,122024,1,0.72,0.7738,"REG","REG",0.93,NA,0.296,0.3172,"REG","REG",0.93,NA,0.11,0.1178,"REG","REG",0.93,NA,0.152,0.1625,"REG","REG",0.94,NA,0.563,0.6593,"REG","REG",0.85,NA,0.033,0.0354,"LOD","LOD",0.93,NA,0.018,0.0189,"LOD","LOD",0.95,NA,0.03,0.0315,"LOD","LOD",0.95,NA,0.074,0.0798,"REG","REG",0.93,NA,0.036,0.0389,"REG","REG",0.93,NA,0.08,0.0858,"REG","REG",0.93,NA,0.041,0.0439,"LOD","LOD",0.93,NA,0.152,0.1632,"REG","REG",0.93,NA,0.242,0.2599,"REG","REG",0.93,NA,0.101,0.1074,"REG","REG",0.94,NA,0.067,0.068,"REG","REG",0.99,NA,0.071,0.0739,"REG","REG",0.96,NA,0.023,0.0236,"LOD","LOD",0.97,NA,0.069,0.0743,"LOD","LOD",0.93,NA,0.064,0.069,"REG","REG",0.93,NA,0.09,0.0961,"REG","REG",0.94,NA,0.14,0.1505,"REG","REG",0.93,NA,0.111,0.12,"REG","REG",0.92,NA,0.317,0.3388,"REG","REG",0.94,NA,0.591,0.6358,"REG","REG",0.93,NA,1.579,1.6837,"REG","REG",0.94,"CHECK",0.152,0.1592,"REG","REG",0.95,NA,0.343,0.3673,"REG","REG",0.93,NA,0.006,0.0068,"ND","ND",0.88,NA,0.013,0.0097,"LOD","LOD",1.34,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.01,0.0113,"REG","REG",0.88,NA,0.011,0.0324,"REG","REG",0.34,NA,0.333,0.3576,"REG","REG",0.93,NA,0.026,0.028,"REG","REG",0.93,NA,0.017,0.0182,"REG","REG",0.93,NA,0.216,0.2305,"REG","REG",0.94,NA
"Essington & Mingo502023",2,"Essington & Mingo","stationary","39.90131732, -75.2250262",39.90131732,-75.2250262,"#DB72FB","Industrial","Industrial","High","Auto body shop, junkyard","HighT/I","P726663","P726663 122123 121323 Essington SS","P726663 122123 121323 Essington SS.D","2023-12-21","2023-12-13","sample","2023-12-06","2023-12-13",9465,2,502023,1,1.264,1.3607,"REG","REG",0.93,NA,0.501,0.5382,"REG","REG",0.93,NA,0.185,0.1992,"REG","REG",0.93,NA,0.267,0.2875,"REG","REG",0.93,NA,0.945,1.0165,"REG","REG",0.93,NA,0.041,0.0441,"REG","REG",0.93,NA,0.024,0.0258,"LOD","LOD",0.93,NA,0.034,0.0364,"LOD","LOD",0.93,NA,0.09,0.0964,"REG","REG",0.93,NA,0.037,0.0399,"REG","REG",0.93,NA,0.098,0.1057,"REG","REG",0.93,NA,0.042,0.0448,"LOD","LOD",0.94,NA,0.3,0.3231,"REG","REG",0.93,NA,0.582,0.6262,"REG","REG",0.93,NA,0.061,0.0659,"REG","REG",0.93,NA,0.064,0.0687,"REG","REG",0.93,NA,0.07,0.0752,"REG","REG",0.93,NA,0.042,0.0457,"LOD","LOD",0.92,NA,0.069,0.074,"LOD","LOD",0.93,NA,0.113,0.1217,"REG","REG",0.93,NA,0.17,0.1828,"REG","REG",0.93,NA,0.36,0.3874,"REG","REG",0.93,NA,0.173,0.1864,"REG","REG",0.93,NA,0.73,0.786,"REG","REG",0.93,NA,1.45,1.5604,"REG","REG",0.93,"CHECK",3.737,4.0208,"ULOD","ULOD",0.93,"CHECK",0.14,0.1507,"ULOD","ULOD",0.93,NA,0.527,0.5672,"REG","REG",0.93,NA,0.095,0.102,"REG","REG",0.93,NA,0.069,0.0745,"REG","REG",0.93,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.013,0.0136,"REG","REG",0.96,NA,0.014,0.0153,"LOD","LOD",0.92,NA,0.396,0.4256,"REG","REG",0.93,NA,0.046,0.0494,"REG","REG",0.93,NA,0.039,0.0423,"REG","REG",0.92,NA,0.248,0.2666,"REG","REG",0.93,NA
"Essington & Mingo32024",2,"Essington & Mingo","stationary","39.90131732, -75.2250262",39.90131732,-75.2250262,"#DB72FB","Industrial","Industrial","High","Auto body shop, junkyard","HighT/I","P733851","P733851 012524 011724 Essington SS","P733851 012524 011724 Essington SS.D","2024-01-25","2024-01-17","sample","2024-01-10","2024-01-17",9496,2,32024,1,0.528,0.5679,"REG","REG",0.93,NA,0.413,0.4443,"REG","REG",0.93,NA,0.088,0.0948,"REG","REG",0.93,NA,0.114,0.1225,"REG","REG",0.93,NA,0.427,0.4593,"REG","REG",0.93,NA,0.009,0.0093,"ND","ND",0.97,NA,0.007,0.0077,"ND","ND",0.91,NA,0.014,0.0145,"LOD","LOD",0.97,NA,0.037,0.0399,"LOD","LOD",0.93,NA,0.014,0.0155,"LOD","LOD",0.9,NA,0.032,0.0342,"REG","REG",0.94,NA,0.018,0.0191,"LOD","LOD",0.94,NA,0.133,0.1427,"REG","REG",0.93,NA,0.249,0.2675,"REG","REG",0.93,NA,0.062,0.0667,"REG","REG",0.93,NA,0.045,0.0487,"REG","REG",0.92,NA,0.029,0.0308,"LOD","LOD",0.94,NA,0.013,0.0137,"LOD","LOD",0.95,NA,0.031,0.033,"LOD","LOD",0.94,NA,0.053,0.0574,"REG","REG",0.92,NA,0.05,0.0536,"REG","REG",0.93,NA,0.153,0.165,"REG","REG",0.93,NA,0.075,0.0805,"REG","REG",0.93,NA,0.341,0.3673,"REG","REG",0.93,NA,0.532,0.5724,"REG","REG",0.93,NA,1.493,1.6067,"REG","REG",0.93,"CHECK",0.145,0.1563,"ULOD","ULOD",0.93,NA,0.193,0.2073,"REG","REG",0.93,NA,0.075,0.0811,"REG","REG",0.92,NA,0.005,0.0051,"ND","ND",0.98,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0.011,0.0116,"REG","REG",0.95,NA,0.009,0.0094,"LOD","LOD",0.96,NA,0.38,0.4091,"REG","REG",0.93,NA,0.032,0.0344,"REG","REG",0.93,NA,0.016,0.0173,"REG","REG",0.92,NA,0.303,0.3255,"REG","REG",0.93,NA
"Essington & Mingo122024",2,"Essington & Mingo","stationary","39.90131732, -75.2250262",39.90131732,-75.2250262,"#DB72FB","Industrial","Industrial","High","Auto body shop, junkyard","HighT/I","P726643","P726643 040324 032024 Essington SS RR","P726643 040324 032024 Essington SS RR.D","2024-04-03","2024-03-20","sample","2024-03-13","2024-03-20",9659,2,122024,1,0.734,0.7883,"REG","REG",0.93,NA,0.338,0.3624,"REG","REG",0.93,NA,0.1,0.1075,"REG","REG",0.93,NA,0.142,0.1516,"REG","REG",0.94,NA,0.617,0.7163,"REG","REG",0.86,NA,0.009,0.0236,"ND","LOD",0.38,NA,0.007,0.0076,"ND","ND",0.92,NA,0.017,0.0172,"LOD","LOD",0.99,NA,0.047,0.0507,"REG","REG",0.93,NA,0.018,0.0194,"REG","LOD",0.93,NA,0.047,0.0513,"REG","REG",0.92,NA,0.023,0.025,"LOD","LOD",0.92,NA,0.152,0.1632,"REG","REG",0.93,NA,0.21,0.2253,"REG","REG",0.93,NA,0.147,0.1567,"REG","REG",0.94,NA,0.083,0.0853,"REG","REG",0.97,NA,0.047,0.0486,"REG","LOD",0.97,NA,0.023,0.0236,"LOD","LOD",0.97,NA,0.056,0.0605,"REG","LOD",0.93,NA,0.013,0.0502,"ND","LOD",0.26,NA,0.011,0.0788,"ND","REG",0.14,NA,0.108,0.1159,"REG","REG",0.93,NA,0.077,0.0834,"REG","REG",0.92,NA,0.02,0.2756,"ND","REG",0.07,"CHECK",0.017,0.5294,"ND","REG",0.03,"CHECK",0.037,1.4662,"ND","REG",0.03,"CHECK",0,0.216,"ND","ULOD",0,"CHECK",0.02,0.2582,"ND","REG",0.08,"CHECK",0.006,0.0383,"ND","REG",0.16,NA,0.005,0.0096,"ND","LOD",0.52,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0,0.0132,"ND","REG",0,NA,0.001,0.0209,"LOD","LOD",0.05,NA,0.007,0.3873,"ND","REG",0.02,"CHECK",0.001,0.028,"ND","REG",0.04,NA,0.017,0.0182,"REG","REG",0.93,NA,0.266,0.2846,"REG","REG",0.93,NA
"61st & Passyunk292023",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P637226","P637226 072723 071923 61st & Passyunk 1WK DS","P637226 072723 071923 61st _ Passyunk 1WK DS.D","2023-07-27","2023-07-19","sample","2023-07-12","2023-07-19",9375,14.3,292023,1,0.853,0.9185,"REG","REG",0.93,NA,0.371,0.399,"REG","REG",0.93,NA,0.142,0.1525,"REG","REG",0.93,NA,0.261,0.281,"LOD","LOD",0.93,NA,0.683,0.7357,"REG","REG",0.93,NA,0.054,0.0579,"LOD","LOD",0.93,NA,0.007,0.0078,"ND","ND",0.9,NA,0.049,0.0526,"LOD","LOD",0.93,NA,0.124,0.1338,"LOD","LOD",0.93,NA,0.027,0.0288,"LOD","LOD",0.94,NA,0.118,0.1271,"LOD","LOD",0.93,NA,0.043,0.0462,"LOD","LOD",0.93,NA,0.3,0.3229,"REG","REG",0.93,NA,0.415,0.4469,"REG","REG",0.93,NA,0.083,0.089,"LOD","LOD",0.93,NA,0.103,0.1106,"LOD","LOD",0.93,NA,0.115,0.1241,"LOD","LOD",0.93,NA,0.101,0.1085,"LOD","LOD",0.93,NA,0.026,0.0277,"ND","ND",0.94,NA,0.129,0.1387,"LOD","LOD",0.93,NA,0.164,0.1777,"LOD","LOD",0.92,NA,0.236,0.2542,"LOD","LOD",0.93,NA,0.249,0.2676,"LOD","LOD",0.93,NA,0.518,0.558,"LOD","LOD",0.93,NA,1.005,1.0951,"REG","REG",0.92,NA,2.698,2.8902,"REG","REG",0.93,"CHECK",0.358,0.3761,"REG","REG",0.95,NA,0.596,0.6422,"REG","REG",0.93,NA,0.063,0.0631,"LOD","LOD",1,NA,0.005,0.0052,"ND","ND",0.96,NA,0.112,0.1224,"REG","REG",0.92,NA,0.002,0.0018,"ND","ND",1.11,NA,0,5e-4,"ND","ND",0,NA,0.006,0.0064,"ND","ND",0.94,NA,0.51,0.5487,"REG","REG",0.93,NA,0.066,0.0713,"REG","REG",0.93,NA,0.031,0.0339,"REG","REG",0.91,NA,0.169,0.1816,"REG","REG",0.93,NA
"61st & Passyunk502023",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P726664","P726664 122123 121323 61st & Passyunk SS","P726664 122123 121323 61st & Passyunk SS.D","2023-12-21","2023-12-13","sample","2023-12-06","2023-12-13",9461,2,502023,1,2.535,2.7277,"REG","REG",0.93,"CHECK",0.606,0.6507,"REG","REG",0.93,NA,0.362,0.3895,"REG","REG",0.93,NA,0.536,0.5769,"REG","REG",0.93,NA,1.484,1.5972,"REG","REG",0.93,"CHECK",0.093,0.1003,"REG","REG",0.93,NA,0.06,0.0644,"REG","REG",0.93,NA,0.075,0.0802,"REG","REG",0.94,NA,0.196,0.2114,"REG","REG",0.93,NA,0.089,0.0957,"REG","REG",0.93,NA,0.221,0.2378,"REG","REG",0.93,NA,0.095,0.1025,"REG","REG",0.93,NA,0.548,0.5892,"REG","REG",0.93,NA,0.982,1.0563,"REG","REG",0.93,NA,0.192,0.2069,"REG","REG",0.93,NA,0.162,0.1744,"REG","REG",0.93,NA,0.166,0.1784,"REG","REG",0.93,NA,0.074,0.08,"REG","REG",0.92,NA,0.154,0.1656,"REG","REG",0.93,NA,0.256,0.2755,"REG","REG",0.93,NA,0.275,0.2955,"REG","REG",0.93,NA,0.622,0.6694,"REG","REG",0.93,NA,0.416,0.4477,"REG","REG",0.93,NA,1.294,1.3921,"REG","REG",0.93,NA,2.015,2.1681,"ULOD","ULOD",0.93,"CHECK",3.738,4.0225,"ULOD","ULOD",0.93,"CHECK",0.14,0.1508,"ULOD","ULOD",0.93,NA,1.199,1.2906,"REG","REG",0.93,NA,0.14,0.1506,"REG","REG",0.93,NA,0.089,0.0958,"REG","REG",0.93,NA,0.013,0.0139,"LOD","LOD",0.94,NA,0.002,0.0017,"ND","ND",1.18,NA,0.013,0.0136,"REG","REG",0.96,NA,0.02,0.0211,"LOD","LOD",0.95,NA,0.367,0.3954,"REG","REG",0.93,NA,0.046,0.0494,"REG","REG",0.93,NA,0.026,0.0282,"REG","REG",0.92,NA,0.248,0.2668,"REG","REG",0.93,NA
"61st & Passyunk32024",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P733853","P733853 012524 011724 61st & Passyunk SS","P733853 012524 011724 61st & Passyunk SS.D","2024-01-25","2024-01-17","sample","2024-01-10","2024-01-17",9503,2,32024,1,1.079,1.1613,"REG","REG",0.93,NA,0.48,0.5163,"REG","REG",0.93,NA,0.171,0.1842,"REG","REG",0.93,NA,0.237,0.2553,"REG","REG",0.93,NA,0.776,0.8351,"REG","REG",0.93,NA,0.037,0.0399,"REG","REG",0.93,NA,0.021,0.0225,"LOD","LOD",0.93,NA,0.034,0.0363,"LOD","LOD",0.94,NA,0.095,0.1026,"REG","REG",0.93,NA,0.037,0.0393,"REG","REG",0.94,NA,0.089,0.0956,"REG","REG",0.93,NA,0.047,0.051,"LOD","LOD",0.92,NA,0.284,0.3055,"REG","REG",0.93,NA,0.607,0.6531,"REG","REG",0.93,NA,0.104,0.1117,"REG","REG",0.93,NA,0.094,0.1013,"REG","REG",0.93,NA,0.048,0.0513,"LOD","LOD",0.94,NA,0.013,0.0137,"LOD","LOD",0.95,NA,0.037,0.04,"LOD","LOD",0.92,NA,0.166,0.1786,"REG","REG",0.93,NA,0.099,0.1061,"REG","REG",0.93,NA,0.323,0.3473,"REG","REG",0.93,NA,0.213,0.229,"REG","REG",0.93,NA,0.687,0.7392,"REG","REG",0.93,NA,1.043,1.1225,"REG","REG",0.93,NA,3.132,3.3694,"REG","REG",0.93,"CHECK",0.145,0.1562,"ULOD","ULOD",0.93,NA,0.522,0.5616,"REG","REG",0.93,NA,0.087,0.0931,"REG","REG",0.93,NA,0.033,0.0353,"REG","REG",0.93,NA,0.003,0.0036,"ND","ND",0.83,NA,0.002,0.0017,"ND","ND",1.18,NA,0,5e-4,"ND","ND",0,NA,0.009,0.0094,"LOD","LOD",0.96,NA,0.366,0.3937,"REG","REG",0.93,NA,0.032,0.0344,"REG","REG",0.93,NA,0.012,0.0126,"REG","REG",0.95,NA,0.288,0.3102,"REG","REG",0.93,NA
"61st & Passyunk82024",3,"61st & Passyunk","stationary","39.91820446, -75.2085474",39.91820446,-75.2085474,"#00B9E3","Industrial","Industrial","High","Auto body shop, junkyard, gas station","HighT/I","P726651","P726651 022924 022124 61st and Passyunk SS","P726651 022924 022124 61st and Passyunk SS.D","2024-02-29","2024-02-21","sample","2024-02-14","2024-02-21",10091,2,82024,1,1.859,1.7108,"REG","REG",1.09,"CHECK",0.759,0.641,"REG","REG",1.18,"CHECK",0.276,0.2515,"REG","REG",1.1,NA,0.401,0.3641,"REG","REG",1.1,NA,1.367,1.1689,"REG","REG",1.17,"CHECK",0.045,0.0489,"REG","REG",0.92,NA,0.027,0.0332,"LOD","REG",0.81,NA,0.038,0.0444,"REG","REG",0.86,NA,0.115,0.1321,"REG","REG",0.87,NA,0.056,0.0561,"REG","REG",1,NA,0.14,0.1404,"REG","REG",1,NA,0.054,0.0661,"LOD","REG",0.82,NA,0.557,0.4551,"REG","REG",1.22,"CHECK",0.936,0.7308,"REG","REG",1.28,"CHECK",0.383,0.4344,"REG","REG",0.88,NA,0.241,0.2661,"REG","REG",0.91,NA,0.069,0.0882,"REG","REG",0.78,NA,0.031,0.0261,"LOD","LOD",1.19,NA,0.092,0.0785,"REG","LOD",1.17,NA,0.168,0.1321,"REG","REG",1.27,NA,0.148,0.1286,"REG","REG",1.15,NA,0.383,0.2969,"REG","REG",1.29,NA,0.256,0.2791,"REG","REG",0.92,NA,0.81,0.6284,"REG","REG",1.29,"CHECK",1.281,1.1282,"REG","REG",1.14,"CHECK",3.303,3.2655,"REG","REG",1.01,NA,0.215,0.162,"ULOD","REG",1.33,NA,0.615,0.427,"REG","REG",1.44,"CHECK",0.102,0.0065,"REG","ND",15.69,NA,0.038,0.0382,"REG","REG",0.99,NA,0.003,0.0034,"ND","ND",0.88,NA,0.002,0.0016,"ND","ND",1.25,NA,0.013,5e-4,"REG","ND",26,NA,0.02,0.02,"REG","REG",1,NA,0.456,0.2709,"REG","REG",1.68,"CHECK",0.044,0.0347,"REG","REG",1.27,NA,0.018,0.0132,"REG","REG",1.36,NA,0.349,0.0991,"REG","REG",3.52,"CHECK"
