"site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2","m_p_xylene_2_flag","m_p_xylene_2_unc","benzene","benzene_flag","benzene_unc","ethylbenzene","ethylbenzene_flag","ethylbenzene_unc","o_xylene","o_xylene_flag","o_xylene_unc","toluene","toluene_flag","toluene_unc","benzene_1_2_3_trimethyl","benzene_1_2_3_trimethyl_flag","benzene_1_2_3_trimethyl_unc","benzene_1_4_diethyl","benzene_1_4_diethyl_flag","benzene_1_4_diethyl_unc","benzene_1_ethyl_2_methyl","benzene_1_ethyl_2_methyl_flag","benzene_1_ethyl_2_methyl_unc","benzene_1_ethyl_3_methyl","benzene_1_ethyl_3_methyl_flag","benzene_1_ethyl_3_methyl_unc","benzene_1_ethyl_4_methyl","benzene_1_ethyl_4_methyl_flag","benzene_1_ethyl_4_methyl_unc","mesitylene","mesitylene_flag","mesitylene_unc","benzene_propyl","benzene_propyl_flag","benzene_propyl_unc","heptane","heptane_flag","heptane_unc","n_hexane","n_hexane_flag","n_hexane_unc","nonane","nonane_flag","nonane_unc","octane","octane_flag","octane_unc","decane","decane_flag","decane_unc","dodecane","dodecane_flag","dodecane_unc","undecane","undecane_flag","undecane_unc","pentane_2_3_4_trimethyl","pentane_2_3_4_trimethyl_flag","pentane_2_3_4_trimethyl_unc","pentane_2_4_dimethyl","pentane_2_4_dimethyl_flag","pentane_2_4_dimethyl_unc","hexane_2_methyl","hexane_2_methyl_flag","hexane_2_methyl_unc","heptane_3_methyl","heptane_3_methyl_flag","heptane_3_methyl_unc","hexane_3_methyl","hexane_3_methyl_flag","hexane_3_methyl_unc","pentane_3_methyl","pentane_3_methyl_flag","pentane_3_methyl_unc","pentane_2_methyl","pentane_2_methyl_flag","pentane_2_methyl_unc","butane_2_methyl","butane_2_methyl_flag","butane_2_methyl_unc","cyclohexane_methyl","cyclohexane_methyl_flag","cyclohexane_methyl_unc","x1_hexene","x1_hexene_flag","x1_hexene_unc","x2_pentene_z_cis","x2_pentene_z_cis_flag","x2_pentene_z_cis_unc","x1_3_butadiene_2_methyl","x1_3_butadiene_2_methyl_flag","x1_3_butadiene_2_methyl_unc","x2_hexanone","x2_hexanone_flag","x2_hexanone_unc","methyl_isobutyl_ketone","methyl_isobutyl_ketone_flag","methyl_isobutyl_ketone_unc","benzene_1_2_dichloro","benzene_1_2_dichloro_flag","benzene_1_2_dichloro_unc","carbon_tetrachloride","carbon_tetrachloride_flag","carbon_tetrachloride_unc","trichloromethane","trichloromethane_flag","trichloromethane_unc","tetrachloroethylene","tetrachloroethylene_flag","tetrachloroethylene_unc","trichloromonofluoromethane","trichloromonofluoromethane_flag","trichloromonofluoromethane_unc","conversion_factor","blank_corrected_value","xylenes","xylenes_flag","btex","btex_flag","season"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726601","P726601 102723 102523 Bartrams SS","P726601 102723 102523 Bartrams SS.D","2023-10-27","2023-10-25","sample","2023-10-18","2023-10-25",9883,2,"432023",1,0.5912,"REG",0.2233,0.2245,"REG",0.085,0.0906,"REG",0.0333,0.1278,"REG",0.0477,0.3724,"REG",0.1477,0.0154,"LOD",0.0185,0.0123,"LOD",0.0153,0.014,"LOD",0.0189,0.0426,"LOD",0.0234,0.0229,"LOD",0.0165,0.0497,"REG",0.0211,0.0184,"LOD",0.0305,0.126,"REG",0.0511,0.2159,"REG",0.0589,0.0332,"REG",0.0257,0.0299,"REG",0.0176,0.0341,"LOD",0.0329,0.0071,"LOD",0.0305,0.027,"LOD",0.0531,0.0552,"REG",0.0334,0.0606,"REG",0.0304,0.1207,"REG",0.0366,0.0833,"REG",0.0487,0.2838,"REG",0.1042,0.4566,"REG",0.1707,1.1949,"REG",0.443,0.1934,"ULOD",0.0722,0.2226,"REG",0.0924,0.0291,"REG",0.0172,0.0049,"ND",0.0082,0.0035,"ND",0.0058,0.0017,"ND",0.0028,5e-4,"ND",8e-4,0.0495,"REG",0.0177,0.3057,"REG",0.1115,0.0378,"REG",0.0146,0.018,"REG",0.0039,0.1494,"REG",0.0367,0.24091393108897918,0.62,0.719,"REG",1.4064999999999999,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726602","P726602 102723 102523 Bartrams DUP SS","P726602 102723 102523 Bartrams DUP SS.D","2023-10-27","2023-10-25","duplicate","2023-10-18","2023-10-25",9883,2,"432023",1,0.6201,"REG",0.2342,0.2435,"REG",0.0921,0.1007,"REG",0.037,0.1331,"REG",0.0494,0.3897,"REG",0.1545,0.0192,"LOD",0.0189,0.0074,"ND",0.0123,0.0174,"LOD",0.0192,0.0462,"REG",0.0236,0.0229,"LOD",0.0165,0.0497,"REG",0.0211,0.0184,"LOD",0.0305,0.1325,"REG",0.0537,0.2226,"REG",0.0608,0.0236,"REG",0.0229,0.0341,"REG",0.0189,0.0341,"LOD",0.0329,0.0126,"LOD",0.0309,0.027,"LOD",0.0531,0.0552,"REG",0.0334,0.064,"REG",0.0312,0.1275,"REG",0.0379,0.0833,"REG",0.0487,0.2961,"REG",0.108,0.467,"REG",0.1744,1.2528,"REG",0.4638,0.1759,"ULOD",0.0656,0.2333,"REG",0.0959,0.0291,"REG",0.0172,0.0054,"REG",0.01,0.0035,"ND",0.0058,0.0017,"ND",0.0028,0.0074,"REG",0.0026,0.0495,"REG",0.0177,0.3203,"REG",0.1167,0.0378,"REG",0.0146,0.018,"REG",0.0039,0.1445,"REG",0.0355,0.24091393108897918,0.6,0.7532,"REG",1.4871,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726603","P726603 110923 110123 Bartrams SS","P726603 110923 110123 Bartrams SS.D","2023-11-09","2023-11-01","sample","2023-10-25","2023-11-01",10310,2,"442023",1,0.6422,"REG",0.2426,0.294,"REG",0.111,0.1057,"REG",0.0388,0.1429,"REG",0.0521,0.7177,"REG",0.2846,0.0221,"LOD",0.0185,0.0071,"ND",0.0118,0.0201,"LOD",0.0188,0.0545,"REG",0.0233,0.0256,"LOD",0.0162,0.0558,"REG",0.0228,0.0294,"LOD",0.0306,0.1577,"REG",0.0638,0.2515,"REG",0.0686,0.3159,"REG",0.1574,0.1596,"REG",0.0677,0.0781,"REG",0.042,0.0225,"LOD",0.0308,0.0653,"LOD",0.0531,0.0529,"REG",0.0321,0.0484,"REG",0.0271,0.1229,"REG",0.0365,0.1016,"REG",0.0514,0.2721,"REG",0.0999,0.3681,"REG",0.1388,1.0715,"REG",0.3981,0.1341,"REG",0.05,0.194,"REG",0.0822,0.0479,"REG",0.0219,0.0104,"LOD",0.0101,0.0033,"ND",0.0056,0.0016,"ND",0.0027,4e-4,"ND",7e-4,0.0361,"REG",0.0149,0.2791,"REG",0.1019,0.0354,"REG",0.0136,0.0259,"REG",0.0051,0.1247,"REG",0.0306,0.23093621541730175,0.54,0.7851,"REG",1.9024999999999999,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726604","P726604 110923 110123 Bartrams DUP SS RENAME","P726604 110923 110123 Bartrams DUP SS RENAME","2023-11-09","2023-11-01","duplicate","2023-10-25","2023-11-01",10310,2,"442023",1,0.6214,"REG",0.2347,0.2819,"REG",0.1064,0.1009,"REG",0.037,0.1378,"REG",0.0505,0.6889,"REG",0.2732,0.0221,"LOD",0.0185,0.0118,"LOD",0.0147,0.0201,"LOD",0.0188,0.051,"REG",0.0231,0.022,"LOD",0.0158,0.0558,"REG",0.0228,0.0235,"LOD",0.0298,0.1452,"REG",0.0588,0.2451,"REG",0.0669,0.0527,"REG",0.0322,0.0465,"REG",0.0228,0.0497,"LOD",0.0348,0.0173,"LOD",0.0301,0.0459,"LOD",0.0518,0.047,"LOD",0.031,0.042,"LOD",0.0258,0.1164,"REG",0.0352,0.0901,"REG",0.0488,0.2602,"REG",0.0963,0.3482,"REG",0.1318,1.0161,"REG",0.3783,0.1439,"ULOD",0.0537,0.1838,"REG",0.0789,0.0479,"REG",0.0219,0.0104,"LOD",0.0101,0.0033,"ND",0.0056,0.0016,"ND",0.0027,4e-4,"ND",7e-4,0.0307,"REG",0.0141,0.2652,"REG",0.0969,0.0354,"REG",0.0136,0.0259,"REG",0.0051,0.1293,"REG",0.0317,0.23093621541730175,0.56,0.7592,"REG",1.8308999999999997,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726604","P726604 051124 050124 Bartrams SS.D","P726604 051124 050124 Bartrams SS.D","2024-05-11","2024-05-01","duplicate","2024-04-24","2024-05-01",10184,2,"182024",1,0.5871,"REG",0.2217,0.2578,"REG",0.0974,0.0864,"REG",0.0318,0.1266,"REG",0.0471,0.379,"REG",0.1503,0.0261,"LOD",0.0192,0.015,"LOD",0.0152,0.0203,"LOD",0.019,0.0482,"REG",0.0231,0.0259,"LOD",0.0164,0.0646,"REG",0.0258,0.0238,"LOD",0.0302,0.1444,"REG",0.0585,0.2069,"REG",0.0565,0.0496,"REG",0.0311,0.0479,"REG",0.0233,0.0704,"REG",0.0401,0.0318,"LOD",0.0328,0.0753,"LOD",0.0546,0.0476,"LOD",0.0313,0.0719,"REG",0.0327,0.1047,"REG",0.033,0.0809,"REG",0.0472,0.2395,"REG",0.0903,0.1914,"REG",0.0781,1.2905,"REG",0.477,0.1879,"REG",0.0701,0.2584,"REG",0.1039,0.0474,"REG",0.0218,0.0048,"ND",0.008,0.0034,"ND",0.0056,0.0016,"ND",0.0027,0.009,"REG",0.0031,0.0196,"REG",0.0128,0.325,"REG",0.1184,0.0257,"REG",0.01,0.0131,"REG",0.0032,0.0463,"REG",0.0114,0.23379343882093295,0.198,0.7137,"REG",1.4369,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726605","P726605 051124 050124 Bartrams SS.D","P726605 051124 050124 Bartrams SS.D","2024-05-11","2024-05-01","sample","2024-04-24","2024-05-01",10184,2,"182024",1,0.6291,"REG",0.2376,0.27,"REG",0.102,0.0913,"REG",0.0335,0.1318,"REG",0.0487,0.4124,"REG",0.1635,0.0261,"LOD",0.0192,0.018,"LOD",0.0155,0.0203,"LOD",0.019,0.0517,"REG",0.0234,0.0296,"REG",0.0168,0.0646,"REG",0.0258,0.0298,"LOD",0.0309,0.1634,"REG",0.0662,0.2134,"REG",0.0583,0.1291,"REG",0.0667,0.0847,"REG",0.0373,0.0848,"REG",0.0442,0.0318,"LOD",0.0328,0.0884,"REG",0.0558,0.0476,"LOD",0.0313,0.0817,"REG",0.0352,0.1113,"REG",0.0343,0.104,"REG",0.0523,0.2515,"REG",0.0939,0.1914,"REG",0.0781,1.3467,"REG",0.4972,0.1808,"REG",0.0675,0.2584,"REG",0.1039,0.0474,"REG",0.0218,0.0059,"LOD",0.0098,0.0034,"ND",0.0056,0.0016,"ND",0.0027,0.009,"REG",0.0031,0.0196,"REG",0.0128,0.3391,"REG",0.1234,0.0257,"REG",0.01,0.0131,"REG",0.0032,0.0463,"REG",0.0114,0.23379343882093295,0.198,0.7609,"REG",1.5346,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726618","P726618 051224 050824 Bartrams SS","P726618 051224 050824 Bartrams SS.D","2024-05-12","2024-05-08","sample","2024-05-01","2024-05-08",10241,2,"192024",1,0.5838,"REG",0.2205,0.2868,"REG",0.1083,0.081,"REG",0.0298,0.1259,"REG",0.0469,0.4018,"REG",0.1593,0.0222,"LOD",0.0186,0.0119,"LOD",0.0148,0.0202,"LOD",0.0189,0.0411,"LOD",0.0226,0.0221,"LOD",0.0159,0.048,"REG",0.0203,0.0237,"LOD",0.03,0.1058,"REG",0.0429,0.1471,"REG",0.0403,0.0446,"REG",0.0292,0.0395,"REG",0.0204,0.0462,"LOD",0.0342,0.0211,"LOD",0.0308,0.0553,"LOD",0.0527,0.0355,"LOD",0.0293,0.0487,"REG",0.0273,0.0846,"REG",0.0291,0.0689,"LOD",0.0447,0.1905,"REG",0.0759,0.1402,"REG",0.0618,0.9486,"REG",0.3543,0.0993,"REG",0.0371,0.1747,"REG",0.0762,0.0247,"REG",0.0158,0.0059,"LOD",0.0097,0.0034,"ND",0.0056,0.0016,"ND",0.0027,4e-4,"ND",7e-4,0.0304,"REG",0.0141,0.3231,"REG",0.1177,0.0256,"REG",0.01,0.0174,"REG",0.0038,0.0414,"REG",0.0102,0.2324921766382561,0.178,0.7097,"REG",1.4792999999999998,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726619","P726619 051224 050824 Bartrams DUP SS","P726619 051224 050824 Bartrams DUP SS.D","2024-05-12","2024-05-08","duplicate","2024-05-01","2024-05-08",10241,2,"192024",1,0.5977,"REG",0.2258,0.2807,"REG",0.106,0.0859,"REG",0.0316,0.1311,"REG",0.0484,0.4143,"REG",0.1643,0.0259,"LOD",0.0191,0.003,"LOD",0.0143,0.0202,"LOD",0.0189,0.0445,"REG",0.0228,0.0221,"LOD",0.0159,0.0561,"REG",0.023,0.0237,"LOD",0.03,0.1121,"REG",0.0455,0.1471,"REG",0.0403,0.0725,"REG",0.0406,0.0517,"REG",0.0247,0.051,"REG",0.0352,0.0211,"LOD",0.0308,0.0553,"LOD",0.0527,0.0355,"LOD",0.0293,0.0585,"REG",0.0294,0.0846,"REG",0.0291,0.0689,"LOD",0.0447,0.2024,"REG",0.0793,0.1402,"REG",0.0618,0.93,"REG",0.3476,0.0972,"REG",0.0363,0.1747,"REG",0.0762,0.0247,"REG",0.0158,0.0059,"LOD",0.0097,0.0256,"REG",0.0119,0.0016,"ND",0.0027,4e-4,"ND",7e-4,0.0304,"REG",0.0141,0.3512,"REG",0.1278,0.0256,"REG",0.01,0.0174,"REG",0.0038,0.046,"REG",0.0114,0.2324921766382561,0.198,0.7288,"REG",1.5097,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726670","P726670 062724 061924 Bartrams SS","P726670 062724 061924 Bartrams SS.D","2024-06-27","2024-06-19","sample","2024-06-19","2024-06-26",10060,2,"262024",1,0.235,"REG",0.0889,0.0963,"REG",0.0374,0.034,"REG",0.0129,0.0515,"REG",0.0263,0.1923,"REG",0.0763,0.0111,"LOD",0.0179,0.0073,"ND",0.0121,0.0103,"LOD",0.0183,0.014,"LOD",0.0219,0.0111,"LOD",0.0153,0.0236,"REG",0.0135,0.012,"LOD",0.0296,0.0683,"REG",0.0278,0.0736,"REG",0.0205,0.057,"REG",0.0342,0.0348,"REG",0.019,0.0482,"LOD",0.0351,0.0215,"LOD",0.0314,0.057,"LOD",0.0537,0.0181,"LOD",0.0278,0.0111,"ND",0.0185,0.0398,"LOD",0.0228,0.0351,"LOD",0.0404,0.0849,"REG",0.0506,0.1014,"REG",0.0511,0.284,"REG",0.1289,3e-4,"ND",4e-4,0.0837,"REG",0.0513,0.0194,"REG",0.015,0.0048,"ND",0.0081,0.13,"REG",0.0503,0.0016,"ND",0.0027,5e-4,"ND",8e-4,0.0072,"LOD",0.012,0.1716,"REG",0.0637,0.0186,"REG",0.0074,0.0088,"REG",0.0027,0.0663,"REG",0.0163,0.2366751869733977,0.28,0.2865,"REG",0.6091,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733841","P733841 062724 061924 Bartrams DUP SS","P733841 062724 061924 Bartrams DUP SS.D","2024-06-27","2024-06-19","duplicate","2024-06-19","2024-06-26",10059,2,"262024",1,0.2492,"REG",0.0943,0.1025,"REG",0.0397,0.039,"REG",0.0146,0.0568,"REG",0.0275,0.205,"REG",0.0813,0.0149,"LOD",0.0182,0.0073,"ND",0.0121,0.0103,"LOD",0.0183,0.0174,"LOD",0.022,0.0111,"LOD",0.0153,0.0236,"REG",0.0135,0.0121,"LOD",0.0296,0.0683,"REG",0.0278,0.0736,"REG",0.0205,0.057,"REG",0.0342,0.0348,"REG",0.019,0.0483,"LOD",0.0351,0.0215,"LOD",0.0314,0.057,"LOD",0.0537,0.0181,"LOD",0.0278,0.0165,"LOD",0.0229,0.0398,"LOD",0.0228,0.0468,"LOD",0.0418,0.097,"REG",0.053,0.1116,"REG",0.053900000000000003,0.303,"REG",0.1346,0.031,"REG",0.0116,0.0942,"REG",0.0537,0.0194,"REG",0.015,0.0048,"ND",0.0081,0.1268,"REG",0.0491,0.0016,"ND",0.0027,5e-4,"ND",8e-4,0.0127,"LOD",0.0123,0.186,"REG",0.0688,0.0186,"REG",0.0074,0.0088,"REG",0.0027,0.0615,"REG",0.0151,0.23669871567276876,0.26,0.306,"REG",0.6525,"REG",NA
