"","site","file_id","site_id","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","trichlorofluoromethane_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","butane_2_methyl","butane_2_methyl_flag","x2_pentene_z_cis","x2_pentene_z_cis_flag","x1_3_butadiene_2_methyl","x1_3_butadiene_2_methyl_flag","pentane_2_methyl","pentane_2_methyl_flag","pentane_3_methyl","pentane_3_methyl_flag","x1_hexene","x1_hexene_flag","pentane_2_4_dimethyl","pentane_2_4_dimethyl_flag","trichloromethane","trichloromethane_flag","hexane_3_methyl","hexane_3_methyl_flag","carbon_tetrachloride","carbon_tetrachloride_flag","cyclohexane_methyl","cyclohexane_methyl_flag","pentane_2_3_4_trimethyl","pentane_2_3_4_trimethyl_flag","methyl_isobutyl_ketone","methyl_isobutyl_ketone_flag","x2_hexanone","x2_hexanone_flag","benzene_1_2_3_trimethyl","benzene_1_2_3_trimethyl_flag","benzene_1_4_diethyl","benzene_1_4_diethyl_flag","site_type","lat","long","site_color","season","week","sample_length","tot_weeks"
"1","Bartram’s Garden","P726609 061623",1,2023-06-07 14:25:00,2023-06-14 13:28:00,0.24,"REG",0.235,"REG",0.05,"REG",0.298,"REG",0.823,"REG",0.23,"REG",0.068,"REG",0.049,"REG",0.085,"REG",0.052,"REG",0.04,"REG",0.047,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.012,"LOD",0.011,"ND",0.026,"LOD",0.01,"LOD",0.033,"REG",0.014,"LOD",0.011,"LOD",0.013,"LOD",0.005,"LOD","2.5000000000000001E-2","REG","1.7999999999999999E-2","REG","8.2000000000000003E-2","REG","0.38500000000000001","REG","0.13300000000000001","REG","1.7000000000000001E-2","REG","1.7000000000000001E-2","LOD","1.9E-2","REG","0.11","REG","0.215","REG","9.5000000000000001E-2","REG","0.03","LOD","7.0000000000000001E-3","REG","8.9999999999999993E-3","REG","1.0999999999999999E-2","LOD","8.9999999999999993E-3","LOD","stationary","39.92896"," -75.212541","#e377c3",NA,"242023",1,47
"2","61st & Passyunk","P726608 061623",3,2023-06-07 14:18:00,2023-06-14 14:04:00,0.338,"REG",0.72,"REG",0.169,"REG",1.205,"REG",2.432,"REG",0.938,"REG",0.267,"REG",0.044,"REG",0.29,"REG",0.197,"REG",0.187,"REG",0.164,"REG",0.026,"REG",0.009,"REG",0.01,"ND",0.054,"LOD",0.011,"ND",0.112,"REG",0.039,"REG",0.116,"REG",0.041,"REG",0.006,"LOD",0.046,"LOD",0.021,"LOD","0.13200000000000001","REG","1.7999999999999999E-2","REG","3.5999999999999997E-2","REG","1.3859999999999999","REG","0.499","REG","0.04","REG","7.9000000000000001E-2","REG","1.9E-2","REG","0.41199999999999998","REG","0.214","REG","0.33500000000000002","REG","0.108","REG","8.9999999999999993E-3","REG","1.4E-2","REG","4.9000000000000002E-2","REG","3.5999999999999997E-2","REG","stationary","39.91820446"," -75.2085474","#8c564c",NA,"242023",1,46
"3","28th & Passyunk","P726607 061623",4,2023-06-07 14:13:00,2023-06-14 14:15:00,0.27,"REG",0.237,"REG",0.055,"REG",0.388,"REG",0.95,"REG",0.299,"REG",0.089,"REG",0.044,"REG",0.117,"REG",0.084,"REG",0.059,"REG",0.105,"REG",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.011,"ND",0.037,"REG",0.015,"LOD",0.05,"REG",0.017,"LOD",0.006,"LOD",0.026,"LOD",0.011,"LOD","0.14299999999999999","REG","5.0000000000000001E-3","LOD","2.5999999999999999E-2","REG","0.81699999999999995","REG","0.33600000000000002","REG","7.0000000000000001E-3","ND","0.10199999999999999","REG","1.9E-2","REG","0.20599999999999999","REG","0.214","REG","0.38600000000000001","REG","0.39700000000000002","REG","7.0000000000000001E-3","REG","1.4E-2","REG","1.9E-2","LOD","1.7999999999999999E-2","LOD","stationary","39.92061091"," -75.1955879","#d62727",NA,"242023",1,47
"4","28th & Point Breeze","P726606 061623",5,2023-06-07 14:01:00,2023-06-14 14:31:00,0.281,"REG",0.308,"REG",0.074,"REG",0.524,"REG",1.187,"REG",0.404,"REG",0.12,"REG",0.044,"REG",0.137,"REG",0.084,"REG",0.059,"REG",0.07,"LOD",0.006,"ND",0.163,"REG",0.01,"ND",0.024,"LOD",0.011,"ND",0.056,"REG",0.029,"REG",0.058,"REG",0.02,"LOD",0.011,"LOD",0.04,"LOD",0.048,"REG","8.3000000000000004E-2","REG","5.0000000000000001E-3","LOD","3.5999999999999997E-2","REG","0.68300000000000005","REG","0.23300000000000001","REG","1.7000000000000001E-2","REG","6.6000000000000003E-2","REG","1.7999999999999999E-2","REG","0.193","REG","0.21299999999999999","REG","0.16700000000000001","REG","0.17399999999999999","REG","8.9999999999999993E-3","REG","8.9999999999999993E-3","REG","2.5999999999999999E-2","LOD","2.4E-2","LOD","stationary","39.92624784"," -75.1923165","#9467bd",NA,"242023",1,47
"5","25th & Point Breeze","P726619 061723",6,2023-06-07 13:38:00,2023-06-14 14:41:00,0.256,"REG",0.324,"REG",0.069,"REG",0.46,"REG",1.109,"REG",0.361,"REG",0.099,"REG",0.043,"REG",0.097,"REG",0.084,"REG",0.059,"REG",0.058,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.038,"LOD",0.015,"LOD",0.014,"LOD",0.033,"REG",0.014,"LOD",0.011,"LOD",0.02,"LOD",0.016,"LOD","9.9000000000000005E-2","REG","5.0000000000000001E-3","LOD","5.1999999999999998E-2","REG","0.47399999999999998","REG","0.17199999999999999","REG","1.7000000000000001E-2","REG","5.1999999999999998E-2","REG","1.7999999999999999E-2","REG","0.192","REG","0.19900000000000001","REG","0.14499999999999999","REG","0.155","REG","8.9999999999999993E-3","REG","8.9999999999999993E-3","REG","1.9E-2","LOD","1.2E-2","LOD","stationary","39.92771763"," -75.1873965","#ff7f0f",NA,"242023",1,47
"6","Morris & Point Breeze","P726605 061623",7,2023-06-07 13:53:00,2023-06-14 14:52:00,0.293,"REG",0.358,"REG",0.084,"REG",0.543,"REG",1.278,"REG",0.424,"REG",0.119,"REG",0.043,"REG",0.13,"REG",0.071,"REG",0.065,"REG",0.07,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.024,"LOD",0.011,"ND",0.048,"REG",0.034,"REG",0.058,"REG",0.02,"LOD",0.038,"REG",0.046,"LOD",0.043,"REG","0.13200000000000001","REG","5.0000000000000001E-3","LOD","3.5999999999999997E-2","REG","0.625","REG","0.223","REG","1.7000000000000001E-2","REG","4.5999999999999999E-2","REG","1.7999999999999999E-2","REG","0.156","REG","0.21299999999999999","REG","0.14499999999999999","REG","0.108","REG","8.9999999999999993E-3","REG","8.9999999999999993E-3","REG","2.1999999999999999E-2","LOD","1.7999999999999999E-2","LOD","stationary","39.93094655"," -75.1829941","#bcbd21",NA,"242023",1,45
"7","24th & Ritner","P733869 061623",8,2023-06-07 13:44:00,2023-06-14 15:01:00,0.28,"REG",0.303,"REG",0.069,"REG",0.458,"REG",1.11,"REG",0.36,"REG",0.098,"REG",0.025,"REG",0.103,"REG",0.071,"REG",0.059,"REG",0.069,"LOD",0.006,"ND",0.013,"REG",0.01,"ND",0.024,"LOD",0.045,"REG",0.019,"LOD",0.01,"LOD",0.049,"REG",0.017,"LOD",0.011,"LOD",0.02,"LOD",0.016,"LOD","3.5999999999999997E-2","REG","5.0000000000000001E-3","LOD","4.2000000000000003E-2","REG","0.51100000000000001","REG","0.20200000000000001","REG","1.7000000000000001E-2","REG","4.9000000000000002E-2","REG","4.5999999999999999E-2","REG","0.16800000000000001","REG","0.19800000000000001","REG","0.19700000000000001","REG","0.17899999999999999","REG","8.9999999999999993E-3","REG","2E-3","ND","8.9999999999999993E-3","ND","1.4999999999999999E-2","LOD","stationary","39.92296389"," -75.186874","#1f77b4",NA,"242023",1,46
"8","26th & Hartranft","P733863 061623",9,2023-06-07 13:21:00,2023-06-14 15:16:00,0.303,"REG",0.322,"REG",0.113,"REG",0.726,"REG",1.464,"REG",0.576,"REG",0.15,"REG",0.043,"REG",0.293,"REG",0.397,"REG",0.286,"REG",0.681,"REG",0.087,"REG",0.009,"REG",0.01,"ND",0.137,"REG",0.1,"REG",0.044,"REG",0.225,"REG",0.131,"REG",0.051,"REG",0.006,"ND",0.405,"REG",0.329,"REG","0.183","REG","5.0000000000000001E-3","LOD","3.2000000000000001E-2","REG","2.2280000000000002","REG","1.0760000000000001","REG","6.2E-2","REG","0.307","REG","2.8000000000000001E-2","REG","1.0649999999999999","REG","0.183","REG","3.0249999999999999","REG","1.165","REG","8.9999999999999993E-3","REG","2E-3","ND","0.06","REG","8.1000000000000003E-2","REG","stationary","39.91327125"," -75.1922011","#2ba02b",NA,"242023",1,44
"9","Bartram’s Garden","P733856 071323",1,2023-06-28 13:04:00,2023-07-05 11:35:00,0.291,"REG",0.267,"REG",0.06,"REG",0.363,"REG",0.981,"REG",0.279,"REG",0.084,"REG",0.048,"REG",0.11,"REG",0.06,"REG",0.07,"REG",0.057,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.011,"ND",0.03,"REG",0.021,"LOD",0.092,"REG",0.014,"LOD",0.017,"LOD",0.026,"ND",0.024,"LOD","5.7000000000000002E-2","REG","5.0000000000000001E-3","ND","0.11799999999999999","REG","0.55300000000000005","REG","0.17299999999999999","REG","1.6E-2","REG","5.1999999999999998E-2","REG","2.8000000000000001E-2","REG","0.13400000000000001","REG","0.187","REG","0.126","REG","6.0999999999999999E-2","REG","0","ND","2E-3","ND","1.4999999999999999E-2","LOD","7.0000000000000001E-3","ND","stationary","39.92896"," -75.212541","#e377c3",NA,"272023",1,47
"10","Essington & Mingo","P733857 071323",2,2023-06-28 13:34:00,2023-07-05 12:32:00,0.334,"REG",0.742,"REG",0.162,"REG",1.143,"REG",2.381,"REG",0.888,"REG",0.255,"REG",0.055,"REG",0.19,"REG",0.12,"REG",0.134,"REG",0.092,"REG",0.042,"REG",0.009,"REG",0.008,"REG",0.036,"REG",0.084,"REG",0.028,"REG",0.03,"REG",0.071,"REG",0.029,"REG",0.006,"LOD",0.059,"REG",0.024,"REG","8.2000000000000003E-2","REG","3.0000000000000001E-3","REG","7.3999999999999996E-2","REG","1.012","REG","0.36299999999999999","REG","0.04","REG","7.5999999999999998E-2","REG","2.3E-2","REG","0.26200000000000001","REG","0.187","REG","0.152","REG","0.109","REG","0","ND","1.2999999999999999E-2","REG","3.2000000000000001E-2","REG","1.7000000000000001E-2","REG","stationary","39.90131732"," -75.2250262","#7f7f7f",NA,"272023",1,44
