"site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2","m_p_xylene_2_flag","m_p_xylene_2_unc","benzene","benzene_flag","benzene_unc","ethylbenzene","ethylbenzene_flag","ethylbenzene_unc","o_xylene","o_xylene_flag","o_xylene_unc","toluene","toluene_flag","toluene_unc","benzene_1_2_3_trimethyl","benzene_1_2_3_trimethyl_flag","benzene_1_2_3_trimethyl_unc","benzene_1_4_diethyl","benzene_1_4_diethyl_flag","benzene_1_4_diethyl_unc","benzene_1_ethyl_2_methyl","benzene_1_ethyl_2_methyl_flag","benzene_1_ethyl_2_methyl_unc","benzene_1_ethyl_3_methyl","benzene_1_ethyl_3_methyl_flag","benzene_1_ethyl_3_methyl_unc","benzene_1_ethyl_4_methyl","benzene_1_ethyl_4_methyl_flag","benzene_1_ethyl_4_methyl_unc","mesitylene","mesitylene_flag","mesitylene_unc","benzene_propyl","benzene_propyl_flag","benzene_propyl_unc","heptane","heptane_flag","heptane_unc","n_hexane","n_hexane_flag","n_hexane_unc","nonane","nonane_flag","nonane_unc","octane","octane_flag","octane_unc","decane","decane_flag","decane_unc","dodecane","dodecane_flag","dodecane_unc","undecane","undecane_flag","undecane_unc","pentane_2_3_4_trimethyl","pentane_2_3_4_trimethyl_flag","pentane_2_3_4_trimethyl_unc","pentane_2_4_dimethyl","pentane_2_4_dimethyl_flag","pentane_2_4_dimethyl_unc","hexane_2_methyl","hexane_2_methyl_flag","hexane_2_methyl_unc","heptane_3_methyl","heptane_3_methyl_flag","heptane_3_methyl_unc","hexane_3_methyl","hexane_3_methyl_flag","hexane_3_methyl_unc","pentane_3_methyl","pentane_3_methyl_flag","pentane_3_methyl_unc","pentane_2_methyl","pentane_2_methyl_flag","pentane_2_methyl_unc","butane_2_methyl","butane_2_methyl_flag","butane_2_methyl_unc","cyclohexane_methyl","cyclohexane_methyl_flag","cyclohexane_methyl_unc","x1_hexene","x1_hexene_flag","x1_hexene_unc","x2_pentene_z_cis","x2_pentene_z_cis_flag","x2_pentene_z_cis_unc","x1_3_butadiene_2_methyl","x1_3_butadiene_2_methyl_flag","x1_3_butadiene_2_methyl_unc","x2_hexanone","x2_hexanone_flag","x2_hexanone_unc","methyl_isobutyl_ketone","methyl_isobutyl_ketone_flag","methyl_isobutyl_ketone_unc","benzene_1_2_dichloro","benzene_1_2_dichloro_flag","benzene_1_2_dichloro_unc","carbon_tetrachloride","carbon_tetrachloride_flag","carbon_tetrachloride_unc","trichloromethane","trichloromethane_flag","trichloromethane_unc","tetrachloroethylene","tetrachloroethylene_flag","tetrachloroethylene_unc","trichloromonofluoromethane","trichloromonofluoromethane_flag","trichloromonofluoromethane_unc","conversion_factor","blank_corrected_value","xylenes","xylenes_flag","btex","btex_flag","season"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733856","P733856 071323 070523 Bartrams 1WK SS","P733856 071323 070523 Bartrams 1WK SS.D","2023-07-13","2023-07-05","sample","2023-06-28","2023-07-05",9991,2,"272023",1,1.21,"REG",0.457,0.929,"REG",0.351,0.261,"REG",0.096,0.366,"REG",0.151,1.005,"REG",0.399,0.075,"LOD",0.09,0.04,"ND",0.067,0.068,"LOD",0.092,0.054,"ND",0.09,0.148,"REG",0.085,0.451,"REG",0.173,0.089,"LOD",0.148,0.288,"REG",0.117,0.388,"REG",0.107,0.051,"ND",0.085,0.029,"ND",0.048,0.121,"LOD",0.18,0.165,"LOD",0.222,0.166,"ND",0.277,0.284,"REG",0.16,0.218,"REG",0.118,0.246,"REG",0.105,0.268,"LOD",0.204,0.55,"REG",0.252,0.651,"REG",0.269,1.898,"REG",0.744,0.141,"REG",0.053,0.508,"REG",0.25,0.04,"REG",0.048,0.014,"ND",0.023,0.332,"REG",0.128,0.007,"ND",0.011,0.002,"ND",0.003,0.1,"LOD",0.076,1.178,"REG",0.435,0.137,"REG",0.053,0.06,"REG",0.018,0.268,"REG",0.066,0.23830971684039443,0.2,1.576,"REG",3.771,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726645","P726645 071323 071223 Bartrams 1WK SS","P726645 071323 071223 Bartrams 1WK SS.D","2023-07-13","2023-07-12","sample","2023-07-05","2023-07-12",10105,2,"282023",1,1.595,"REG",0.603,0.543,"REG",0.206,0.301,"REG",0.111,0.452,"REG",0.175,1.105,"REG",0.438,0.111,"LOD",0.093,0.066,"LOD",0.082,0.101,"LOD",0.094,0.222,"REG",0.114,0.092,"LOD",0.078,0.243,"REG",0.103,0.088,"LOD",0.147,0.363,"REG",0.148,0.43,"REG",0.118,0.04,"REG",0.103,0.099,"REG",0.07,0.26,"REG",0.199,0.163,"LOD",0.219,0.501,"LOD",0.353,0.28,"REG",0.158,0.257,"REG",0.125,0.325,"REG",0.116,0.32,"LOD",0.211,0.791,"REG",0.316,0.787,"REG",0.313,2.276,"REG",0.873,0.154,"REG",0.058,0.669,"REG",0.297,0.022,"ND",0.038,0.014,"ND",0.023,0.382,"REG",0.148,0.007,"ND",0.011,0.002,"ND",0.003,0.132,"LOD",0.079,1.254,"REG",0.462,0.181,"REG",0.069,0.09,"REG",0.022,0.238,"REG",0.059,0.23562121533422872,0.18,2.047,"REG",3.996,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P637224","P637224 072723 071923 Bartrams 1WK DS","P637224 072723 071923 Bartrams 1WK DS.D","2023-07-27","2023-07-19","sample","2023-07-12","2023-07-19",10113,14.3,"292023",1,2.818,"REG",1.064,1.041,"REG",0.392,0.461,"REG",0.169,0.807,"LOD",0.287,2.116,"REG",0.839,0.264,"LOD",0.12,0.04,"ND",0.066,0.24,"LOD",0.119,0.488,"LOD",0.137,0.131,"LOD",0.082,0.579,"LOD",0.218,0.071,"ND",0.119,0.853,"REG",0.345,1.128,"REG",0.307,0.256,"LOD",0.162,0.341,"LOD",0.153,0.469,"LOD",0.251,0.701,"LOD",0.378,0.857,"LOD",0.394,0.4,"LOD",0.186,0.386,"LOD",0.159,0.579,"LOD",0.166,0.77,"LOD",0.32,1.413,"LOD",0.504,2.556,"REG",0.942,6.596,"REG",2.422,0.697,"REG",0.26,1.494,"LOD",0.577,0.201,"LOD",0.087,0.014,"ND",0.023,0.639,"REG",0.246,0.274,"REG",0.088,0.002,"ND",0.003,0.236,"LOD",0.094,3.2,"REG",1.161,0.323,"REG",0.123,0.213,"REG",0.041,1.135,"REG",0.279,0.2354348245775122,0.858,3.625,"REG",7.243,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726608","P726608 072823 072623 Bartrams 1WK DS","P726608 072823 072623 Bartrams 1WK DS.D","2023-07-28","2023-07-26","sample","2023-07-19","2023-07-26",9912,14.3,"302023",1,3.098,"REG",1.17,1.062,"REG",0.4,0.627,"REG",0.229,0.988,"LOD",0.346,2.159,"REG",0.856,0.269,"LOD",0.122,0.041,"ND",0.068,0.122,"LOD",0.099,0.497,"LOD",0.14,0.134,"LOD",0.083,0.591,"LOD",0.223,0.215,"LOD",0.167,0.871,"REG",0.352,0.982,"REG",0.268,0.081,"LOD",0.111,0.208,"LOD",0.104,0.478,"LOD",0.256,0.444,"LOD",0.291,0.874,"LOD",0.403,0.408,"LOD",0.19,0.393,"LOD",0.161,0.591,"LOD",0.17,0.786,"LOD",0.327,1.802,"LOD",0.629,2.086,"REG",0.773,6.245,"REG",2.296,0.788,"REG",0.294,1.525,"LOD",0.589,0.205,"LOD",0.089,0.014,"ND",0.024,0.652,"REG",0.251,0.007,"ND",0.011,0.002,"ND",0.003,0.482,"LOD",0.146,3.265,"REG",1.184,0.329,"REG",0.125,0.218,"REG",0.041,1.158,"REG",0.284,0.2402090779814751,0.858,4.086,"REG",7.933999999999999,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726661","P726661 081023 080223 Bartrams 1WK SS","P726661 081023 080223 Bartrams 1WK SS.D","2023-08-10","2023-08-02","sample","2023-07-26","2023-08-02",10110,2,"312023",1,1.313,"REG",0.496,0.662,"REG",0.25,0.236,"REG",0.087,0.361,"REG",0.149,1.047,"REG",0.415,0.092,"LOD",0.09,0.066,"LOD",0.082,0.067,"LOD",0.091,0.053,"ND",0.089,0.162,"REG",0.086,0.196,"REG",0.088,0.088,"LOD",0.146,0.375,"REG",0.152,0.395,"REG",0.109,1.021,"REG",0.515,0.366,"REG",0.163,0.374,"REG",0.225,0.103,"ND",0.172,0.632,"REG",0.366,0.196,"LOD",0.143,0.189,"REG",0.111,0.27,"REG",0.107,0.254,"LOD",0.199,0.643,"REG",0.275,0.644,"REG",0.265,1.904,"REG",0.745,0.199,"REG",0.074,0.502,"REG",0.247,0.215,"REG",0.092,0.038,"LOD",0.031,0.447,"REG",0.172,0.062,"REG",0.024,0.002,"ND",0.003,0.165,"REG",0.083,1.343,"REG",0.494,0.181,"REG",0.069,0.09,"REG",0.022,0.424,"REG",0.104,0.23550468654326223,0.32,1.674,"REG",3.6189999999999998,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726659","P726659 081123 080923 Bartrams 1WK SS","P726659 081123 080923 Bartrams 1WK SS.D","2023-08-11","2023-08-09","sample","2023-08-02","2023-08-09",10048,2,"322023",1,1.414,"REG",0.534,0.646,"REG",0.245,0.259,"REG",0.096,0.386,"REG",0.156,0.958,"REG",0.38,0.112,"LOD",0.093,0.066,"LOD",0.083,0.085,"LOD",0.093,0.186,"LOD",0.112,0.089,"LOD",0.078,0.197,"REG",0.088,0.089,"LOD",0.147,0.404,"REG",0.164,0.444,"REG",0.122,0.58,"REG",0.305,0.272,"REG",0.127,0.32,"REG",0.213,0.269,"LOD",0.241,0.467,"LOD",0.352,0.169,"LOD",0.139,0.163,"LOD",0.106,0.299,"REG",0.112,0.31,"LOD",0.21,0.746,"REG",0.303,0.792,"REG",0.315,2.116,"REG",0.818,0.172,"REG",0.064,0.631,"REG",0.286,0.138,"REG",0.068,0.038,"LOD",0.031,0.295,"REG",0.115,0.083,"REG",0.029,0.002,"ND",0.003,0.067,"LOD",0.073,1.351,"REG",0.497,0.136,"REG",0.053,0.06,"REG",0.018,0.426,"REG",0.104,0.2369578404610252,0.32,1.7999999999999998,"REG",3.6630000000000003,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726620","P726620 082423 081623 Bartrams SS","P726620 082423 081623 Bartrams SS.D","2023-08-24","2023-08-16","sample","2023-08-09","2023-08-16",10197,1.3,"332023",1,1.674,"REG",0.633,0.523,"REG",0.199,0.332,"REG",0.122,0.466,"REG",0.179,1.16,"REG",0.46,0.107,"LOD",0.091,0.04,"ND",0.066,0.097,"LOD",0.093,0.25,"REG",0.115,0.091,"REG",0.077,0.202,"REG",0.089,0.114,"LOD",0.148,0.395,"REG",0.16,0.456,"REG",0.125,0.338,"REG",0.195,0.222,"REG",0.108,0.333,"REG",0.214,0.341,"REG",0.256,0.163,"ND",0.272,0.199,"REG",0.142,0.13,"REG",0.1,0.314,"REG",0.114,0.297,"REG",0.205,0.701,"REG",0.289,0.691,"REG",0.281,1.861,"REG",0.73,0.156,"REG",0.058,0.62,"REG",0.281,0.022,"ND",0.037,0.025,"LOD",0.029,0.357,"REG",0.138,0.007,"ND",0.011,0.002,"ND",0.003,0.149,"REG",0.081,1.097,"REG",0.406,0.145,"REG",0.056,0.096,"REG",0.022,0.256,"REG",0.063,0.2334953791264471,0.195,2.14,"REG",4.154999999999999,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733895","P733895 082523 082323 Bartrams SS","P733895 082523 082323 Bartrams SS.D","2023-08-25","2023-08-23","sample","2023-08-16","2023-08-23",9977,2,"342023",1,1.144,"REG",0.433,0.71,"REG",0.269,0.239,"REG",0.089,0.321,"REG",0.138,0.932,"REG",0.37,0.112,"LOD",0.094,0.04,"ND",0.067,0.085,"LOD",0.094,0.17,"LOD",0.112,0.071,"LOD",0.077,0.199,"REG",0.089,0.089,"LOD",0.148,0.353,"REG",0.143,0.283,"REG",0.079,1.285,"REG",0.644,0.761,"REG",0.323,0.493,"REG",0.26,0.61,"REG",0.346,0.897,"REG",0.404,0.114,"LOD",0.134,0.046,"ND",0.076,0.219,"REG",0.101,0.202,"LOD",0.195,0.451,"REG",0.229,0.399,"REG",0.192,1.122,"REG",0.492,0.107,"REG",0.04,0.297,"LOD",0.198,0.139,"REG",0.068,0.077,"REG",0.039,0.252,"REG",0.098,0.104,"REG",0.036,0.002,"ND",0.003,0.134,"LOD",0.08,1.089,"REG",0.404,0.137,"REG",0.053,0.091,"REG",0.022,0.242,"REG",0.06,0.23864411957024967,0.18,1.4649999999999999,"REG",3.3459999999999996,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733889","P733889 090723 083023 Bartrams SS","P733889 090723 083023 Bartrams SS.D","2023-09-07","2023-08-30","sample","2023-08-23","2023-08-30",10054,2,"352023",1,1.479,"REG",0.559,0.596,"REG",0.226,0.3,"REG",0.111,0.407,"REG",0.162,1.053,"REG",0.418,0.111,"LOD",0.093,0.083,"LOD",0.084,0.076,"LOD",0.092,0.206,"LOD",0.113,0.092,"LOD",0.078,0.244,"REG",0.103,0.116,"LOD",0.15,0.452,"REG",0.183,0.469,"REG",0.129,0.015,"REG",0.102,0.102,"REG",0.071,0.343,"REG",0.218,0.462,"REG",0.295,0.597,"REG",0.364,0.225,"LOD",0.149,0.213,"REG",0.116,0.38,"REG",0.127,0.378,"REG",0.222,0.845,"REG",0.331,0.713,"REG",0.289,2.204,"REG",0.848,0.183,"REG",0.068,0.757,"REG",0.325,0.213,"REG",0.091,0.03,"LOD",0.03,0.171,"REG",0.068,0.007,"ND",0.011,0.002,"ND",0.003,0.058,"LOD",0.073,1.261,"REG",0.465,0.136,"REG",0.053,0.06,"REG",0.018,0.346,"REG",0.085,0.2368164293766044,0.26,1.8860000000000001,"REG",3.835,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726607","P726607 090823 090623 Bartrams SS","P726607 090823 090623 Bartrams SS.D","2023-09-08","2023-09-06","sample","2023-08-30","2023-09-06",10207,2,"362023",1,1.214,"REG",0.459,0.567,"REG",0.215,0.254,"REG",0.094,0.356,"REG",0.147,0.943,"REG",0.374,0.11,"LOD",0.092,0.04,"ND",0.065,0.058,"LOD",0.089,0.169,"LOD",0.11,0.073,"LOD",0.075,0.161,"REG",0.077,0.085,"LOD",0.145,0.264,"REG",0.107,0.324,"REG",0.09,0.455,"REG",0.247,0.157,"REG",0.086,0.311,"REG",0.208,0.307,"LOD",0.247,0.547,"REG",0.354,0.139,"LOD",0.134,0.196,"REG",0.111,0.241,"REG",0.102,0.211,"LOD",0.192,0.538,"REG",0.247,0.526,"REG",0.228,1.447,"REG",0.591,0.13,"REG",0.049,0.373,"REG",0.212,0.022,"ND",0.037,0.086,"REG",0.04,0.321,"REG",0.124,0.049,"REG",0.02,0.002,"ND",0.003,0.254,"REG",0.097,1.153,"REG",0.427,0.179,"REG",0.069,0.089,"REG",0.022,0.236,"REG",0.058,0.2332666190802764,0.18,1.5699999999999998,"REG",3.3339999999999996,"REG","Summer"
