"site_id","site","site_type","coordinates","lat","long","site_color","industrial_20","land_use","site_traffic","nearby_sources","ind_traf","tube_number","file_name_sampling","file_name","analysis_batch_date","sample_end_date","sample_type","start_date","end_date","time_difference","multiplier","week","sample_length","m_p_xylene_2","m_p_xylene_2_flag","m_p_xylene_2_unc","benzene","benzene_flag","benzene_unc","ethylbenzene","ethylbenzene_flag","ethylbenzene_unc","o_xylene","o_xylene_flag","o_xylene_unc","toluene","toluene_flag","toluene_unc","benzene_1_2_3_trimethyl","benzene_1_2_3_trimethyl_flag","benzene_1_2_3_trimethyl_unc","benzene_1_4_diethyl","benzene_1_4_diethyl_flag","benzene_1_4_diethyl_unc","benzene_1_ethyl_2_methyl","benzene_1_ethyl_2_methyl_flag","benzene_1_ethyl_2_methyl_unc","benzene_1_ethyl_3_methyl","benzene_1_ethyl_3_methyl_flag","benzene_1_ethyl_3_methyl_unc","benzene_1_ethyl_4_methyl","benzene_1_ethyl_4_methyl_flag","benzene_1_ethyl_4_methyl_unc","mesitylene","mesitylene_flag","mesitylene_unc","benzene_propyl","benzene_propyl_flag","benzene_propyl_unc","heptane","heptane_flag","heptane_unc","n_hexane","n_hexane_flag","n_hexane_unc","nonane","nonane_flag","nonane_unc","octane","octane_flag","octane_unc","decane","decane_flag","decane_unc","dodecane","dodecane_flag","dodecane_unc","undecane","undecane_flag","undecane_unc","pentane_2_3_4_trimethyl","pentane_2_3_4_trimethyl_flag","pentane_2_3_4_trimethyl_unc","pentane_2_4_dimethyl","pentane_2_4_dimethyl_flag","pentane_2_4_dimethyl_unc","hexane_2_methyl","hexane_2_methyl_flag","hexane_2_methyl_unc","heptane_3_methyl","heptane_3_methyl_flag","heptane_3_methyl_unc","hexane_3_methyl","hexane_3_methyl_flag","hexane_3_methyl_unc","pentane_3_methyl","pentane_3_methyl_flag","pentane_3_methyl_unc","pentane_2_methyl","pentane_2_methyl_flag","pentane_2_methyl_unc","butane_2_methyl","butane_2_methyl_flag","butane_2_methyl_unc","cyclohexane_methyl","cyclohexane_methyl_flag","cyclohexane_methyl_unc","x1_hexene","x1_hexene_flag","x1_hexene_unc","x2_pentene_z_cis","x2_pentene_z_cis_flag","x2_pentene_z_cis_unc","x1_3_butadiene_2_methyl","x1_3_butadiene_2_methyl_flag","x1_3_butadiene_2_methyl_unc","x2_hexanone","x2_hexanone_flag","x2_hexanone_unc","methyl_isobutyl_ketone","methyl_isobutyl_ketone_flag","methyl_isobutyl_ketone_unc","benzene_1_2_dichloro","benzene_1_2_dichloro_flag","benzene_1_2_dichloro_unc","carbon_tetrachloride","carbon_tetrachloride_flag","carbon_tetrachloride_unc","trichloromethane","trichloromethane_flag","trichloromethane_unc","tetrachloroethylene","tetrachloroethylene_flag","tetrachloroethylene_unc","trichloromonofluoromethane","trichloromonofluoromethane_flag","trichloromonofluoromethane_unc","conversion_factor","blank_corrected_value","xylenes","xylenes_flag","btex","btex_flag","season"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733856","P733856 071323 070523 Bartrams 1WK SS","P733856 071323 070523 Bartrams 1WK SS.D","2023-07-13","2023-07-05","sample","2023-06-28","2023-07-05",9991,2,"272023",1,0.2788,"REG",0.1054,0.2909,"REG",0.1098,0.0601,"REG",0.0222,0.0843,"REG",0.0347,0.2667,"REG",0.1058,0.0152,"LOD",0.0183,0.0073,"ND",0.0122,0.0138,"LOD",0.0187,0.011,"ND",0.0183,0.0302,"REG",0.0172,0.0917,"REG",0.0352,0.0182,"LOD",0.0302,0.0702,"REG",0.0286,0.1101,"REG",0.0303,0.0098,"ND",0.0163,0.0062,"ND",0.0103,0.0208,"LOD",0.0309,0.0237,"LOD",0.0319,0.026,"ND",0.0434,0.0607,"REG",0.0343,0.0533,"REG",0.0287,0.0601,"REG",0.0255,0.0574,"LOD",0.0436,0.1343,"REG",0.0616,0.1848,"REG",0.0762,0.5386,"REG",0.2112,0.0477,"REG",0.0178,0.1264,"REG",0.0623,0.0115,"REG",0.0139,0.0049,"ND",0.0081,0.119,"REG",0.0461,0.0017,"ND",0.0028,5e-4,"ND",8e-4,0.0167,"LOD",0.0127,0.1872,"REG",0.0692,0.0281,"REG",0.0109,0.0089,"REG",0.0027,0.0477,"REG",0.0118,0.23830971684039443,0.2,0.3631,"REG",0.9808000000000001,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726645","P726645 071323 071223 Bartrams 1WK SS","P726645 071323 071223 Bartrams 1WK SS.D","2023-07-13","2023-07-12","sample","2023-07-05","2023-07-12",10105,2,"282023",1,0.3676,"REG",0.1389,0.1701,"REG",0.0646,0.0693,"REG",0.0255,0.1042,"REG",0.0404,0.2932,"REG",0.1163,0.0225,"LOD",0.0189,0.0121,"LOD",0.015,0.0205,"LOD",0.0192,0.0451,"REG",0.0231,0.0187,"LOD",0.0158,0.0495,"REG",0.0209,0.018,"LOD",0.0299,0.0886,"REG",0.036,0.1221,"REG",0.0335,0.0077,"REG",0.0197,0.0211,"REG",0.015,0.0447,"REG",0.0342,0.0234,"LOD",0.0315,0.0783,"LOD",0.0552,0.06,"REG",0.0339,0.0626,"REG",0.0305,0.0792,"REG",0.0284,0.0684,"LOD",0.0451,0.1931,"REG",0.077,0.2233,"REG",0.0888,0.6456,"REG",0.2477,0.0522,"REG",0.0195,0.1667,"REG",0.0739,0.0065,"ND",0.0109,0.0048,"ND",0.008,0.1371,"REG",0.053,0.0016,"ND",0.0027,5e-4,"ND",8e-4,0.022,"LOD",0.0131,0.1993,"REG",0.0735,0.037,"REG",0.0142,0.0132,"REG",0.0032,0.0424,"REG",0.0105,0.23562121533422872,0.18,0.4718,"REG",1.0044000000000002,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P637224","P637224 072723 071923 Bartrams 1WK DS","P637224 072723 071923 Bartrams 1WK DS.D","2023-07-27","2023-07-19","sample","2023-07-12","2023-07-19",10113,14.3,"292023",1,0.6494,"REG",0.2453,0.3257,"REG",0.1228,0.1061,"REG",0.0389,0.1861,"LOD",0.0661,0.5616,"REG",0.2227,0.0537,"LOD",0.0244,0.0072,"ND",0.0121,0.0488,"LOD",0.0243,0.0992,"LOD",0.0278,0.0267,"LOD",0.0166,0.1178,"LOD",0.0444,0.0145,"ND",0.0242,0.2081,"REG",0.0842,0.3201,"REG",0.0872,0.0489,"LOD",0.0309,0.073,"LOD",0.0328,0.0806,"LOD",0.0431,0.1006,"LOD",0.0542,0.134,"LOD",0.0617,0.0857,"LOD",0.0398,0.0941,"LOD",0.0387,0.1414,"LOD",0.0406,0.1649,"LOD",0.0686,0.3449,"LOD",0.1229,0.7251,"REG",0.2673,1.8712,"REG",0.6871,0.2362,"REG",0.0882,0.3721,"LOD",0.1438,0.0585,"LOD",0.0253,0.0048,"ND",0.008,0.2294,"REG",0.0882,0.0668,"REG",0.0214,5e-4,"ND",8e-4,0.0393,"LOD",0.0157,0.5086,"REG",0.1845,0.0661,"REG",0.0252,0.0314,"REG",0.006,0.202,"REG",0.0496,0.2354348245775122,0.858,0.8354999999999999,"REG",1.8288999999999997,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726608","P726608 072823 072623 Bartrams 1WK DS","P726608 072823 072623 Bartrams 1WK DS.D","2023-07-28","2023-07-26","sample","2023-07-19","2023-07-26",9912,14.3,"302023",1,0.7141,"REG",0.2697,0.3323,"REG",0.1253,0.1443,"REG",0.0528,0.2278,"LOD",0.0798,0.573,"REG",0.2272,0.0548,"LOD",0.0249,0.0074,"ND",0.0123,0.0249,"LOD",0.0201,0.1012,"LOD",0.0284,0.0272,"LOD",0.0169,0.1202,"LOD",0.0453,0.0437,"LOD",0.0339,0.2124,"REG",0.0859,0.2785,"REG",0.0759,0.0155,"LOD",0.0211,0.0445,"LOD",0.0223,0.0822,"LOD",0.044,0.0637,"LOD",0.0417,0.1367,"LOD",0.063,0.0874,"LOD",0.0407,0.096,"LOD",0.0394,0.1443,"LOD",0.0415,0.1682,"LOD",0.07,0.4398,"LOD",0.1535,0.5919,"REG",0.2192,1.7718,"REG",0.6513,0.2671,"REG",0.0997,0.3797,"LOD",0.1467,0.0597,"LOD",0.0258,0.0049,"ND",0.0082,0.234,"REG",0.09,0.0017,"ND",0.0028,5e-4,"ND",8e-4,0.0801,"LOD",0.0242,0.519,"REG",0.1882,0.0674,"REG",0.0257,0.0321,"REG",0.0061,0.2061,"REG",0.0506,0.2402090779814751,0.858,0.9419,"REG",1.9915,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726661","P726661 081023 080223 Bartrams 1WK SS","P726661 081023 080223 Bartrams 1WK SS.D","2023-08-10","2023-08-02","sample","2023-07-26","2023-08-02",10110,2,"312023",1,0.3026,"REG",0.1144,0.2071,"REG",0.0784,0.0544,"REG",0.0201,0.0833,"REG",0.0343,0.2778,"REG",0.1102,0.0188,"LOD",0.0184,0.0121,"LOD",0.015,0.0136,"LOD",0.0185,0.0108,"ND",0.0181,0.033,"REG",0.0174,0.0398,"REG",0.0179,0.018,"LOD",0.0298,0.0915,"REG",0.0371,0.1121,"REG",0.0308,0.1947,"REG",0.0982,0.0783,"REG",0.0349,0.0643,"REG",0.0387,0.0148,"ND",0.0247,0.0989,"REG",0.0573,0.042,"LOD",0.0306,0.0461,"REG",0.027,0.0659,"REG",0.0262,0.0543,"LOD",0.0427,0.1568,"REG",0.0671,0.1826,"REG",0.0753,0.5401,"REG",0.2114,0.0674,"REG",0.0252,0.1249,"REG",0.0616,0.0625,"REG",0.0266,0.0133,"LOD",0.0107,0.1605,"REG",0.0619,0.0151,"REG",0.0058,5e-4,"ND",8e-4,0.0275,"REG",0.0138,0.2135,"REG",0.0785,0.037,"REG",0.0142,0.0132,"REG",0.0032,0.0754,"REG",0.0185,0.23550468654326223,0.32,0.38589999999999997,"REG",0.9252,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726659","P726659 081123 080923 Bartrams 1WK SS","P726659 081123 080923 Bartrams 1WK SS.D","2023-08-11","2023-08-09","sample","2023-08-02","2023-08-09",10048,2,"322023",1,0.3258,"REG",0.1231,0.2022,"REG",0.0766,0.0597,"REG",0.0221,0.089,"REG",0.036,0.2541,"REG",0.1008,0.0227,"LOD",0.019,0.0121,"LOD",0.0151,0.0172,"LOD",0.0189,0.0378,"LOD",0.0228,0.0182,"LOD",0.0158,0.0401,"REG",0.018,0.0181,"LOD",0.03,0.0985,"REG",0.04,0.1261,"REG",0.0346,0.1106,"REG",0.0581,0.0581,"REG",0.0271,0.055,"REG",0.0366,0.0386,"LOD",0.0346,0.073,"LOD",0.055,0.0362,"LOD",0.0298,0.0397,"LOD",0.0259,0.073,"REG",0.0274,0.0663,"LOD",0.0449,0.1821,"REG",0.074,0.2246,"REG",0.0893,0.6003,"REG",0.2321,0.0584,"REG",0.0218,0.1571,"REG",0.0712,0.04,"REG",0.0198,0.0134,"LOD",0.0107,0.106,"REG",0.0412,0.0202,"REG",0.0072,5e-4,"ND",8e-4,0.0111,"LOD",0.0122,0.2148,"REG",0.079,0.0279,"REG",0.0108,0.0088,"REG",0.0027,0.0758,"REG",0.0186,0.2369578404610252,0.32,0.41479999999999995,"REG",0.9308,"REG",NA
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726620","P726620 082423 081623 Bartrams SS","P726620 082423 081623 Bartrams SS.D","2023-08-24","2023-08-16","sample","2023-08-09","2023-08-16",10197,1.3,"332023",1,0.3859,"REG",0.1458,0.1637,"REG",0.0622,0.0765,"REG",0.0281,0.1074,"REG",0.0412,0.3078,"REG",0.1221,0.0218,"LOD",0.0186,0.0072,"ND",0.012,0.0198,"LOD",0.019,0.0509,"REG",0.0233,0.0186,"REG",0.0156,0.0411,"REG",0.0182,0.0232,"LOD",0.0301,0.0964,"REG",0.0391,0.1294,"REG",0.0355,0.0644,"REG",0.0372,0.0474,"REG",0.0232,0.0573,"REG",0.0368,0.0489,"REG",0.0368,0.0255,"ND",0.0425,0.0425,"REG",0.0304,0.0318,"REG",0.0244,0.0765,"REG",0.0278,0.0636,"REG",0.0439,0.171,"REG",0.0706,0.1961,"REG",0.0796,0.528,"REG",0.207,0.053,"REG",0.0198,0.1543,"REG",0.07,0.0065,"ND",0.0108,0.0086,"LOD",0.01,0.128,"REG",0.0495,0.0016,"ND",0.0027,4e-4,"ND",7e-4,0.0248,"REG",0.0134,0.1743,"REG",0.0646,0.0298,"REG",0.0115,0.0142,"REG",0.0033,0.0455,"REG",0.0112,0.2334953791264471,0.195,0.4933,"REG",1.0413000000000001,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733895","P733895 082523 082323 Bartrams SS","P733895 082523 082323 Bartrams SS.D","2023-08-25","2023-08-23","sample","2023-08-16","2023-08-23",9977,2,"342023",1,0.2637,"REG",0.0997,0.2224,"REG",0.0842,0.0551,"REG",0.0204,0.0739,"REG",0.0319,0.2474,"REG",0.0981,0.0228,"LOD",0.0191,0.0073,"ND",0.0122,0.0173,"LOD",0.0191,0.0346,"LOD",0.0228,0.0145,"LOD",0.0156,0.0404,"REG",0.0181,0.0182,"LOD",0.0302,0.0862,"REG",0.035,0.0802,"REG",0.0223,0.245,"REG",0.1228,0.1629,"REG",0.0691,0.0847,"REG",0.0446,0.0876,"REG",0.0497,0.1403,"REG",0.0632,0.0243,"LOD",0.0286,0.0112,"ND",0.0186,0.0535,"REG",0.0246,0.0432,"LOD",0.0417,0.11,"REG",0.056,0.1131,"REG",0.0545,0.3182,"REG",0.1395,0.0364,"REG",0.0136,0.0739,"LOD",0.0494,0.0403,"REG",0.0199,0.0269,"REG",0.0135,0.0904,"REG",0.0353,0.0254,"REG",0.0087,5e-4,"ND",8e-4,0.0223,"LOD",0.0133,0.1731,"REG",0.0642,0.0281,"REG",0.0109,0.0134,"REG",0.0033,0.043,"REG",0.0106,0.23864411957024967,0.18,0.3376,"REG",0.8624999999999999,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P733889","P733889 090723 083023 Bartrams SS","P733889 090723 083023 Bartrams SS.D","2023-09-07","2023-08-30","sample","2023-08-23","2023-08-30",10054,2,"352023",1,0.341,"REG",0.1289,0.1865,"REG",0.0708,0.0692,"REG",0.0255,0.0938,"REG",0.0374,0.2793,"REG",0.1108,0.0226,"LOD",0.019,0.0152,"LOD",0.0153,0.0154,"LOD",0.0187,0.0419,"LOD",0.023,0.0188,"LOD",0.0158,0.0497,"REG",0.021,0.0236,"LOD",0.0305,0.1102,"REG",0.0447,0.1332,"REG",0.0365,0.0028,"REG",0.0195,0.0218,"REG",0.0152,0.059,"REG",0.0375,0.0663,"REG",0.0423,0.0934,"REG",0.0569,0.0482,"LOD",0.0318,0.0519,"REG",0.0282,0.0928,"REG",0.0309,0.0809,"REG",0.0476,0.2062,"REG",0.0808,0.2023,"REG",0.0819,0.6252,"REG",0.2407,0.062,"REG",0.0231,0.1885,"REG",0.0809,0.0619,"REG",0.0264,0.0106,"LOD",0.0103,0.0614,"REG",0.0245,0.0016,"ND",0.0027,5e-4,"ND",8e-4,0.0097,"LOD",0.0121,0.2004,"REG",0.0739,0.0279,"REG",0.0108,0.0088,"REG",0.0027,0.0616,"REG",0.0152,0.2368164293766044,0.26,0.4348,"REG",0.9698000000000001,"REG","Summer"
"1","Bartram’s Garden","stationary","39.92896, -75.212541",39.92896,-75.212541,"#619CFF","Non-Industrial","Open Space","Low",NA,"LowT/NoI","P726607","P726607 090823 090623 Bartrams SS","P726607 090823 090623 Bartrams SS.D","2023-09-08","2023-09-06","sample","2023-08-30","2023-09-06",10207,2,"362023",1,0.2799,"REG",0.1058,0.1776,"REG",0.0674,0.0584,"REG",0.0216,0.0821,"REG",0.0339,0.2501,"REG",0.0992,0.0223,"LOD",0.0187,0.0072,"ND",0.0119,0.0118,"LOD",0.0182,0.0344,"LOD",0.0223,0.0148,"LOD",0.0153,0.0327,"REG",0.0157,0.0173,"LOD",0.0295,0.0643,"REG",0.0262,0.092,"REG",0.0254,0.0867,"REG",0.047,0.0337,"REG",0.0185,0.0534,"REG",0.0358,0.0441,"LOD",0.0355,0.0855,"REG",0.0554,0.0297,"LOD",0.0286,0.0478,"REG",0.0272,0.0588,"REG",0.025,0.0451,"LOD",0.0411,0.1314,"REG",0.0603,0.1491,"REG",0.0646,0.4105,"REG",0.1678,0.0441,"REG",0.0165,0.0928,"REG",0.0529,0.0065,"ND",0.0108,0.0301,"REG",0.0141,0.1151,"REG",0.0446,0.012,"REG",0.005,4e-4,"ND",7e-4,0.0422,"REG",0.0161,0.1833,"REG",0.0678,0.0366,"REG",0.0141,0.0131,"REG",0.0032,0.042,"REG",0.0104,0.2332666190802764,0.18,0.362,"REG",0.8481000000000001,"REG","Summer"
