site_id,c_dig1desc,area,poly_count
1,5,2905.357412,1
1,7,8962.06227,1
1,8,9831.848856,1
1,9,9675.66741,1
2,2,9613.404179,1
2,3,15008.38406,1
2,5,6753.149528,1
3,2,6028.59326,2
3,3,16379.606,3
3,5,8966.736688,1
4,3,5070.354151,1
4,5,10655.9184,3
4,9,15648.66305,2
5,1,13490.65553,54
5,2,652.2423291,6
5,3,1689.682833,1
5,4,377.5588651,1
5,5,8738.887592,1
5,6,1185.600114,1
5,9,5240.309603,10
6,2,2446.331234,3
6,3,5125.003347,8
6,4,9512.987453,3
6,5,14290.61827,3
7,1,11858.21637,181
7,2,2917.313522,12
7,4,282.8667961,1
7,5,12584.5887,1
7,6,234.5300953,1
7,9,3497.424362,34
8,1,8155.923104,114
8,2,1654.280825,4
8,3,134.5856873,1
8,4,4005.882104,2
8,5,16003.93082,1
8,7,921.8700627,2
8,9,498.467814,1
9,3,7557.691059,1
9,5,5179.97273,1
9,9,18637.27523,3
10,1,25150.4681,8
10,3,222.4625584,2
10,5,5904.023342,1
10,9,97.97918787,2
11,1,4742.387776,35
11,2,3287.082384,6
11,3,3366.772108,4
11,5,14218.94816,2
11,9,5759.748658,5
12,1,20987.56299,116
12,5,10387.37608,1
13,1,7163.803323,97
13,2,335.2131111,3
13,4,732.8882829,1
13,5,8249.334085,1
13,6,14110.40661,1
13,9,783.2932954,9
14,1,4018.003776,54
14,2,277.5795684,2
14,3,7577.895193,2
14,5,10915.13682,2
14,6,8512.269119,2
14,9,74.03897266,3
15,1,257.3339254,4
15,2,9000.411385,5
15,3,4720.191306,4
15,4,1792.075172,1
15,5,14397.70342,2
15,9,1207.226091,5
16,3,13337.46886,2
16,5,623.656319,1
16,7,7095.592665,2
16,8,10318.22205,1
17,1,2382.548939,42
17,2,4349.198766,2
17,3,1942.665781,2
17,4,1360.742419,1
17,5,9813.877416,3
17,6,10612.05192,1
17,9,916.0546625,8
18,1,12546.38671,118
18,2,134.3185968,2
18,4,7611.012821,2
18,5,10257.99133,1
18,9,832.3700699,12
19,1,9044.054692,124
19,2,1713.464405,6
19,3,3005.890068,1
19,4,4005.623635,1
19,5,10577.87937,1
19,9,3028.022514,27
20,1,6134.5276,17
20,2,5348.360055,1
20,4,7934.643221,1
20,5,11519.61328,2
20,9,437.7930602,2
21,1,6894.045176,98
21,2,1512.81504,6
21,3,149.8041483,1
21,4,7827.735977,2
21,5,12384.24056,1
21,6,1678.441692,2
21,7,901.7553573,4
21,9,26.10060061,1
