Box number,Tube number,Blanked prior,Date blanked,Date shipped to PA,Date received in ID,Days in RETURN transit,Time collected (DAYS),Purged,RUN/SPLIT TYPE,Qedited by,added to database,Q-Edit Method,MULTIPLIER,"FILE NAME (TUBE # + TODAY DATE + END DATE + LOCATION + (FB,LAB BLANK,DUP,etc)",LOCATION NUMBER,LOCATION,LOCATION LAT/LONG,Sample Type,START DATE,START TIME,User set up,END DATE,END TIME,User take down,COMMENTS,Date return shipped to ID,Tracking #,MONTH,USE SAMPLE
1,P733850,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733850 061623 061423 Bartrams 1WK DS bad,1,Bartrams,"39.92896, -75.212541",Sample,6/7/2023,11:18:00 AM,Karlin,6/7/2023,2:26:00 PM,Lisa,Capped backwards initially (arrow was pointing down towards silver diffusion cap) so taken down. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733892,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733892 061623 061423 Bartrams 1WK DS bad,1,Bartrams,"39.92896, -75.212541",Duplicate,6/7/2023,11:18:00 AM,Karlin,6/7/2023,2:26:00 PM,Lisa,Capped backwards initially (arrow was pointing down towards silver diffusion cap) so taken down. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733893,Y,2023,6/5/2023,6/15/2023,1,0,Y,NO SPLIT,GT (UV),,,1,P733893 061623 061423 Field blank,NA,Field blank,NA,Field Blank,6/7/2023,11:21:00 AM,Karlin,6/7/2023,11:21:00 AM,Karlin,Cap was loose to begin with - removed wrong side of cap. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733894,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733894 061623 061423 Essington 1WK DS bad,2,Essington,"39.90131732, -75.2250262",Sample,6/7/2023,11:37:00 AM,Karlin,6/14/2023,1:52:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); still up. Wildfire event. Lightly raining during take down but capped under housing.,6/14/2023,7.70984E+11,,no
1,P733895,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733895 061623 061423 61st & Passyunk 1WK DS bad,3,61st & Passyunk,"39.91820446, -75.2085474",Sample,6/7/2023,11:53:00 AM,Karlin,6/14/2023,2:04:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correctly at 14:18. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733896,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733896 061623 061423 28th & Passyunk 1WK DS bad,4,28th & Passyunk,"39.92061091, -75.1955879",Sample,6/7/2023,12:03:00 PM,Lisa,6/14/2023,2:15:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correcltly at 14:13. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733897,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733897 061623 061423 Point Breeze Near 1WK DS bad,5,Point Breeze Near,"39.92624784, -75.1923165",Sample,6/7/2023,12:15:00 PM,Karlin,6/14/2023,2:31:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correctly at 14:01. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733898,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733898 061623 061423 Point Breeze Mid 1WK DS bad,6,Point Breeze Mid,"39.92771763, -75.1873965",Sample,6/7/2023,12:25:00 PM,Lisa,6/14/2023,2:41:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correctly at 13:38.,6/14/2023,7.70984E+11,,no
1,P733899,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733899 061623 061423 Point Breeze Far 1WK DS bad,7,Point Breeze Far,"39.93094655, -75.1829941",Sample,6/7/2023,12:41:00 PM,Lisa,6/14/2023,2:52:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correctly at 13:53. Wildfire event,6/14/2023,7.70984E+11,,no
1,P733900,Y,2023,6/5/2023,6/15/2023,1,7,Y,DS,,,,,P733900 061623 061423 Ritner 1WK DS bad,8,Ritner,"39.92296389, -75.186874",Sample,6/7/2023,12:52:00 PM,Rachit,6/14/2023,3:01:00 PM,Karlin,Capped backwards initially (arrow was pointing down towards silver diffusion cap); recapped correctly at 13:44. Wildfire event,6/14/2023,7.70984E+11,,no
