Category, ≤5 ,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45, >45 
NNE,50,112,118,7,0,0,0,0,0,0
NE,66,201,148,23,10,1,0,0,0,0
ENE,97,166,84,15,1,0,0,0,0,0
E,155,208,103,31,3,0,0,0,0,0
ESE,101,90,22,8,3,0,0,0,0,0
SE,97,84,15,0,2,1,0,0,0,0
SSE,86,102,27,9,0,2,0,0,0,0
S,162,323,145,19,0,1,0,0,0,0
SSW,154,296,119,15,5,1,0,0,0,0
SW,120,266,199,27,8,2,0,0,0,0
WSW,96,309,193,39,18,2,1,0,0,0
W,59,291,245,101,39,20,3,1,0,0
WNW,31,210,198,81,26,13,1,0,0,0
NW,59,182,159,73,33,7,1,0,0,0
NNW,111,201,147,56,20,6,1,0,0,0
N,84,251,211,46,8,0,0,0,0,0
