variable_name,flag_type,count,percentage,n_perc,voc_name,mw,category_1,category_2,category_2no,sort_in_category
benzene,nd,0,0,0 (0%),Benzene,78.11,BTEX,BTEX,1,1
benzene,lod,0,0,0 (0%),Benzene,78.11,BTEX,BTEX,1,1
benzene,reg,450,99.8,450 (99.8%),Benzene,78.11,BTEX,BTEX,1,1
benzene,ulod,1,0.2,1 (0.2%),Benzene,78.11,BTEX,BTEX,1,1
toluene,nd,0,0,0 (0%),Toluene,92.14,BTEX,BTEX,1,2
toluene,lod,0,0,0 (0%),Toluene,92.14,BTEX,BTEX,1,2
toluene,reg,446,98.9,446 (98.9%),Toluene,92.14,BTEX,BTEX,1,2
toluene,ulod,5,1.1,5 (1.1%),Toluene,92.14,BTEX,BTEX,1,2
etbenz,nd,0,0,0 (0%),Ethylbenzene,106.17,BTEX,BTEX,1,3
etbenz,lod,0,0,0 (0%),Ethylbenzene,106.17,BTEX,BTEX,1,3
etbenz,reg,451,100,451 (100%),Ethylbenzene,106.17,BTEX,BTEX,1,3
etbenz,ulod,0,0,0 (0%),Ethylbenzene,106.17,BTEX,BTEX,1,3
mpxylene,nd,0,0,0 (0%),(m+p)-Xylenes,106.16,BTEX,BTEX,1,4
mpxylene,lod,0,0,0 (0%),(m+p)-Xylenes,106.16,BTEX,BTEX,1,4
mpxylene,reg,448,99.3,448 (99.3%),(m+p)-Xylenes,106.16,BTEX,BTEX,1,4
mpxylene,ulod,3,0.7,3 (0.7%),(m+p)-Xylenes,106.16,BTEX,BTEX,1,4
oxylene,nd,0,0,0 (0%),o-Xylene,106.16,BTEX,BTEX,1,5
oxylene,lod,7,1.6,7 (1.6%),o-Xylene,106.16,BTEX,BTEX,1,5
oxylene,reg,443,98.2,443 (98.2%),o-Xylene,106.16,BTEX,BTEX,1,5
oxylene,ulod,1,0.2,1 (0.2%),o-Xylene,106.16,BTEX,BTEX,1,5
benzene_1_4_diethyl,nd,58,12.9,58 (12.9%),"1,4-Diethylbenzene",134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,lod,248,55,248 (55%),"1,4-Diethylbenzene",134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,reg,145,32.2,145 (32.2%),"1,4-Diethylbenzene",134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,ulod,0,0,0 (0%),"1,4-Diethylbenzene",134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_2_3_trimethyl,nd,24,5.3,24 (5.3%),"1,2,3-Trimethylbenzene",120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_2_3_trimethyl,lod,228,50.6,228 (50.6%),"1,2,3-Trimethylbenzene",120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_2_3_trimethyl,reg,199,44.1,199 (44.1%),"1,2,3-Trimethylbenzene",120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_2_3_trimethyl,ulod,0,0,0 (0%),"1,2,3-Trimethylbenzene",120.194,Benzene Derivatives,Alkylbenzenes,2,2
benz1ethyl2methyl,nd,3,0.7,3 (0.7%),1-Ethyl-2-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benz1ethyl2methyl,lod,310,68.7,310 (68.7%),1-Ethyl-2-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benz1ethyl2methyl,reg,138,30.6,138 (30.6%),1-Ethyl-2-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benz1ethyl2methyl,ulod,0,0,0 (0%),1-Ethyl-2-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benz1ethyl3methyl,nd,4,0.9,4 (0.9%),1-Ethyl-3-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benz1ethyl3methyl,lod,77,17.1,77 (17.1%),1-Ethyl-3-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benz1ethyl3methyl,reg,368,81.6,368 (81.6%),1-Ethyl-3-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benz1ethyl3methyl,ulod,2,0.4,2 (0.4%),1-Ethyl-3-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benz1ethyl4methyl,nd,0,0,0 (0%),1-Ethyl-4-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benz1ethyl4methyl,lod,199,44.1,199 (44.1%),1-Ethyl-4-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benz1ethyl4methyl,reg,252,55.9,252 (55.9%),1-Ethyl-4-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benz1ethyl4methyl,ulod,0,0,0 (0%),1-Ethyl-4-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,5
propylbenzene,nd,1,0.2,1 (0.2%),Propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
propylbenzene,lod,348,77.2,348 (77.2%),Propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
propylbenzene,reg,102,22.6,102 (22.6%),Propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
propylbenzene,ulod,0,0,0 (0%),Propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
mesitylene,nd,0,0,0 (0%),Mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,lod,5,1.1,5 (1.1%),Mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,reg,446,98.9,446 (98.9%),Mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
mesitylene,ulod,0,0,0 (0%),Mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
hexane,nd,0,0,0 (0%),n-Hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
hexane,lod,0,0,0 (0%),n-Hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
hexane,reg,448,99.3,448 (99.3%),n-Hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
hexane,ulod,3,0.7,3 (0.7%),n-Hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane,nd,1,0.2,1 (0.2%),Heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,lod,0,0,0 (0%),Heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,reg,448,99.3,448 (99.3%),Heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
heptane,ulod,2,0.4,2 (0.4%),Heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane,nd,3,0.7,3 (0.7%),Octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,lod,7,1.6,7 (1.6%),Octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,reg,439,97.3,439 (97.3%),Octane,114.23,Alkanes,C6-C9 Alkanes,3,3
octane,ulod,2,0.4,2 (0.4%),Octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane,nd,19,4.2,19 (4.2%),Nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,lod,12,2.7,12 (2.7%),Nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,reg,418,92.7,418 (92.7%),Nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
nonane,ulod,2,0.4,2 (0.4%),Nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane,nd,3,0.7,3 (0.7%),Decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,lod,99,22,99 (22%),Decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,reg,348,77.2,348 (77.2%),Decane,149.29,Alkanes,C10-C12 Alkanes,4,1
decane,ulod,1,0.2,1 (0.2%),Decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane,nd,8,1.8,8 (1.8%),Undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,lod,217,48.1,217 (48.1%),Undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,reg,226,50.1,226 (50.1%),Undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
undecane,ulod,0,0,0 (0%),Undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
dodecane,nd,5,1.1,5 (1.1%),Dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,lod,286,63.4,286 (63.4%),Dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,reg,160,35.5,160 (35.5%),Dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
dodecane,ulod,0,0,0 (0%),Dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
butane_2_methyl,nd,6,1.3,6 (1.3%),Isopentane,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,lod,0,0,0 (0%),Isopentane,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,reg,216,47.9,216 (47.9%),Isopentane,72.151,Alkanes,Other Alkanes,5,1
butane_2_methyl,ulod,229,50.8,229 (50.8%),Isopentane,72.151,Alkanes,Other Alkanes,5,1
pentane_2_methyl,nd,2,0.4,2 (0.4%),Isohexane,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,lod,0,0,0 (0%),Isohexane,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,reg,404,89.6,404 (89.6%),Isohexane,86.178,Alkanes,Other Alkanes,5,2
pentane_2_methyl,ulod,45,10,45 (10%),Isohexane,86.178,Alkanes,Other Alkanes,5,2
