voc_name,category_2,nd,lod,reg,ulod
Benzene,BTEX,0 (0%),0 (0%),450 (99.8%),1 (0.2%)
Toluene,BTEX,0 (0%),0 (0%),446 (98.9%),5 (1.1%)
Ethylbenzene,BTEX,0 (0%),0 (0%),451 (100%),0 (0%)
(m+p)-Xylenes,BTEX,0 (0%),0 (0%),448 (99.3%),3 (0.7%)
o-Xylene,BTEX,0 (0%),7 (1.6%),443 (98.2%),1 (0.2%)
"1,4-Diethylbenzene",Alkylbenzenes,58 (12.9%),248 (55%),145 (32.2%),0 (0%)
"1,2,3-Trimethylbenzene",Alkylbenzenes,24 (5.3%),228 (50.6%),199 (44.1%),0 (0%)
1-Ethyl-2-Methylbenzene,Alkylbenzenes,3 (0.7%),310 (68.7%),138 (30.6%),0 (0%)
1-Ethyl-3-Methylbenzene,Alkylbenzenes,4 (0.9%),77 (17.1%),368 (81.6%),2 (0.4%)
1-Ethyl-4-Methylbenzene,Alkylbenzenes,0 (0%),199 (44.1%),252 (55.9%),0 (0%)
Propylbenzene,Alkylbenzenes,1 (0.2%),348 (77.2%),102 (22.6%),0 (0%)
Mesitylene,Alkylbenzenes,0 (0%),5 (1.1%),446 (98.9%),0 (0%)
n-Hexane,C6-C9 Alkanes,0 (0%),0 (0%),448 (99.3%),3 (0.7%)
Heptane,C6-C9 Alkanes,1 (0.2%),0 (0%),448 (99.3%),2 (0.4%)
Octane,C6-C9 Alkanes,3 (0.7%),7 (1.6%),439 (97.3%),2 (0.4%)
Nonane,C6-C9 Alkanes,19 (4.2%),12 (2.7%),418 (92.7%),2 (0.4%)
Decane,C10-C12 Alkanes,3 (0.7%),99 (22%),348 (77.2%),1 (0.2%)
Undecane,C10-C12 Alkanes,8 (1.8%),217 (48.1%),226 (50.1%),0 (0%)
Dodecane,C10-C12 Alkanes,5 (1.1%),286 (63.4%),160 (35.5%),0 (0%)
Isopentane,Other Alkanes,6 (1.3%),0 (0%),216 (47.9%),229 (50.8%)
Isohexane,Other Alkanes,2 (0.4%),0 (0%),404 (89.6%),45 (10%)
2-Methylhexane,Other Alkanes,0 (0%),13 (2.9%),432 (95.8%),6 (1.3%)
3-Methylhexane,Other Alkanes,2 (0.4%),8 (1.8%),432 (95.8%),9 (2%)
3-Methylheptane,Other Alkanes,0 (0%),73 (16.2%),374 (82.9%),4 (0.9%)
3-Methylpentane,Other Alkanes,2 (0.4%),0 (0%),423 (93.8%),26 (5.8%)
"2,4-Dimethylpentane",Other Alkanes,7 (1.6%),63 (14%),376 (83.4%),5 (1.1%)
"2,3,4-Trimethylpentane",Other Alkanes,11 (2.4%),90 (20%),347 (76.9%),3 (0.7%)
Methylcyclohexane,Other Alkanes,2 (0.4%),6 (1.3%),416 (92.2%),27 (6%)
1-Hexene,Alkenes,53 (11.8%),15 (3.3%),383 (84.9%),0 (0%)
cis-2-Pentene,Alkenes,86 (19.1%),142 (31.5%),223 (49.4%),0 (0%)
Isoprene,Alkenes,213 (47.2%),47 (10.4%),191 (42.4%),0 (0%)
2-Hexanone,Ketones,429 (95.1%),0 (0%),22 (4.9%),0 (0%)
Methyl isobutyl ketone,Ketones,267 (59.2%),0 (0%),184 (40.8%),0 (0%)
Chloroform,Chlorinated Compounds,11 (2.4%),0 (0%),440 (97.6%),0 (0%)
Carbon tetrachloride,Chlorinated Compounds,6 (1.3%),1 (0.2%),444 (98.4%),0 (0%)
Tetrachloroethylene,Chlorinated Compounds,3 (0.7%),0 (0%),448 (99.3%),0 (0%)
Trichlorofluoromethane,Chlorinated Compounds,2 (0.4%),0 (0%),449 (99.6%),0 (0%)
"1,2-dichlorobenzene",Chlorinated Compounds,33 (7.3%),241 (53.4%),177 (39.2%),0 (0%)
