variable_name_messy,Overall,HighT/I,HighT/NoI,LowT/I,LowT/NoI,p,test,variable_name,voc_name,mw,category_1,category_2,category_2no,sort_in_category
benzene (mean (SD)),1.35 (0.91),1.54 (1.17),1.37 (0.62),1.15 (0.51),1.15 (0.60),0.001,,benzene,Benzene,78.11,BTEX,BTEX,1,1
toluene (mean (SD)),2.32 (1.36),2.67 (1.68),2.16 (0.95),2.35 (1.00),1.91 (0.95),<0.001,,toluene,Toluene,92.14,BTEX,BTEX,1,2
etbenz (mean (SD)),0.72 (0.87),0.95 (1.24),0.62 (0.34),0.58 (0.29),0.51 (0.30),<0.001,,etbenz,Ethylbenzene,106.17,BTEX,BTEX,1,3
mpxylene (mean (SD)),4.74 (4.66),6.14 (6.32),4.15 (2.49),3.96 (1.99),3.35 (2.13),<0.001,,mpxylene,(m+p)-Xylenes,106.16,BTEX,BTEX,1,4
oxylene (mean (SD)),1.05 (1.21),1.37 (1.71),0.89 (0.48),0.85 (0.44),0.74 (0.44),<0.001,,oxylene,o-Xylene,106.16,BTEX,BTEX,1,5
xylenes (mean (SD)),5.78 (5.83),7.51 (7.96),5.04 (2.97),4.81 (2.42),4.09 (2.57),<0.001,,xylenes,Total Xylenes,106.16,BTEX,BTEX,1,6
benzene_1_4_diethyl (mean (SD)),0.19 (0.29),0.30 (0.41),0.13 (0.09),0.11 (0.05),0.10 (0.08),<0.001,,benzene_1_4_diethyl,"1,4-Diethylbenzene",134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_2_3_trimethyl (mean (SD)),0.24 (0.28),0.32 (0.39),0.21 (0.11),0.18 (0.10),0.16 (0.09),<0.001,,benzene_1_2_3_trimethyl,"1,2,3-Trimethylbenzene",120.194,Benzene Derivatives,Alkylbenzenes,2,2
benz1ethyl2methyl (mean (SD)),0.20 (0.23),0.27 (0.32),0.16 (0.09),0.14 (0.07),0.13 (0.07),<0.001,,benz1ethyl2methyl,1-Ethyl-2-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benz1ethyl3methyl (mean (SD)),0.49 (0.56),0.67 (0.79),0.41 (0.22),0.35 (0.18),0.32 (0.17),<0.001,,benz1ethyl3methyl,1-Ethyl-3-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benz1ethyl4methyl (mean (SD)),0.23 (0.31),0.33 (0.44),0.19 (0.12),0.16 (0.08),0.15 (0.08),<0.001,,benz1ethyl4methyl,1-Ethyl-4-Methylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,5
propylbenzene (mean (SD)),0.28 (0.40),0.40 (0.56),0.22 (0.13),0.18 (0.09),0.17 (0.09),<0.001,,propylbenzene,Propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
mesitylene (mean (SD)),0.68 (0.99),0.99 (1.40),0.54 (0.32),0.44 (0.22),0.41 (0.25),<0.001,,mesitylene,Mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
hexane (mean (SD)),1.54 (1.66),2.12 (2.25),1.35 (0.93),1.09 (0.65),1.01 (0.66),<0.001,,hexane,n-Hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane (mean (SD)),1.22 (1.56),1.71 (2.19),1.02 (0.63),0.87 (0.43),0.75 (0.45),<0.001,,heptane,Heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane (mean (SD)),0.51 (0.62),0.71 (0.85),0.47 (0.25),0.33 (0.16),0.33 (0.24),<0.001,,octane,Octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane (mean (SD)),0.68 (0.76),0.89 (1.01),0.67 (0.38),0.46 (0.27),0.49 (0.46),<0.001,,nonane,Nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane (mean (SD)),0.70 (0.78),0.97 (1.09),0.59 (0.30),0.46 (0.21),0.46 (0.23),<0.001,,decane,Decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane (mean (SD)),0.97 (1.32),1.42 (1.84),0.70 (0.43),0.51 (0.26),0.63 (0.46),<0.001,,undecane,Undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
dodecane (mean (SD)),0.60 (0.98),0.93 (1.36),0.34 (0.24),0.25 (0.17),0.39 (0.41),<0.001,,dodecane,Dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
butane_2_methyl (mean (SD)),0.44 (0.28),0.49 (0.34),0.44 (0.22),0.39 (0.21),0.39 (0.21),0.009,,butane_2_methyl,Isopentane,72.151,Alkanes,Other Alkanes,5,1
pentane_2_methyl (mean (SD)),7.46 (6.47),9.87 (8.42),6.86 (3.94),5.60 (3.21),5.13 (3.05),<0.001,,pentane_2_methyl,Isohexane,86.178,Alkanes,Other Alkanes,5,2
hexane2methyl (mean (SD)),1.12 (1.22),1.56 (1.64),0.92 (0.62),0.91 (0.50),0.67 (0.43),<0.001,,hexane2methyl,2-Methylhexane,100.2,Alkanes,Other Alkanes,5,3
hexane_3_methyl (mean (SD)),2.52 (2.87),3.53 (3.91),2.11 (1.42),2.05 (1.10),1.49 (0.95),<0.001,,hexane_3_methyl,3-Methylhexane,100.205,Alkanes,Other Alkanes,5,4
heptane3methyl (mean (SD)),1.26 (2.17),1.97 (3.08),0.95 (0.76),0.70 (0.42),0.63 (0.46),<0.001,,heptane3methyl,3-Methylheptane,114.23,Alkanes,Other Alkanes,5,5
pentane_3_methyl (mean (SD)),2.99 (3.10),4.20 (4.07),2.62 (1.84),2.05 (1.40),1.86 (1.31),<0.001,,pentane_3_methyl,3-Methylpentane,86.178,Alkanes,Other Alkanes,5,6
pentane_2_4_dimethyl (mean (SD)),0.53 (0.64),0.78 (0.88),0.41 (0.24),0.33 (0.18),0.30 (0.17),<0.001,,pentane_2_4_dimethyl,"2,4-Dimethylpentane",100.205,Alkanes,Other Alkanes,5,7
pentane_2_3_4_trimethyl (mean (SD)),0.68 (0.80),1.00 (1.08),0.56 (0.41),0.43 (0.26),0.39 (0.25),<0.001,,pentane_2_3_4_trimethyl,"2,3,4-Trimethylpentane",114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl (mean (SD)),2.87 (5.14),4.26 (7.31),2.49 (2.13),1.78 (1.45),1.54 (1.41),<0.001,,cyclohexane_methyl,Methylcyclohexane,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene (mean (SD)),0.27 (0.43),0.39 (0.61),0.21 (0.16),0.17 (0.13),0.17 (0.12),<0.001,,x1_hexene,1-Hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis (mean (SD)),0.07 (0.13),0.09 (0.18),0.05 (0.05),0.04 (0.03),0.04 (0.04),0.001,,x2_pentene_z_cis,cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl (mean (SD)),0.07 (0.10),0.06 (0.07),0.07 (0.08),0.10 (0.14),0.08 (0.12),0.031,,x1_3_butadiene_2_methyl,Isoprene,68.12,Alkenes,Alkenes,6,3
x2_hexanone (mean (SD)),0.01 (0.02),0.01 (0.02),0.01 (0.00),0.02 (0.04),0.01 (0.03),0.364,,x2_hexanone,2-Hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone (mean (SD)),0.02 (0.03),0.02 (0.03),0.02 (0.02),0.02 (0.02),0.02 (0.03),0.349,,methyl_isobutyl_ketone,Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
trichloromethane (mean (SD)),0.17 (0.06),0.16 (0.07),0.20 (0.07),0.16 (0.06),0.17 (0.05),0.002,,trichloromethane,Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride (mean (SD)),1.74 (0.60),1.71 (0.64),1.73 (0.61),1.78 (0.57),1.76 (0.56),0.842,,carbon_tetrachloride,Carbon tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tce (mean (SD)),0.14 (0.09),0.14 (0.10),0.11 (0.06),0.15 (0.10),0.13 (0.07),0.103,,tce,Tetrachloroethylene,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichlorofluoromethane (mean (SD)),0.68 (0.47),0.71 (0.49),0.64 (0.41),0.66 (0.43),0.67 (0.46),0.728,,trichlorofluoromethane,Trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benz12chloro (mean (SD)),0.13 (0.09),0.08 (0.07),0.12 (0.06),0.13 (0.06),0.18 (0.11),<0.001,,benz12chloro,"1,2-dichlorobenzene",147.01,Benzene Derivatives,Chlorinated Compounds,8,5
n,405,178,45,46,136,,,n,NA,NA,NA,NA,NA,NA
