variable_name,flag_type,count,percentage,n_perc,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
benzene,nd,0,0,0 (0%),Benzene,benzene,78.11,BTEX,BTEX,1,1
benzene,lod,0,0,0 (0%),Benzene,benzene,78.11,BTEX,BTEX,1,1
benzene,reg,453,99.8,453 (99.8%),Benzene,benzene,78.11,BTEX,BTEX,1,1
benzene,ulod,1,0.2,1 (0.2%),Benzene,benzene,78.11,BTEX,BTEX,1,1
toluene,nd,1,0.2,1 (0.2%),Toluene,toluene,92.14,BTEX,BTEX,1,2
toluene,lod,0,0,0 (0%),Toluene,toluene,92.14,BTEX,BTEX,1,2
toluene,reg,449,98.9,449 (98.9%),Toluene,toluene,92.14,BTEX,BTEX,1,2
toluene,ulod,4,0.9,4 (0.9%),Toluene,toluene,92.14,BTEX,BTEX,1,2
ethylbenzene,nd,0,0,0 (0%),Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
ethylbenzene,lod,0,0,0 (0%),Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
ethylbenzene,reg,454,100,454 (100%),Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
ethylbenzene,ulod,0,0,0 (0%),Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
m_p_xylene_2,nd,0,0,0 (0%),(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
m_p_xylene_2,lod,0,0,0 (0%),(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
m_p_xylene_2,reg,452,99.6,452 (99.6%),(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
m_p_xylene_2,ulod,2,0.4,2 (0.4%),(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
o_xylene,nd,0,0,0 (0%),o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
o_xylene,lod,7,1.5,7 (1.5%),o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
o_xylene,reg,446,98.2,446 (98.2%),o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
o_xylene,ulod,1,0.2,1 (0.2%),o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
benzene_1_4_diethyl,nd,58,12.8,58 (12.8%),"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,lod,248,54.6,248 (54.6%),"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,reg,148,32.6,148 (32.6%),"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_4_diethyl,ulod,0,0,0 (0%),"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
