"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"Bartram’s Garden","stationary",1,"benzene","0.9 [0.6, 1.2]","Benzene","benzene",78.11,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"toluene","1.4 [1.0, 1.9]","Toluene","toluene",92.14,"BTEX","BTEX",1,2
"Bartram’s Garden","stationary",1,"ethylbenzene","0.3 [0.3, 0.5]","Ethylbenzene","etbenz",106.17,"BTEX","BTEX",1,3
"Bartram’s Garden","stationary",1,"m_p_xylene_2","2.1 [1.5, 2.8]","(m+p)-Xylenes","mpxylene",106.16,"BTEX","BTEX",1,4
"Bartram’s Garden","stationary",1,"o_xylene","0.5 [0.4, 0.6]","o-Xylene","oxylene",106.16,"BTEX","BTEX",1,5
"Bartram’s Garden","stationary",1,"xylenes","2.6 [1.8, 3.5]","Total Xylenes","xylenes",106.16,"BTEX","BTEX",1,6
"Bartram’s Garden","stationary",1,"benzene_1_4_diethyl","0.1 [0.0, 0.1]","1,4-Diethylbenzene","benzene_1_4_diethyl",134.221,"Benzene Derivatives","Alkylbenzenes",2,1
"Bartram’s Garden","stationary",1,"benzene_1_2_3_trimethyl","0.1 [0.1, 0.1]","1,2,3-Trimethylbenzene","benzene_1_2_3_trimethyl",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benzene_1_ethyl_2_methyl","0.1 [0.1, 0.1]","1-Ethyl-2-Methylbenzene","benz1ethyl2methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,3
"Bartram’s Garden","stationary",1,"benzene_1_ethyl_3_methyl","0.2 [0.2, 0.3]","1-Ethyl-3-Methylbenzene","benz1ethyl3methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,4
"Bartram’s Garden","stationary",1,"benzene_1_ethyl_4_methyl","0.1 [0.1, 0.1]","1-Ethyl-4-Methylbenzene","benz1ethyl4methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,5
"Bartram’s Garden","stationary",1,"benzene_propyl","0.1 [0.1, 0.1]","Propylbenzene","propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,6
"Bartram’s Garden","stationary",1,"mesitylene","0.2 [0.2, 0.3]","Mesitylene","mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,7
"Bartram’s Garden","stationary",1,"n_hexane","0.7 [0.4, 1.0]","n-Hexane","hexane",86.18,"Alkanes","C6-C9 Alkanes",3,1
"Bartram’s Garden","stationary",1,"heptane","0.5 [0.4, 0.7]","Heptane","heptane",100.21,"Alkanes","C6-C9 Alkanes",3,2
"Bartram’s Garden","stationary",1,"octane","0.2 [0.1, 0.3]","Octane","octane",114.23,"Alkanes","C6-C9 Alkanes",3,3
"Bartram’s Garden","stationary",1,"nonane","0.3 [0.1, 0.5]","Nonane","nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Bartram’s Garden","stationary",1,"decane","0.3 [0.2, 0.4]","Decane","decane",149.29,"Alkanes","C10-C12 Alkanes",4,1
"Bartram’s Garden","stationary",1,"undecane","0.3 [0.2, 0.5]","Undecane","undecane",156.31,"Alkanes","C10-C12 Alkanes",4,2
"Bartram’s Garden","stationary",1,"dodecane","0.1 [0.1, 0.2]","Dodecane","dodecane",170.34,"Alkanes","C10-C12 Alkanes",4,3
"Bartram’s Garden","stationary",1,"butane_2_methyl","0.3 [0.2, 0.6]","Isopentane","butane_2_methyl",72.151,"Alkanes","Other Alkanes",5,1
"Bartram’s Garden","stationary",1,"pentane_2_methyl","3.5 [2.1, 5.0]","Isohexane","pentane_2_methyl",86.178,"Alkanes","Other Alkanes",5,2
"Bartram’s Garden","stationary",1,"hexane_2_methyl","0.4 [0.3, 0.6]","2-Methylhexane","hexane2methyl",100.2,"Alkanes","Other Alkanes",5,3
"Bartram’s Garden","stationary",1,"hexane_3_methyl","0.9 [0.6, 1.4]","3-Methylhexane","hexane_3_methyl",100.205,"Alkanes","Other Alkanes",5,4
"Bartram’s Garden","stationary",1,"heptane_3_methyl","0.3 [0.2, 0.5]","3-Methylheptane","heptane3methyl",114.23,"Alkanes","Other Alkanes",5,5
"Bartram’s Garden","stationary",1,"pentane_3_methyl","1.2 [0.7, 1.7]","3-Methylpentane","pentane_3_methyl",86.178,"Alkanes","Other Alkanes",5,6
"Bartram’s Garden","stationary",1,"pentane_2_4_dimethyl","0.2 [0.1, 0.3]","2,4-Dimethylpentane","pentane_2_4_dimethyl",100.205,"Alkanes","Other Alkanes",5,7
"Bartram’s Garden","stationary",1,"pentane_2_3_4_trimethyl","0.2 [0.1, 0.3]","2,3,4-Trimethylpentane","pentane_2_3_4_trimethyl",114.232,"Alkanes","Other Alkanes",5,8
"Bartram’s Garden","stationary",1,"cyclohexane_methyl","0.8 [0.6, 1.1]","Methylcyclohexane","cyclohexane_methyl",98.189,"Cyclohexanes","Other Alkanes",5,9
"Bartram’s Garden","stationary",1,"x1_hexene","0.1 [0.1, 0.2]","1-Hexene","x1_hexene",84.162,"Alkenes","Alkenes",6,1
"Bartram’s Garden","stationary",1,"x2_pentene_z_cis","0.0 [0.0, 0.0]","cis-2-Pentene","x2_pentene_z_cis",70.1329,"Alkenes","Alkenes",6,2
"Bartram’s Garden","stationary",1,"x1_3_butadiene_2_methyl","0.0 [0.0, 0.2]","Isoprene","x1_3_butadiene_2_methyl",68.12,"Alkenes","Alkenes",6,3
"Bartram’s Garden","stationary",1,"x2_hexanone","0.0 [0.0, 0.0]","2-Hexanone","x2_hexanone",100.161,"Ketones","Ketones",7,1
"Bartram’s Garden","stationary",1,"methyl_isobutyl_ketone","0.0 [0.0, 0.0]","Methyl isobutyl ketone","methyl_isobutyl_ketone",100.16,"Ketones","Ketones",7,2
