site_type,site,Dim.1,Dim.2,Dim.3,Dim.4
rotating,29th & Moore,-0.85 (0.13),-0.96 (0.14),0.05 (0.74),-0.17 (0.27)
rotating,31st & Grays Ferry,-0.62 (0.50),-1.24 (0.86),-0.21 (0.57),0.04 (0.19)
rotating,Audenreid School,-0.84 (1.12),-0.18 (0.21),0.10 (0.86),0.03 (0.64)
rotating,Carl Moore Health Center,-2.10 (1.66),-1.05 (0.48),0.09 (0.22),-0.35 (0.65)
rotating,Crescent Park,-3.10 (2.34),-1.83 (0.55),0.03 (0.14),-0.30 (0.71)
rotating,Finnegan Playground,-1.19 (0.51),-1.25 (0.62),0.00 (0.40),0.34 (1.14)
rotating,Hartranft & Pietro Wy,-1.17 (0.21),-0.94 (0.22),-1.02 (0.59),-0.25 (0.66)
rotating,Snyder & Vare,-0.68 (0.41),-0.51 (0.86),-0.43 (0.69),-0.17 (0.68)
rotating,Universal Charter School at Vare,-0.32 (0.19),-0.63 (0.26),1.55 (1.68),-0.21 (0.41)
rotating,Vare & New Hope,-0.83 (0.42),-0.95 (0.44),-0.18 (0.66),0.26 (0.63)
rotating,Wharton Park,-1.55 (0.42),-1.48 (0.53),-0.25 (0.21),-0.01 (0.29)
stationary,24th & Ritner,-0.45 (0.77),-0.41 (0.76),0.12 (0.77),-0.30 (0.61)
stationary,25th & Point Breeze,-0.88 (0.71),-0.67 (0.69),-0.26 (0.86),0.47 (0.72)
stationary,26th & Hartranft,0.79 (1.67),1.49 (1.63),0.68 (1.38),-1.70 (1.35)
stationary,28th & Passyunk,5.62 (8.58),4.22 (6.53),-0.01 (2.64),-0.49 (1.49)
stationary,28th & Point Breeze,-0.54 (0.58),-0.45 (0.59),0.09 (0.88),0.20 (0.70)
stationary,61st & Passyunk,0.88 (1.73),0.39 (1.13),0.08 (1.14),0.94 (1.03)
stationary,Bartram’s Garden,-1.90 (1.14),-1.66 (0.70),-0.17 (1.15),0.19 (0.94)
stationary,Essington & Mingo,-1.32 (1.24),-1.01 (0.97),-0.38 (1.15),0.78 (0.79)
stationary,Morris & Point Breeze,-1.02 (0.65),-0.86 (0.46),-0.10 (0.70),-0.09 (0.47)
