"site_type","site","tb_ratio","xe_ratio","benzene","toluene","ethylbenzene","m_p_xylene_2","o_xylene"
"rotating","29th & Moore","1.72 (0.38)","5.88 (0.85)","1.25 (0.60)","2.02 (0.70)","0.46 (0.08)","2.77 (0.87)","0.65 (0.12)"
"rotating","31st & Grays Ferry","2.25 (0.29)","6.17 (0.83)","1.27 (0.62)","2.73 (1.03)","0.58 (0.10)","3.63 (1.09)","0.83 (0.13)"
"rotating","Audenreid School","2.36 (0.66)","6.51 (0.32)","1.68 (0.26)","3.94 (1.04)","1.06 (0.23)","6.86 (1.26)","1.45 (0.25)"
"rotating","Carl Moore Health Center","1.98 (0.50)","6.62 (0.13)","1.54 (0.30)","2.98 (0.56)","0.74 (0.11)","4.91 (0.69)","1.03 (0.12)"
"rotating","Crescent Park","1.94 (0.57)","6.37 (0.25)","1.10 (0.28)","2.09 (0.63)","0.52 (0.12)","3.31 (0.88)","0.70 (0.18)"
"rotating","Finnegan Playground","1.68 (0.34)","5.97 (0.60)","1.14 (0.65)","1.77 (0.75)","0.42 (0.10)","2.54 (0.88)","0.59 (0.13)"
"rotating","Hartranft & Pietro Wy","1.37 (0.48)","5.39 (0.34)","1.58 (1.34)","1.83 (1.23)","0.47 (0.26)","2.58 (1.60)","0.59 (0.29)"
"rotating","Snyder & Vare","1.64 (0.64)","5.70 (0.61)","1.54 (1.17)","2.22 (1.40)","0.59 (0.36)","3.43 (2.28)","0.77 (0.39)"
"rotating","Universal Charter School at Vare","1.50 (0.37)","6.27 (0.68)","1.58 (0.45)","2.26 (0.30)","0.60 (0.04)","3.76 (0.57)","0.83 (0.11)"
"rotating","Vare & New Hope","1.44 (0.34)","6.65 (0.82)","1.38 (0.43)","1.89 (0.35)","0.45 (0.10)","2.98 (0.57)","0.66 (0.10)"
"rotating","Wharton Park","1.53 (0.36)","5.91 (0.74)","0.97 (0.41)","1.38 (0.39)","0.36 (0.07)","2.17 (0.53)","0.51 (0.10)"
"stationary","24th & Ritner","1.67 (0.43)","6.68 (0.80)","1.41 (0.63)","2.25 (0.98)","0.64 (0.36)","4.29 (2.59)","0.92 (0.51)"
"stationary","25th & Point Breeze","2.16 (0.61)","6.77 (0.81)","1.17 (0.52)","2.41 (1.03)","0.60 (0.29)","4.04 (2.02)","0.87 (0.45)"
"stationary","26th & Hartranft","1.53 (0.57)","6.60 (0.92)","1.43 (0.71)","2.06 (1.00)","0.68 (0.45)","4.49 (3.15)","0.95 (0.58)"
"stationary","28th & Passyunk","1.56 (0.56)","7.42 (1.50)","2.16 (1.88)","3.01 (2.39)","1.69 (2.20)","10.50 (10.00)","2.47 (3.01)"
"stationary","28th & Point Breeze","1.75 (0.38)","6.73 (0.76)","1.31 (0.75)","2.21 (1.17)","0.62 (0.36)","4.17 (2.55)","0.90 (0.53)"
"stationary","61st & Passyunk","2.44 (0.54)","6.77 (0.73)","1.49 (0.77)","3.52 (1.61)","0.94 (0.42)","6.36 (2.85)","1.41 (0.61)"
"stationary","Bartram’s Garden","1.69 (0.40)","6.24 (0.79)","0.95 (0.41)","1.56 (0.72)","0.37 (0.16)","2.33 (1.06)","0.53 (0.23)"
"stationary","Essington & Mingo","1.96 (0.51)","6.59 (0.86)","1.14 (0.50)","2.14 (0.88)","0.49 (0.17)","3.17 (1.08)","0.69 (0.23)"
"stationary","Morris & Point Breeze","1.72 (0.35)","6.63 (0.75)","1.25 (0.53)","2.08 (0.85)","0.57 (0.31)","3.78 (2.16)","0.83 (0.45)"
