"voc_name","category_2","Summer","Winter","p-value"
"Benzene","BTEX","0.72 [0.62, 1.06]","1.69 [1.51, 2.01]","<0.001"
"Toluene","BTEX","1.43 [1.18, 2.00]","2.59 [1.96, 3.16]","<0.001"
"Ethylbenzene","BTEX","0.43 [0.32, 0.62]","0.64 [0.48, 0.78]","<0.001"
"(m+p)-​Xylenes","BTEX","2.71 [2.09, 3.70]","4.10 [3.09, 5.30]","<0.001"
"o-​Xylene","BTEX","0.64 [0.49, 0.97]","0.83 [0.65, 1.10]","<0.001"
"Total Xylenes","BTEX","3.28 [2.54, 4.68]","4.98 [3.72, 6.33]","<0.001"
"1,2,3-​Trimethylbenzene","Alkylbenzenes","0.16 [0.11, 0.24]","0.18 [0.13, 0.25]","0.249"
"1-​Ethyl-​3-​Methylbenzene","Alkylbenzenes","0.32 [0.22, 0.51]","0.38 [0.27, 0.51]","0.077"
"1-​Ethyl-​4-​Methylbenzene","Alkylbenzenes","0.13 [0.10, 0.23]","0.17 [0.13, 0.22]","0.007"
"Mesitylene","Alkylbenzenes","0.40 [0.28, 0.59]","0.45 [0.32, 0.64]","0.093"
"n-​Hexane","C6-C9 Alkanes","0.62 [0.47, 1.03]","1.60 [1.19, 2.22]","<0.001"
"Heptane","C6-C9 Alkanes","0.57 [0.46, 1.03]","1.04 [0.81, 1.50]","<0.001"
"Decane","C10-C12 Alkanes","0.43 [0.28, 0.85]","0.51 [0.37, 0.74]","0.055"
"Undecane","C10-C12 Alkanes","0.68 [0.45, 1.54]","0.58 [0.41, 0.88]","0.058"
"Isopentane","Other Alkanes","0.25 [0.18, 0.45]","0.43 [0.37, 0.62]","<0.001"
"Isohexane","Other Alkanes","3.33 [2.38, 6.80]","8.05 [5.65, 11.51]","<0.001"
"2-​Methylhexane","Other Alkanes","0.53 [0.38, 0.87]","1.06 [0.76, 1.53]","<0.001"
"3-​Methylhexane","Other Alkanes","1.24 [0.89, 2.08]","2.28 [1.67, 3.40]","<0.001"
"3-​Methylheptane","Other Alkanes","0.60 [0.38, 1.16]","0.76 [0.54, 1.19]","0.012"
"3-​Methylpentane","Other Alkanes","1.25 [0.89, 2.81]","2.94 [1.94, 4.46]","<0.001"
"2,4-​Dimethylpentane","Other Alkanes","0.28 [0.21, 0.47]","0.39 [0.27, 0.61]","0.002"
"2,3,4-​Trimethylpentane","Other Alkanes","0.41 [0.26, 0.68]","0.42 [0.28, 0.67]","0.960"
"Methylcyclohexane","Other Alkanes","1.30 [0.84, 2.93]","1.83 [1.19, 3.39]","0.011"
"cis-​2-​Pentene","Alkenes","0.02 [0.01, 0.04]","0.07 [0.05, 0.11]","<0.001"
"Carbon tetrachloride","Chlorinated Compounds","1.18 [1.10, 1.34]","2.15 [1.71, 2.39]","<0.001"
"Tetrachloroethylene","Chlorinated Compounds","0.09 [0.06, 0.12]","0.15 [0.11, 0.21]","<0.001"
"Trichlorofluoromethane","Chlorinated Compounds","0.27 [0.23, 0.42]","1.16 [0.47, 1.46]","<0.001"
