voc_name,variable_name,category_2,nd,lod,reg,ulod,low_detection_rate,mean_RPD,ICC,low_reliability
Benzene,benzene,BTEX,0.0,0.0,99.8,0.2,0,7.2,0.98,0
Toluene,toluene,BTEX,0.2,0.0,98.9,0.9,0,6.7,0.95,0
Ethylbenzene,ethylbenzene,BTEX,0.0,0.0,100.0,0.0,0,7,0.96,0
(m+p)-​Xylenes,m_p_xylene_2,BTEX,0.0,0.0,99.6,0.4,0,7.1,0.98,0
o-​Xylene,o_xylene,BTEX,0.0,1.5,98.2,0.2,0,7.2,0.98,0
"1,4-​Diethylbenzene",benzene_1_4_diethyl,Alkylbenzenes,12.8,54.6,32.6,0.0,1,26.4,0.98,0
"1,2,3-​Trimethylbenzene",benzene_1_2_3_trimethyl,Alkylbenzenes,4.8,50.4,44.7,0.0,0,11.5,0.96,0
1-​Ethyl-​2-​Methylbenzene,benzene_1_ethyl_2_methyl,Alkylbenzenes,0.4,68.7,30.8,0.0,1,10.7,0.97,0
1-​Ethyl-​3-​Methylbenzene,benzene_1_ethyl_3_methyl,Alkylbenzenes,0.9,17.0,81.7,0.4,0,11.5,0.96,0
1-​Ethyl-​4-​Methylbenzene,benzene_1_ethyl_4_methyl,Alkylbenzenes,0.0,43.8,56.2,0.0,0,13.6,0.91,0
Propylbenzene,benzene_propyl,Alkylbenzenes,0.2,76.9,22.9,0.0,1,11.3,0.93,0
Mesitylene,mesitylene,Alkylbenzenes,0.0,1.1,98.9,0.0,0,10.6,0.99,0
n-​Hexane,n_hexane,C6-C9 Alkanes,0.0,0.0,99.3,0.7,0,7,0.98,0
Heptane,heptane,C6-C9 Alkanes,0.2,0.0,99.3,0.4,0,8.8,0.98,0
Octane,octane,C6-C9 Alkanes,0.9,1.5,97.1,0.4,0,37.9,0.7,1
Nonane,nonane,C6-C9 Alkanes,5.7,2.6,91.2,0.4,0,60.6,0.39,1
Decane,decane,C10-C12 Alkanes,0.7,22.0,77.1,0.2,0,16.1,0.96,0
Undecane,undecane,C10-C12 Alkanes,1.8,48.2,50.0,0.0,0,19.5,0.96,0
Dodecane,dodecane,C10-C12 Alkanes,1.1,63.2,35.7,0.0,1,19.8,0.98,0
Isopentane,butane_2_methyl,Other Alkanes,0.9,0.0,47.6,51.5,0,16.1,0.99,0
Isohexane,pentane_2_methyl,Other Alkanes,0.0,0.0,89.9,10.1,0,7,0.99,0
2-​Methylhexane,hexane_2_methyl,Other Alkanes,0.0,2.9,95.8,1.3,0,6.7,0.98,0
3-​Methylhexane,hexane_3_methyl,Other Alkanes,0.0,1.8,96.3,2.0,0,7.4,0.99,0
3-​Methylheptane,heptane_3_methyl,Other Alkanes,0.0,16.1,83.0,0.9,0,8.6,0.99,0
3-​Methylpentane,pentane_3_methyl,Other Alkanes,0.0,0.0,94.3,5.7,0,7.3,0.99,0
"2,4-​Dimethylpentane",pentane_2_4_dimethyl,Other Alkanes,1.1,13.9,83.9,1.1,0,9.2,0.99,0
"2,3,4-​Trimethylpentane",pentane_2_3_4_trimethyl,Other Alkanes,2.0,20.0,77.3,0.7,0,6.4,0.99,0
Methylcyclohexane,cyclohexane_methyl,Other Alkanes,0.0,1.3,92.7,5.9,0,6,0.99,0
1-​Hexene,x1_hexene,Alkenes,11.7,3.3,85.0,0.0,0,48.1,0.62,1
cis-​2-​Pentene,x2_pentene_z_cis,Alkenes,18.7,31.7,49.6,0.0,0,25.1,0.93,0
Isoprene,x1_3_butadiene_2_methyl,Alkenes,47.6,10.6,41.9,0.0,1,23.8,0.91,0
2-​Hexanone,x2_hexanone,Ketones,95.2,0.0,4.8,0.0,1,7,0.57,1
Methyl isobutyl ketone,methyl_isobutyl_ketone,Ketones,58.6,0.0,41.4,0.0,1,68.2,0.23,1
Chloroform,trichloromethane,Chlorinated Compounds,2.0,0.0,98.0,0.0,0,13.3,0.48,1
Carbon tetrachloride,carbon_tetrachloride,Chlorinated Compounds,0.9,0.2,98.9,0.0,0,7.5,0.83,0
Tetrachloroethylene,tetrachloroethylene,Chlorinated Compounds,0.7,0.0,99.3,0.0,0,6.9,0.94,0
Trichlorofluoromethane,trichloromonofluoromethane,Chlorinated Compounds,0.4,0.0,99.6,0.0,0,14.6,0.92,0
"1,2-​Dichlorobenzene",benzene_1_2_dichloro,Chlorinated Compounds,4.4,55.9,39.6,0.0,1,16.5,0.62,1
