"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"Bartram’s Garden","stationary",1,"benzene","0.28 (0.17)","Benzene",78.11,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"toluene","0.35 (0.25)","Toluene",92.14,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"etbenz","0.07 (0.05)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"xylenes","0.55 (0.40)","Xylenes",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"mpxylene","0.46 (0.32)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"oxylene","0.11 (0.06)","o-Xylene",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"benz1ethyl2methyl","0.02 (0.01)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benz1ethyl3methyl","0.04 (0.02)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benz1ethyl4methyl","0.02 (0.01)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"propylbenzene","0.02 (0.01)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"mesitylene","0.05 (0.03)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benzene_1_2_3_trimethyl","0.02 (0.01)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benzene_1_4_diethyl","0.01 (0.01)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"heptane3methyl","0.07 (0.06)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"hexane2methyl","0.09 (0.08)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"butane_2_methyl","0.10 (0.09)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"pentane_2_methyl","0.95 (0.78)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
