"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"Bartram’s Garden","stationary",1,"benzene","0.90 (0.53)","Benzene",78.11,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"toluene","1.34 (0.95)","Toluene",92.14,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"etbenz","0.32 (0.21)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"xylenes","2.40 (1.72)","Xylenes",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"mpxylene","1.98 (1.37)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"oxylene","0.47 (0.28)","o-Xylene",106.16,"BTEX","BTEX",1,1
"Bartram’s Garden","stationary",1,"benz1ethyl2methyl","0.08 (0.03)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benz1ethyl3methyl","0.20 (0.11)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benz1ethyl4methyl","0.11 (0.06)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"propylbenzene","0.09 (0.06)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"mesitylene","0.24 (0.12)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benzene_1_2_3_trimethyl","0.11 (0.04)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"benzene_1_4_diethyl","0.05 (0.04)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Bartram’s Garden","stationary",1,"heptane3methyl","0.32 (0.26)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"hexane2methyl","0.38 (0.31)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"butane_2_methyl","0.28 (0.26)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"pentane_2_methyl","3.35 (2.74)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"pentane_3_methyl","1.20 (0.99)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"pentane_2_4_dimethyl","0.20 (0.12)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"pentane_2_3_4_trimethyl","0.22 (0.15)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"Bartram’s Garden","stationary",1,"hexane_3_methyl","0.84 (0.76)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"Bartram’s Garden","stationary",1,"heptane","0.48 (0.30)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"Bartram’s Garden","stationary",1,"hexane","0.66 (0.62)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"Bartram’s Garden","stationary",1,"nonane","0.26 (0.40)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"Bartram’s Garden","stationary",1,"octane","0.20 (0.14)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"Bartram’s Garden","stationary",1,"decane","0.28 (0.18)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"Bartram’s Garden","stationary",1,"dodecane","0.15 (0.09)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"Bartram’s Garden","stationary",1,"undecane","0.31 (0.21)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"Bartram’s Garden","stationary",1,"cyclohexane_methyl","0.78 (0.50)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"Bartram’s Garden","stationary",1,"x2_pentene_z_cis","0.02 (0.04)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"Bartram’s Garden","stationary",1,"x1_3_butadiene_2_methyl","0.01 (0.23)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"Bartram’s Garden","stationary",1,"x1_hexene","0.13 (0.13)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"Bartram’s Garden","stationary",1,"methyl_isobutyl_ketone","0.00 (0.00)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"Bartram’s Garden","stationary",1,"x2_hexanone","0.01 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"Bartram’s Garden","stationary",1,"benz12chloro","0.13 (0.14)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"Bartram’s Garden","stationary",1,"tce","0.12 (0.06)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Bartram’s Garden","stationary",1,"trichlorofluoromethane","0.48 (0.61)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Bartram’s Garden","stationary",1,"trichloromethane","0.17 (0.04)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Bartram’s Garden","stationary",1,"carbon_tetrachloride","1.75 (0.80)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"Essington & Mingo","stationary",2,"benzene","1.07 (0.64)","Benzene",78.11,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"toluene","1.80 (1.19)","Toluene",92.14,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"etbenz","0.44 (0.24)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"xylenes","3.80 (1.68)","Xylenes",106.16,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"mpxylene","3.14 (1.38)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"oxylene","0.65 (0.30)","o-Xylene",106.16,"BTEX","BTEX",1,1
"Essington & Mingo","stationary",2,"benz1ethyl2methyl","0.10 (0.05)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benz1ethyl3methyl","0.24 (0.13)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benz1ethyl4methyl","0.11 (0.05)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"propylbenzene","0.12 (0.06)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"mesitylene","0.25 (0.09)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benzene_1_2_3_trimethyl","0.11 (0.04)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"benzene_1_4_diethyl","0.07 (0.05)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"Essington & Mingo","stationary",2,"heptane3methyl","0.38 (0.23)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"hexane2methyl","0.57 (0.39)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"butane_2_methyl","0.41 (0.33)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_methyl","5.05 (4.14)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_3_methyl","1.71 (1.64)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_4_dimethyl","0.27 (0.13)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"Essington & Mingo","stationary",2,"pentane_2_3_4_trimethyl","0.26 (0.18)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
