"site_type","site","site_id","tb_ratio","xe_ratio","benzene","toluene","ethylbenzene","m_p_xylene_2","o_xylene"
"rotating","29th & Moore",12,"1.65 [1.49, 1.88]","5.84 [5.17, 6.56]","1.16 [0.82, 1.57]","1.95 [1.37, 2.57]","0.46 [0.38, 0.53]","2.73 [1.98, 3.48]","0.65 [0.54, 0.74]"
"rotating","31st & Grays Ferry",15,"2.23 [2.02, 2.45]","6.18 [5.50, 6.85]","1.18 [0.77, 1.68]","2.54 [1.88, 3.39]","0.55 [0.52, 0.61]","3.40 [2.84, 4.19]","0.79 [0.76, 0.86]"
"rotating","Audenreid School",18,"2.17 [1.90, 2.63]","6.57 [6.32, 6.75]","1.57 [1.50, 1.68]","3.56 [3.34, 4.00]","1.04 [0.90, 1.15]","6.80 [6.11, 7.29]","1.44 [1.30, 1.54]"
"rotating","Carl Moore Health Center",19,"1.90 [1.61, 2.27]","6.63 [6.55, 6.69]","1.45 [1.29, 1.64]","2.79 [2.58, 3.07]","0.75 [0.68, 0.78]","4.86 [4.43, 5.16]","1.00 [0.95, 1.04]"
"rotating","Crescent Park",16,"1.77 [1.67, 2.03]","6.31 [6.18, 6.50]","1.10 [0.89, 1.27]","2.03 [1.73, 2.31]","0.47 [0.44, 0.52]","2.95 [2.83, 3.29]","0.64 [0.61, 0.71]"
"rotating","Finnegan Playground",14,"1.78 [1.61, 1.85]","5.97 [5.51, 6.43]","1.05 [0.62, 1.56]","1.72 [1.15, 2.35]","0.40 [0.34, 0.47]","2.38 [1.88, 3.04]","0.56 [0.51, 0.64]"
"rotating","Hartranft & Pietro Wy",10,"1.24 [1.03, 1.58]","5.39 [5.14, 5.64]","1.12 [0.68, 2.01]","1.28 [1.06, 2.04]","0.34 [0.32, 0.49]","1.82 [1.61, 2.75]","0.43 [0.43, 0.58]"
"rotating","Snyder & Vare",11,"1.47 [1.27, 1.84]","5.65 [5.21, 6.14]","1.12 [0.80, 1.86]","1.61 [1.48, 2.36]","0.44 [0.38, 0.65]","2.43 [2.22, 3.63]","0.63 [0.53, 0.87]"
"rotating","Universal Charter School at Vare",21,"1.44 [1.26, 1.67]","6.28 [5.85, 6.69]","1.56 [1.34, 1.77]","2.15 [2.00, 2.37]","0.60 [0.58, 0.61]","3.78 [3.23, 4.25]","0.83 [0.73, 0.92]"
"rotating","Vare & New Hope",20,"1.42 [1.20, 1.65]","6.77 [6.35, 7.06]","1.40 [1.19, 1.57]","1.85 [1.58, 2.13]","0.48 [0.41, 0.52]","2.93 [2.70, 3.17]","0.65 [0.61, 0.69]"
"rotating","Wharton Park",13,"1.56 [1.34, 1.68]","5.86 [5.25, 6.56]","0.90 [0.64, 1.16]","1.26 [1.20, 1.47]","0.38 [0.31, 0.39]","2.23 [1.82, 2.61]","0.54 [0.43, 0.57]"
"stationary","24th & Ritner",8,"1.65 [1.32, 1.97]","6.69 [5.98, 7.31]","1.29 [0.86, 1.72]","1.89 [1.53, 2.59]","0.52 [0.43, 0.67]","3.40 [2.68, 4.88]","0.72 [0.63, 1.02]"
"stationary","25th & Point Breeze",6,"2.02 [1.71, 2.54]","6.88 [6.40, 7.40]","1.05 [0.67, 1.50]","2.10 [1.55, 3.07]","0.47 [0.38, 0.69]","3.42 [2.55, 4.63]","0.71 [0.57, 0.97]"
"stationary","26th & Hartranft",9,"1.49 [1.27, 1.65]","6.75 [6.00, 7.14]","1.20 [1.04, 1.56]","1.79 [1.46, 2.29]","0.56 [0.46, 0.68]","3.64 [2.84, 4.43]","0.79 [0.63, 0.98]"
"stationary","28th & Passyunk",4,"1.49 [1.28, 1.82]","7.56 [6.57, 8.43]","1.50 [1.10, 2.16]","2.36 [1.45, 3.60]","0.77 [0.53, 1.67]","5.40 [3.95, 12.37]","1.19 [0.83, 2.74]"
"stationary","28th & Point Breeze",5,"1.74 [1.49, 2.03]","6.87 [6.12, 7.35]","1.12 [0.72, 1.57]","1.82 [1.38, 2.80]","0.48 [0.39, 0.72]","3.21 [2.52, 4.84]","0.69 [0.58, 0.98]"
"stationary","61st & Passyunk",3,"2.36 [2.15, 2.89]","6.89 [6.40, 7.29]","1.36 [0.93, 1.85]","2.96 [2.13, 4.76]","0.77 [0.61, 1.27]","5.38 [3.88, 8.66]","1.17 [0.99, 1.81]"
"stationary","Bartram’s Garden",1,"1.69 [1.45, 1.93]","6.40 [5.78, 6.70]","0.91 [0.64, 1.19]","1.36 [1.00, 1.95]","0.33 [0.26, 0.46]","2.12 [1.46, 2.81]","0.48 [0.36, 0.63]"
"stationary","Essington & Mingo",2,"1.91 [1.70, 2.22]","6.60 [5.97, 7.31]","1.07 [0.73, 1.38]","1.87 [1.48, 2.66]","0.45 [0.35, 0.58]","3.16 [2.28, 3.74]","0.66 [0.50, 0.80]"
"stationary","Morris & Point Breeze",7,"1.65 [1.49, 1.94]","6.76 [6.33, 7.11]","1.23 [0.82, 1.53]","1.74 [1.46, 2.59]","0.48 [0.40, 0.63]","3.14 [2.48, 4.40]","0.70 [0.55, 0.90]"
