variable_name_messy,Overall,Industrial,Non-Industrial,p,test,variable_name,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
benzene (median [IQR]),"1.38 [0.79, 1.61]","1.14 [0.74, 1.48]","1.42 [0.86, 1.63]",0.255,nonnorm,benzene,Benzene,benzene,78.11,BTEX,BTEX,1,1
toluene (median [IQR]),"2.05 [1.48, 2.70]","2.08 [1.73, 2.61]","2.05 [1.48, 2.70]",0.950,nonnorm,toluene,Toluene,toluene,92.14,BTEX,BTEX,1,2
ethylbenzene (median [IQR]),"0.52 [0.39, 0.64]","0.51 [0.44, 0.56]","0.52 [0.37, 0.72]",0.717,nonnorm,ethylbenzene,Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
m_p_xylene_2 (median [IQR]),"2.96 [2.31, 4.25]","2.91 [2.64, 3.71]","3.10 [2.20, 4.77]",0.802,nonnorm,m_p_xylene_2,(m+p)-​Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
o_xylene (median [IQR]),"0.71 [0.55, 0.93]","0.70 [0.58, 0.78]","0.71 [0.55, 1.00]",0.851,nonnorm,o_xylene,o-​Xylene,oxylene,106.16,BTEX,BTEX,1,5
xylenes (median [IQR]),"3.66 [2.82, 5.18]","3.62 [3.31, 4.48]","3.79 [2.77, 5.78]",0.841,nonnorm,xylenes,Total Xylenes,xylenes,106.16,BTEX,BTEX,1,6
benzene_1_4_diethyl (median [IQR]),"0.10 [0.07, 0.13]","0.10 [0.07, 0.13]","0.10 [0.07, 0.13]",0.802,nonnorm,benzene_1_4_diethyl,"1,4-​Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_2_3_trimethyl (median [IQR]),"0.15 [0.11, 0.19]","0.16 [0.13, 0.18]","0.15 [0.11, 0.19]",0.773,nonnorm,benzene_1_2_3_trimethyl,"1,2,3-​Trimethylbenzene",benzene_1_2_3_trimethyl,120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_ethyl_2_methyl (median [IQR]),"0.13 [0.09, 0.15]","0.12 [0.08, 0.14]","0.14 [0.11, 0.17]",0.239,nonnorm,benzene_1_ethyl_2_methyl,1-​Ethyl-​2-​Methylbenzene,benz1ethyl2methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benzene_1_ethyl_3_methyl (median [IQR]),"0.33 [0.26, 0.40]","0.34 [0.26, 0.37]","0.32 [0.26, 0.40]",0.635,nonnorm,benzene_1_ethyl_3_methyl,1-​Ethyl-​3-​Methylbenzene,benz1ethyl3methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benzene_1_ethyl_4_methyl (median [IQR]),"0.15 [0.11, 0.19]","0.15 [0.13, 0.18]","0.15 [0.11, 0.20]",0.891,nonnorm,benzene_1_ethyl_4_methyl,1-​Ethyl-​4-​Methylbenzene,benz1ethyl4methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benzene_propyl (median [IQR]),"0.18 [0.15, 0.21]","0.17 [0.12, 0.19]","0.18 [0.15, 0.21]",0.276,nonnorm,benzene_propyl,Propylbenzene,propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
mesitylene (median [IQR]),"0.36 [0.28, 0.45]","0.36 [0.29, 0.42]","0.36 [0.28, 0.48]",0.671,nonnorm,mesitylene,Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
n_hexane (median [IQR]),"1.07 [0.55, 1.44]","1.00 [0.53, 1.38]","1.12 [0.58, 1.51]",0.409,nonnorm,n_hexane,n-​Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane (median [IQR]),"0.78 [0.51, 1.02]","0.77 [0.50, 0.98]","0.78 [0.55, 1.03]",0.582,nonnorm,heptane,Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane (median [IQR]),"0.32 [0.20, 0.48]","0.26 [0.18, 0.40]","0.32 [0.22, 0.48]",0.409,nonnorm,octane,Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane (median [IQR]),"0.48 [0.26, 0.69]","0.43 [0.18, 0.78]","0.50 [0.31, 0.67]",0.698,nonnorm,nonane,Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane (median [IQR]),"0.41 [0.35, 0.52]","0.43 [0.33, 0.48]","0.40 [0.35, 0.52]",0.940,nonnorm,decane,Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane (median [IQR]),"0.44 [0.37, 0.68]","0.53 [0.43, 0.63]","0.41 [0.35, 0.72]",0.305,nonnorm,undecane,Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
dodecane (median [IQR]),"0.20 [0.14, 0.34]","0.22 [0.18, 0.36]","0.18 [0.13, 0.31]",0.245,nonnorm,dodecane,Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
butane_2_methyl (median [IQR]),"0.42 [0.15, 0.45]","0.42 [0.14, 0.49]","0.42 [0.15, 0.45]",0.930,nonnorm,butane_2_methyl,Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
pentane_2_methyl (median [IQR]),"4.58 [2.74, 7.25]","4.02 [2.61, 4.55]","5.12 [2.93, 8.20]",0.202,nonnorm,pentane_2_methyl,Isohexane,pentane_2_methyl,86.178,Alkanes,Other Alkanes,5,2
hexane_2_methyl (median [IQR]),"0.66 [0.42, 0.90]","0.55 [0.51, 0.69]","0.76 [0.41, 0.99]",0.323,nonnorm,hexane_2_methyl,2-​Methylhexane,hexane2methyl,100.2,Alkanes,Other Alkanes,5,3
hexane_3_methyl (median [IQR]),"1.43 [0.95, 1.95]","1.24 [1.16, 1.49]","1.63 [0.93, 2.20]",0.250,nonnorm,hexane_3_methyl,3-​Methylhexane,hexane_3_methyl,100.205,Alkanes,Other Alkanes,5,4
heptane_3_methyl (median [IQR]),"0.54 [0.43, 0.73]","0.48 [0.42, 0.53]","0.58 [0.45, 0.81]",0.099,nonnorm,heptane_3_methyl,3-​Methylheptane,heptane3methyl,114.23,Alkanes,Other Alkanes,5,5
pentane_3_methyl (median [IQR]),"1.58 [1.02, 2.44]","1.43 [0.97, 1.66]","1.80 [1.07, 2.75]",0.193,nonnorm,pentane_3_methyl,3-​Methylpentane,pentane_3_methyl,86.178,Alkanes,Other Alkanes,5,6
pentane_2_4_dimethyl (median [IQR]),"0.23 [0.20, 0.36]","0.22 [0.19, 0.26]","0.25 [0.20, 0.41]",0.150,nonnorm,pentane_2_4_dimethyl,"2,4-​Dimethylpentane",pentane_2_4_dimethyl,100.205,Alkanes,Other Alkanes,5,7
pentane_2_3_4_trimethyl (median [IQR]),"0.31 [0.23, 0.46]","0.26 [0.23, 0.28]","0.36 [0.26, 0.50]",0.021,nonnorm,pentane_2_3_4_trimethyl,"2,3,4-​Trimethylpentane",pentane_2_3_4_trimethyl,114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl (median [IQR]),"1.12 [0.84, 1.60]","0.92 [0.85, 1.10]","1.29 [0.88, 1.71]",0.028,nonnorm,cyclohexane_methyl,Methylcyclohexane,cyclohexane_methyl,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene (median [IQR]),"0.19 [0.10, 0.26]","0.18 [0.14, 0.23]","0.19 [0.10, 0.26]",0.689,nonnorm,x1_hexene,1-​Hexene,x1_hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis (median [IQR]),"0.05 [0.02, 0.07]","0.04 [0.03, 0.07]","0.05 [0.02, 0.07]",0.960,nonnorm,x2_pentene_z_cis,cis-​2-​Pentene,x2_pentene_z_cis,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl (median [IQR]),"0.03 [0.01, 0.06]","0.01 [0.01, 0.04]","0.04 [0.01, 0.06]",0.248,nonnorm,x1_3_butadiene_2_methyl,Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x2_hexanone (median [IQR]),"0.01 [0.01, 0.01]","0.01 [0.01, 0.01]","0.01 [0.01, 0.01]",0.219,nonnorm,x2_hexanone,2-​Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone (median [IQR]),"0.00 [0.00, 0.04]","0.00 [0.00, 0.01]","0.00 [0.00, 0.04]",0.950,nonnorm,methyl_isobutyl_ketone,Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
trichloromethane (median [IQR]),"0.18 [0.14, 0.21]","0.19 [0.14, 0.21]","0.18 [0.16, 0.22]",0.960,nonnorm,trichloromethane,Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride (median [IQR]),"1.90 [1.38, 2.32]","2.07 [1.25, 2.37]","1.89 [1.71, 2.28]",0.484,nonnorm,carbon_tetrachloride,Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tetrachloroethylene (median [IQR]),"0.14 [0.09, 0.18]","0.18 [0.13, 0.20]","0.12 [0.09, 0.15]",0.055,nonnorm,tetrachloroethylene,Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
