variable_name_messy,Overall,Industrial,Non-Industrial,p,test,variable_name,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
benzene (median [IQR]),"1.21 [0.82, 1.64]","1.27 [0.87, 1.72]","1.10 [0.76, 1.55]",0.018,nonnorm,benzene,Benzene,benzene,78.11,BTEX,BTEX,1,1
toluene (median [IQR]),"1.95 [1.47, 2.87]","2.18 [1.56, 3.16]","1.70 [1.38, 2.50]",<0.001,nonnorm,toluene,Toluene,toluene,92.14,BTEX,BTEX,1,2
ethylbenzene (median [IQR]),"0.52 [0.40, 0.75]","0.60 [0.43, 0.83]","0.46 [0.36, 0.61]",<0.001,nonnorm,ethylbenzene,Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
m_p_xylene_2 (median [IQR]),"3.42 [2.58, 5.14]","4.00 [2.97, 5.67]","3.03 [2.42, 4.09]",<0.001,nonnorm,m_p_xylene_2,(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
o_xylene (median [IQR]),"0.75 [0.57, 1.10]","0.86 [0.64, 1.24]","0.68 [0.52, 0.87]",<0.001,nonnorm,o_xylene,o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
xylenes (median [IQR]),"4.14 [3.16, 6.18]","4.92 [3.64, 6.97]","3.71 [2.94, 4.95]",<0.001,nonnorm,xylenes,Total Xylenes,xylenes,106.16,BTEX,BTEX,1,6
benzene_1_4_diethyl (median [IQR]),"0.12 [0.07, 0.20]","0.15 [0.08, 0.26]","0.10 [0.07, 0.14]",<0.001,nonnorm,benzene_1_4_diethyl,"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_2_3_trimethyl (median [IQR]),"0.17 [0.13, 0.26]","0.19 [0.13, 0.32]","0.15 [0.11, 0.20]",<0.001,nonnorm,benzene_1_2_3_trimethyl,"1,2,3-Trimethylbenzene",benzene_1_2_3_trimethyl,120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_ethyl_2_methyl (median [IQR]),"0.14 [0.10, 0.22]","0.17 [0.12, 0.26]","0.12 [0.10, 0.16]",<0.001,nonnorm,benzene_1_ethyl_2_methyl,1-Ethyl-2-Methylbenzene,benz1ethyl2methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benzene_1_ethyl_3_methyl (median [IQR]),"0.34 [0.25, 0.53]","0.41 [0.27, 0.65]","0.30 [0.24, 0.41]",<0.001,nonnorm,benzene_1_ethyl_3_methyl,1-Ethyl-3-Methylbenzene,benz1ethyl3methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benzene_1_ethyl_4_methyl (median [IQR]),"0.16 [0.11, 0.24]","0.19 [0.13, 0.31]","0.14 [0.11, 0.18]",<0.001,nonnorm,benzene_1_ethyl_4_methyl,1-Ethyl-4-Methylbenzene,benz1ethyl4methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benzene_propyl (median [IQR]),"0.18 [0.12, 0.28]","0.23 [0.15, 0.36]","0.15 [0.12, 0.21]",<0.001,nonnorm,benzene_propyl,Propylbenzene,propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
mesitylene (median [IQR]),"0.42 [0.32, 0.69]","0.53 [0.34, 0.88]","0.37 [0.28, 0.50]",<0.001,nonnorm,mesitylene,Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
n_hexane (median [IQR]),"1.10 [0.68, 1.82]","1.32 [0.79, 2.27]","0.86 [0.61, 1.43]",<0.001,nonnorm,n_hexane,n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane (median [IQR]),"0.84 [0.57, 1.33]","0.97 [0.64, 1.78]","0.67 [0.51, 0.96]",<0.001,nonnorm,heptane,Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane (median [IQR]),"0.36 [0.24, 0.59]","0.43 [0.27, 0.69]","0.30 [0.20, 0.45]",<0.001,nonnorm,octane,Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane (median [IQR]),"0.54 [0.25, 0.85]","0.60 [0.32, 1.00]","0.47 [0.22, 0.74]",0.002,nonnorm,nonane,Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane (median [IQR]),"0.46 [0.32, 0.76]","0.51 [0.33, 0.94]","0.43 [0.31, 0.57]",<0.001,nonnorm,decane,Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane (median [IQR]),"0.59 [0.39, 0.98]","0.63 [0.41, 1.49]","0.55 [0.37, 0.86]",0.002,nonnorm,undecane,Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
dodecane (median [IQR]),"0.30 [0.18, 0.62]","0.33 [0.20, 0.88]","0.27 [0.16, 0.46]",0.001,nonnorm,dodecane,Dodecane,dodecane,170.34,Alkanes,C10-C12 Alkanes,4,3
butane_2_methyl (median [IQR]),"0.62 [0.31, 1.18]","0.81 [0.37, 1.43]","0.47 [0.25, 0.91]",<0.001,nonnorm,butane_2_methyl,Isopentane,butane_2_methyl,72.151,Alkanes,Other Alkanes,5,1
