"variable_name","category_2","rotating","stationary","overall"
"benzene","BTEX","1.31 [0.80]","1.17 [0.77]","1.19 [0.77]"
"etbenz","BTEX","0.50 [0.24]","0.52 [0.35]","0.52 [0.34]"
"mpxylene","BTEX","2.96 [2.04]","3.37 [2.42]","3.34 [2.42]"
"oxylene","BTEX","0.68 [0.37]","0.73 [0.51]","0.73 [0.48]"
"toluene","BTEX","2.05 [1.27]","1.88 [1.32]","1.89 [1.32]"
"xylenes","BTEX","3.64 [2.43]","4.09 [2.95]","4.06 [2.92]"
"benz1ethyl2methyl","Alkylbenzenes","0.13 [0.06]","0.13 [0.10]","0.13 [0.10]"
"benz1ethyl3methyl","Alkylbenzenes","0.32 [0.14]","0.33 [0.27]","0.33 [0.26]"
"benz1ethyl4methyl","Alkylbenzenes","0.15 [0.08]","0.15 [0.13]","0.15 [0.12]"
"benzene_1_2_3_trimethyl","Alkylbenzenes","0.15 [0.07]","0.17 [0.13]","0.17 [0.13]"
"benzene_1_4_diethyl","Alkylbenzenes","0.10 [0.06]","0.12 [0.12]","0.12 [0.11]"
"mesitylene","Alkylbenzenes","0.36 [0.16]","0.41 [0.37]","0.40 [0.36]"
"propylbenzene","Alkylbenzenes","0.17 [0.06]","0.18 [0.15]","0.18 [0.15]"
"butane_2_methyl","Branched Alkanes","0.40 [0.28]","0.42 [0.35]","0.42 [0.37]"
"heptane3methyl","Branched Alkanes","0.53 [0.30]","0.67 [0.78]","0.65 [0.74]"
"hexane2methyl","Branched Alkanes","0.66 [0.47]","0.74 [0.79]","0.72 [0.76]"
"hexane_3_methyl","Branched Alkanes","1.41 [0.93]","1.64 [1.86]","1.59 [1.70]"
"pentane_2_3_4_trimethyl","Branched Alkanes","0.30 [0.21]","0.43 [0.48]","0.42 [0.46]"
"pentane_2_4_dimethyl","Branched Alkanes","0.23 [0.17]","0.34 [0.36]","0.32 [0.34]"
"pentane_2_methyl","Branched Alkanes","4.57 [4.44]","5.79 [6.48]","5.67 [6.29]"
"pentane_3_methyl","Branched Alkanes","1.58 [1.42]","2.03 [2.58]","1.97 [2.45]"
"heptane","C6-C9 Alkanes","0.77 [0.51]","0.79 [0.71]","0.79 [0.69]"
"hexane","C6-C9 Alkanes","1.04 [0.90]","1.03 [1.11]","1.03 [1.06]"
"nonane","C6-C9 Alkanes","0.45 [0.33]","0.51 [0.57]","0.49 [0.55]"
"octane","C6-C9 Alkanes","0.31 [0.23]","0.35 [0.35]","0.35 [0.33]"
"decane","C10-C12 Alkanes","0.42 [0.19]","0.47 [0.46]","0.46 [0.42]"
"dodecane","C10-C12 Alkanes","0.20 [0.20]","0.29 [0.42]","0.28 [0.38]"
"undecane","C10-C12 Alkanes","0.42 [0.30]","0.59 [0.60]","0.56 [0.57]"
"cyclohexane_methyl","Cyclohexanes","1.11 [0.76]","1.56 [2.08]","1.51 [1.79]"
"x1_3_butadiene_2_methyl","Alkenes","0.02 [0.06]","0.03 [0.09]","0.03 [0.09]"
"x1_hexene","Alkenes","0.18 [0.16]","0.20 [0.20]","0.19 [0.19]"
"x2_pentene_z_cis","Alkenes","0.04 [0.06]","0.04 [0.06]","0.04 [0.05]"
"benz12chloro","Chlorinated Compounds","0.14 [0.10]","0.10 [0.10]","0.11 [0.11]"
"carbon_tetrachloride","Chlorinated Compounds","1.90 [0.92]","1.72 [0.81]","1.72 [0.85]"
"tce","Chlorinated Compounds","0.14 [0.09]","0.12 [0.07]","0.12 [0.08]"
"trichlorofluoromethane","Chlorinated Compounds","0.68 [0.88]","0.61 [0.62]","0.61 [0.63]"
"trichloromethane","Chlorinated Compounds","0.18 [0.07]","0.16 [0.06]","0.17 [0.07]"
"methyl_isobutyl_ketone","Ketones","0.00 [0.03]","0.00 [0.04]","0.00 [0.04]"
"x2_hexanone","Ketones","0.01 [0.00]","0.01 [0.00]","0.01 [0.00]"
