"site","total","sum","Alkenes","Alkylbenzenes","BTEX","Branched Alkanes","C10-C12 Alkanes","C6-C9 Alkanes","Chlorinated Compounds","Cyclohexanes","Ketones"
"24th & Ritner",461.08900000000006,4.793999999999999,1.0397125066961037,NA,NA,NA,NA,NA,NA,NA,NA
"24th & Ritner",461.08900000000006,17.170000000000012,NA,3.723793020436404,NA,NA,NA,NA,NA,NA,NA
"24th & Ritner",461.08900000000006,157.54899999999998,NA,NA,34.16889147214528,NA,NA,NA,NA,NA,NA
"24th & Ritner",461.08900000000006,181.56200000000007,NA,NA,NA,39.376779754017136,NA,NA,NA,NA,NA
"24th & Ritner",461.08900000000006,11.489999999999997,NA,NA,NA,NA,2.4919267213054304,NA,NA,NA,NA
"24th & Ritner",461.08900000000006,38.81099999999998,NA,NA,NA,NA,NA,8.417246995699307,NA,NA,NA
"24th & Ritner",461.08900000000006,21.223000000000006,NA,NA,NA,NA,NA,NA,4.602799025784611,NA,NA
"24th & Ritner",461.08900000000006,28.149,NA,NA,NA,NA,NA,NA,NA,6.104895150393958,NA
"24th & Ritner",461.08900000000006,0.3410000000000002,NA,NA,NA,NA,NA,NA,NA,NA,0.07395535352177132
"25th & Point Breeze",413.05099999999993,4.654000000000001,1.1267373762562012,NA,NA,NA,NA,NA,NA,NA,NA
"25th & Point Breeze",413.05099999999993,14.588999999999992,NA,3.5320093644610457,NA,NA,NA,NA,NA,NA,NA
"25th & Point Breeze",413.05099999999993,154.963,NA,NA,37.51667469634501,NA,NA,NA,NA,NA,NA
"25th & Point Breeze",413.05099999999993,155.33099999999996,NA,NA,NA,37.6057678107546,NA,NA,NA,NA,NA
"25th & Point Breeze",413.05099999999993,8.801000000000007,NA,NA,NA,NA,2.130729619344829,NA,NA,NA,NA
"25th & Point Breeze",413.05099999999993,31.519,NA,NA,NA,NA,NA,7.63077682901143,NA,NA,NA
"25th & Point Breeze",413.05099999999993,22.226000000000013,NA,NA,NA,NA,NA,NA,5.38093358931464,NA,NA
"25th & Point Breeze",413.05099999999993,20.586,NA,NA,NA,NA,NA,NA,NA,4.9838881881414165,NA
"25th & Point Breeze",413.05099999999993,0.38200000000000023,NA,NA,NA,NA,NA,NA,NA,NA,0.09248252637083564
"26th & Hartranft",635.7420000000002,5.8829999999999965,0.9253753881291459,NA,NA,NA,NA,NA,NA,NA,NA
"26th & Hartranft",635.7420000000002,25.820000000000014,NA,4.061395975096817,NA,NA,NA,NA,NA,NA,NA
"26th & Hartranft",635.7420000000002,156.28899999999993,NA,NA,24.583714777378226,NA,NA,NA,NA,NA,NA
"26th & Hartranft",635.7420000000002,278.4380000000003,NA,NA,NA,43.79732658845887,NA,NA,NA,NA,NA
"26th & Hartranft",635.7420000000002,42.96200000000003,NA,NA,NA,NA,6.757772807207959,NA,NA,NA,NA
